,,,,,,,,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count
year,,,,,,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All
rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nsmallest,-0.3,3,2,3,0.999,0.002,1254,0.41,0.51,0.45,0.5,0.47,0.48,0.48,0.37,0.42,0.5,0.38,0.43,0.46,0.38,0.37,0.4,0.48,0.3,0.39,0.28,0.38,0.28,0.3,0.26,0.42,0.41200000000000003,0.502,0.466,0.518,0.46799999999999997,0.49799999999999994,0.462,0.40800000000000003,0.40199999999999997,0.48600000000000004,0.384,0.418,0.434,0.39,0.398,0.4,0.4720000000000001,0.37,0.368,0.316,0.382,0.29000000000000004,0.32,0.308,0.41133333333333333,0.38,0.44,0.4,0.42,0.41,0.46,0.36,0.36,0.33,0.42,0.34,0.38,0.34,0.34,0.36,0.32,0.34,0.27,0.31,0.28,0.33,0.2,0.26,0.13,0.13,0.44,0.56,0.54,0.64,0.54,0.58,0.52,0.49,0.45,0.52,0.42,0.44,0.47,0.44,0.46,0.45,0.54,0.54,0.4,0.45,0.42,0.39,0.39,0.5,0.64,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-99.0,2,2,3,0.999,0.002,1254,0.43,0.51,0.44,0.54,0.49,0.43,0.38,0.4,0.42,0.37,0.42,0.45,0.4,0.38,0.43,0.39,0.43,0.46,0.34,0.38,0.4,0.37,0.32,0.31,0.415,0.42800000000000005,0.49799999999999994,0.442,0.542,0.506,0.44399999999999995,0.438,0.40199999999999997,0.44800000000000006,0.42400000000000004,0.44399999999999995,0.454,0.43600000000000005,0.38,0.42000000000000004,0.366,0.406,0.44000000000000006,0.33,0.378,0.40199999999999997,0.384,0.348,0.33599999999999997,0.42066666666666663,0.41,0.35,0.38,0.51,0.44,0.3,0.38,0.37,0.4,0.33,0.37,0.42,0.38,0.34,0.37,0.32,0.29,0.38,0.19,0.29,0.35,0.34,0.31,0.26,0.19,0.44,0.58,0.52,0.59,0.56,0.59,0.54,0.44,0.5,0.56,0.51,0.51,0.56,0.42,0.47,0.4,0.56,0.49,0.4,0.44,0.44,0.43,0.44,0.41,0.59,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-0.3,4,2,3,0.999,0.002,1254,0.42,0.52,0.43,0.5,0.5,0.48,0.44,0.41,0.39,0.39,0.41,0.44,0.46,0.37,0.32,0.49,0.55,0.34,0.32,0.32,0.39,0.27,0.29,0.23,0.41,0.414,0.508,0.446,0.526,0.49000000000000005,0.48600000000000004,0.45199999999999996,0.418,0.394,0.44800000000000006,0.40599999999999997,0.40800000000000003,0.446,0.346,0.362,0.458,0.5,0.33799999999999997,0.296,0.29,0.4,0.27599999999999997,0.32399999999999995,0.21800000000000003,0.40208333333333335,0.39,0.44,0.38,0.45,0.38,0.36,0.43,0.32,0.34,0.34,0.37,0.34,0.33,0.24,0.27,0.32,0.37,0.26,0.24,0.17,0.32,0.15,0.24,0.16,0.15,0.43,0.56,0.52,0.59,0.55,0.61,0.52,0.56,0.49,0.66,0.43,0.44,0.56,0.49,0.54,0.56,0.59,0.41,0.34,0.32,0.51,0.37,0.41,0.26,0.66,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-99.0,4,2,3,0.999,0.002,1254,0.43,0.57,0.48,0.54,0.5,0.5,0.49,0.39,0.39,0.39,0.4,0.41,0.51,0.39,0.37,0.51,0.45,0.32,0.32,0.27,0.34,0.29,0.34,0.23,0.41,0.42400000000000004,0.5319999999999999,0.48600000000000004,0.53,0.502,0.484,0.47000000000000003,0.41400000000000003,0.43,0.44400000000000006,0.388,0.426,0.442,0.336,0.378,0.458,0.454,0.33599999999999997,0.314,0.278,0.356,0.332,0.322,0.3,0.4098333333333333,0.39,0.41,0.41,0.45,0.4,0.38,0.41,0.32,0.37,0.39,0.34,0.38,0.24,0.22,0.27,0.27,0.37,0.19,0.2,0.27,0.29,0.22,0.24,0.16,0.16,0.44,0.57,0.54,0.59,0.57,0.56,0.52,0.56,0.54,0.61,0.41,0.49,0.54,0.46,0.59,0.54,0.56,0.44,0.44,0.29,0.49,0.44,0.39,0.58,0.61,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-0.3,2,2,3,0.999,0.002,1254,0.42,0.49,0.44,0.56,0.49,0.43,0.4,0.4,0.42,0.4,0.41,0.44,0.37,0.37,0.44,0.37,0.41,0.44,0.32,0.32,0.43,0.35,0.27,0.34,0.41,0.41600000000000004,0.492,0.45199999999999996,0.558,0.488,0.44000000000000006,0.43,0.40199999999999997,0.43,0.398,0.43599999999999994,0.434,0.406,0.386,0.426,0.374,0.4,0.42000000000000004,0.302,0.35,0.41,0.366,0.306,0.314,0.4098333333333333,0.41,0.37,0.4,0.52,0.44,0.3,0.36,0.37,0.39,0.29,0.37,0.39,0.35,0.37,0.37,0.33,0.27,0.37,0.21,0.32,0.32,0.33,0.27,0.21,0.21,0.42,0.56,0.52,0.59,0.52,0.59,0.54,0.44,0.47,0.53,0.51,0.49,0.56,0.44,0.47,0.42,0.56,0.48,0.33,0.42,0.47,0.4,0.42,0.35,0.59,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-0.1,3,1,3,0.999,0.002,1254,0.41,0.47,0.46,0.5,0.48,0.54,0.43,0.38,0.39,0.49,0.38,0.44,0.4,0.44,0.4,0.32,0.44,0.37,0.27,0.32,0.39,0.37,0.33,0.42,0.4,0.41,0.454,0.44800000000000006,0.492,0.442,0.522,0.44399999999999995,0.4,0.384,0.47000000000000003,0.388,0.41600000000000004,0.404,0.41600000000000004,0.388,0.32999999999999996,0.458,0.352,0.27999999999999997,0.33399999999999996,0.398,0.364,0.32599999999999996,0.398,0.4049166666666667,0.39,0.4,0.33,0.4,0.37,0.46,0.4,0.37,0.35,0.44,0.37,0.35,0.33,0.37,0.33,0.3,0.43,0.29,0.26,0.3,0.35,0.24,0.25,0.26,0.24,0.43,0.49,0.53,0.56,0.5,0.6,0.49,0.46,0.4,0.49,0.43,0.45,0.47,0.44,0.43,0.37,0.51,0.41,0.31,0.4,0.48,0.5,0.44,0.45,0.6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-99.0,2,3,3,0.999,0.002,1254,0.4,0.46,0.45,0.54,0.46,0.46,0.4,0.37,0.39,0.44,0.42,0.41,0.4,0.32,0.39,0.35,0.42,0.38,0.28,0.33,0.44,0.3,0.32,0.26,0.4,0.40199999999999997,0.45,0.446,0.526,0.44800000000000006,0.462,0.40199999999999997,0.392,0.394,0.438,0.42000000000000004,0.43,0.41400000000000003,0.346,0.402,0.372,0.42800000000000005,0.398,0.272,0.34,0.40199999999999997,0.354,0.324,0.25,0.39633333333333337,0.39,0.38,0.4,0.47,0.34,0.38,0.32,0.29,0.34,0.38,0.34,0.36,0.32,0.31,0.34,0.3,0.3,0.3,0.2,0.26,0.34,0.27,0.27,0.15,0.15,0.42,0.52,0.5,0.56,0.49,0.57,0.48,0.5,0.47,0.5,0.52,0.5,0.52,0.4,0.46,0.49,0.52,0.54,0.35,0.4,0.44,0.46,0.41,0.35,0.57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-0.3,2,3,3,0.999,0.002,1254,0.39,0.44,0.47,0.52,0.46,0.46,0.4,0.37,0.37,0.4,0.42,0.42,0.38,0.29,0.41,0.35,0.44,0.38,0.29,0.29,0.42,0.28,0.3,0.26,0.39,0.392,0.442,0.454,0.514,0.43200000000000005,0.47000000000000003,0.39,0.392,0.37,0.422,0.41200000000000003,0.41,0.382,0.33,0.41400000000000003,0.372,0.44000000000000006,0.382,0.27599999999999997,0.32,0.398,0.32999999999999996,0.282,0.26,0.3869166666666667,0.38,0.38,0.4,0.45,0.34,0.38,0.3,0.29,0.3,0.36,0.34,0.35,0.3,0.28,0.34,0.3,0.34,0.24,0.22,0.27,0.34,0.26,0.2,0.17,0.17,0.41,0.5,0.52,0.56,0.49,0.61,0.46,0.5,0.45,0.5,0.5,0.5,0.43,0.4,0.46,0.51,0.52,0.5,0.35,0.38,0.46,0.42,0.35,0.35,0.61,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-99.0,3,3,3,0.999,0.002,1254,0.39,0.45,0.51,0.52,0.45,0.44,0.41,0.39,0.34,0.44,0.48,0.37,0.41,0.39,0.29,0.34,0.45,0.34,0.2,0.34,0.32,0.37,0.34,0.26,0.39,0.394,0.484,0.48,0.532,0.458,0.46399999999999997,0.442,0.39,0.352,0.42800000000000005,0.422,0.374,0.4,0.396,0.312,0.352,0.462,0.322,0.262,0.33799999999999997,0.296,0.368,0.324,0.244,0.38733333333333336,0.37,0.44,0.33,0.5,0.4,0.4,0.37,0.32,0.32,0.39,0.27,0.32,0.34,0.32,0.29,0.2,0.41,0.2,0.2,0.27,0.24,0.27,0.27,0.05,0.05,0.42,0.56,0.54,0.56,0.52,0.52,0.57,0.46,0.39,0.46,0.51,0.41,0.44,0.51,0.37,0.44,0.51,0.39,0.39,0.37,0.34,0.49,0.37,0.37,0.57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-0.3,3,3,3,0.999,0.002,1254,0.39,0.45,0.48,0.52,0.43,0.44,0.43,0.39,0.32,0.46,0.46,0.37,0.4,0.37,0.29,0.34,0.45,0.34,0.22,0.37,0.27,0.34,0.27,0.16,0.385,0.384,0.472,0.44399999999999995,0.53,0.434,0.46399999999999997,0.438,0.384,0.33799999999999997,0.44800000000000006,0.42000000000000004,0.374,0.40800000000000003,0.41200000000000003,0.312,0.34199999999999997,0.442,0.334,0.27,0.34199999999999997,0.306,0.328,0.264,0.21000000000000002,0.37916666666666665,0.36,0.37,0.29,0.48,0.39,0.4,0.37,0.29,0.32,0.39,0.27,0.32,0.37,0.37,0.29,0.2,0.39,0.22,0.2,0.27,0.24,0.15,0.22,0.05,0.05,0.4,0.59,0.51,0.61,0.5,0.52,0.57,0.46,0.39,0.49,0.5,0.41,0.44,0.54,0.37,0.46,0.46,0.39,0.37,0.41,0.41,0.44,0.29,0.36,0.61,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
