,,,,,,,,,,,median,median,median,mean,mean,mean,min,min,min,max,max,max,count,count,count
year,,,,,,,,,,,2000,2023,All,2000,2023,All,2000,2023,All,2000,2023,All,2000,2023,All
start_watch_time,buy_time,sell_time,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,,,,,,,,,,,,,,,
Close,Open,Open,nsmallest,-999,2,1,2,0.999,0.002,1254,1.2577500000000001,1.2119,1.2576,1.2958642857142857,1.22516,1.2772578947368423,1.196,1.0339,1.0339,1.3781,1.4864,1.4864,14,5,19
Close,Open,Close,nsmallest,-999,3,3,2,0.999,0.002,1254,1.2578,1.216,1.2542,1.2644428571428572,1.22732,1.2546736842105262,1.2398,1.0987,1.0987,1.3268,1.3142,1.3268,14,5,19
Open,Open,Close,nsmallest,-999,3,3,2,0.999,0.002,1254,1.2578,1.216,1.2542,1.2644428571428572,1.22732,1.2546736842105262,1.2398,1.0987,1.0987,1.3268,1.3142,1.3268,14,5,19
Close,Open,Close,nsmallest,-999,3,2,1,0.999,0.002,1254,1.2415500000000002,1.2046,1.2415,1.2356357142857142,1.31956,1.257721052631579,1.1867,0.9388,0.9388,1.297,1.8454,1.8454,14,5,19
Open,Open,Close,nsmallest,-999,3,2,1,0.999,0.002,1254,1.2415500000000002,1.2046,1.2415,1.2356357142857142,1.31956,1.257721052631579,1.1867,0.9388,0.9388,1.297,1.8454,1.8454,14,5,19
Close,Open,Close,nsmallest,-999,4,3,2,0.999,0.002,1254,1.2396,1.3556,1.2399,1.2294357142857142,1.30518,1.2493684210526315,1.1407,0.9537,0.9537,1.3001,1.6085,1.6085,14,5,19
Open,Open,Close,nsmallest,-999,4,3,2,0.999,0.002,1254,1.2396,1.3556,1.2399,1.2294357142857142,1.30518,1.2493684210526315,1.1407,0.9537,0.9537,1.3001,1.6085,1.6085,14,5,19
Close,Open,Open,nsmallest,-999,2,2,1,0.999,0.002,1254,1.249,1.1797,1.234,1.26225,1.1939199999999999,1.2442684210526316,1.197,1.0851,1.0851,1.3163,1.3385,1.3385,14,5,19
Open,Open,Open,nsmallest,-999,2,2,1,0.999,0.002,1254,1.249,1.1797,1.234,1.26225,1.1939199999999999,1.2442684210526316,1.197,1.0851,1.0851,1.3163,1.3385,1.3385,14,5,19
Open,Open,Open,nsmallest,-999,3,3,2,0.999,0.002,1254,1.2327,1.1432,1.2327,1.2348285714285716,1.16176,1.2156,1.2168,1.0879,1.0879,1.2864,1.2487,1.2864,14,5,19
Close,Open,Open,nsmallest,-999,3,3,2,0.999,0.002,1254,1.2327,1.1432,1.2327,1.2348285714285716,1.16176,1.2156,1.2168,1.0879,1.0879,1.2864,1.2487,1.2864,14,5,19
Close,Open,Open,nsmallest,-999,4,3,2,0.999,0.002,1254,1.22385,1.1819,1.2236,1.2080214285714288,1.26756,1.2236894736842105,1.1245,0.9425,0.9425,1.2804,1.6691,1.6691,14,5,19
Open,Open,Open,nsmallest,-999,4,3,2,0.999,0.002,1254,1.22385,1.1819,1.2236,1.2080214285714288,1.26756,1.2236894736842105,1.1245,0.9425,0.9425,1.2804,1.6691,1.6691,14,5,19
Close,Open,Close,nsmallest,-999,4,1,1,0.999,0.002,1254,1.2232500000000002,1.2743,1.2233,1.2343785714285715,1.24068,1.2360368421052632,1.2026,0.9716,0.9716,1.2841,1.5672,1.5672,14,5,19
Open,Open,Close,nsmallest,-999,4,1,1,0.999,0.002,1254,1.2232500000000002,1.2743,1.2233,1.2343785714285715,1.24068,1.2360368421052632,1.2026,0.9716,0.9716,1.2841,1.5672,1.5672,14,5,19
Open,Open,Open,nsmallest,-999,4,2,2,0.999,0.002,1254,1.2032,1.1902,1.2032,1.2130642857142857,1.16624,1.200742105263158,1.1439,1.0342,1.0342,1.3071,1.2936,1.3071,14,5,19
