,,,,,,,,,,,median,median,median,mean,mean,mean,min,min,min,max,max,max,count,count,count
year,,,,,,,,,,,2000,2023,All,2000,2023,All,2000,2023,All,2000,2023,All,2000,2023,All
start_watch_time,buy_time,sell_time,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,,,,,,,,,,,,,,,
Close,Close,Close,nsmallest,-999,3,1,2,0.999,0.002,1254,0.97845,0.9556,0.9731,0.9809714285714285,0.97362,0.9790368421052632,0.9708,0.9405,0.9405,0.9919,1.0139,1.0139,14,5,19
Close,Close,Open,nsmallest,-999,2,2,2,0.999,0.002,1254,0.95475,0.9673,0.9673,0.9647357142857143,0.95916,0.9632684210526316,0.9398,0.8474,0.8474,0.9973,1.0378,1.0378,14,5,19
Open,Close,Open,nsmallest,-999,2,2,2,0.999,0.002,1254,0.95475,0.9673,0.9673,0.9647357142857143,0.95916,0.9632684210526316,0.9398,0.8474,0.8474,0.9973,1.0378,1.0378,14,5,19
Open,Close,Open,nsmallest,-999,3,2,1,0.999,0.002,1254,0.963,0.9692,0.963,0.9614571428571429,0.92774,0.9525842105263158,0.9276,0.8383,0.8383,1.0256,0.9807,1.0256,14,5,19
Close,Close,Open,nsmallest,-999,3,2,1,0.999,0.002,1254,0.963,0.9692,0.963,0.9614571428571429,0.92774,0.9525842105263158,0.9276,0.8383,0.8383,1.0256,0.9807,1.0256,14,5,19
Open,Close,Open,nsmallest,-999,4,2,1,0.999,0.002,1254,0.9598,0.9349,0.957,0.9666857142857143,0.9503599999999999,0.9623894736842105,0.9346,0.8985,0.8985,1.0005,1.0391,1.0391,14,5,19
Close,Close,Open,nsmallest,-999,4,2,1,0.999,0.002,1254,0.9598,0.9349,0.957,0.9666857142857143,0.9503599999999999,0.9623894736842105,0.9346,0.8985,0.8985,1.0005,1.0391,1.0391,14,5,19
Close,Close,Close,nsmallest,-999,3,1,1,0.999,0.002,1254,0.97115,0.9483,0.9546,0.96955,0.9443999999999999,0.9629315789473685,0.9486,0.837,0.837,0.9915,1.0403,1.0403,14,5,19
Open,Close,Close,nsmallest,-999,3,1,1,0.999,0.002,1254,0.97115,0.9483,0.9546,0.96955,0.9443999999999999,0.9629315789473685,0.9486,0.837,0.837,0.9915,1.0403,1.0403,14,5,19
Close,Close,Close,nsmallest,-999,2,1,1,0.999,0.002,1254,0.9479,0.8867,0.9477,0.95165,0.9973600000000001,0.963678947368421,0.9319,0.8422,0.8422,0.9908,1.481,1.481,14,5,19
Open,Close,Close,nsmallest,-999,2,1,1,0.999,0.002,1254,0.9479,0.8867,0.9477,0.95165,0.9973600000000001,0.963678947368421,0.9319,0.8422,0.8422,0.9908,1.481,1.481,14,5,19
Open,Close,Open,nsmallest,-999,3,2,2,0.999,0.002,1254,0.9471,0.9567,0.9472,0.9578857142857142,0.9699,0.9610473684210525,0.9375,0.921,0.921,1.0146,1.0154,1.0154,14,5,19
Close,Close,Open,nsmallest,-999,3,2,2,0.999,0.002,1254,0.9471,0.9567,0.9472,0.9578857142857142,0.9699,0.9610473684210525,0.9375,0.921,0.921,1.0146,1.0154,1.0154,14,5,19
Close,Close,Open,nsmallest,-999,2,2,1,0.999,0.002,1254,0.9465,0.9448,0.9448,0.9504642857142857,0.9310599999999999,0.9453578947368421,0.9339,0.8408,0.8408,0.9697,0.9972,0.9972,14,5,19
Open,Close,Open,nsmallest,-999,2,2,1,0.999,0.002,1254,0.9465,0.9448,0.9448,0.9504642857142857,0.9310599999999999,0.9453578947368421,0.9339,0.8408,0.8408,0.9697,0.9972,0.9972,14,5,19
Open,Close,Open,nsmallest,-999,4,1,1,0.999,0.002,1254,0.86265,0.8914,0.8627,0.8654785714285714,0.88146,0.8696842105263158,0.8476,0.8486,0.8476,0.9015,0.914,0.914,14,5,19
Close,Close,Open,nsmallest,-999,4,1,1,0.999,0.002,1254,0.86265,0.8914,0.8627,0.8654785714285714,0.88146,0.8696842105263158,0.8476,0.8486,0.8476,0.9015,0.914,0.914,14,5,19
Open,Close,Open,nsmallest,-999,4,1,2,0.999,0.002,1254,0.85545,0.8945,0.8555,0.8573642857142857,0.88972,0.865878947368421,0.851,0.8293,0.8293,0.8779,0.9455,0.9455,14,5,19
Close,Close,Open,nsmallest,-999,4,1,2,0.999,0.002,1254,0.85545,0.8945,0.8555,0.8573642857142857,0.88972,0.865878947368421,0.851,0.8293,0.8293,0.8779,0.9455,0.9455,14,5,19
Open,Close,Open,nsmallest,-999,3,1,1,0.999,0.002,1254,0.8367,0.8716,0.8381,0.8367928571428571,0.8540800000000001,0.8413421052631579,0.8255,0.7736,0.7736,0.8424,0.9108,0.9108,14,5,19
Close,Close,Open,nsmallest,-999,3,1,1,0.999,0.002,1254,0.8367,0.8716,0.8381,0.8367928571428571,0.8540800000000001,0.8413421052631579,0.8255,0.7736,0.7736,0.8424,0.9108,0.9108,14,5,19
Close,Close,Open,nsmallest,-999,3,1,2,0.999,0.002,1254,0.8239000000000001,0.8602,0.8257,0.8267857142857142,0.86296,0.8363052631578947,0.8197,0.8108,0.8108,0.8362,0.92,0.92,14,5,19
Open,Close,Open,nsmallest,-999,3,1,2,0.999,0.002,1254,0.8239000000000001,0.8602,0.8257,0.8267857142857142,0.86296,0.8363052631578947,0.8197,0.8108,0.8108,0.8362,0.92,0.92,14,5,19
Open,Close,Open,nsmallest,-999,2,1,1,0.999,0.002,1254,0.7785,0.8365,0.7785,0.7835357142857143,0.82516,0.7944894736842105,0.7767,0.7475,0.7475,0.8045,0.9272,0.9272,14,5,19
Close,Close,Open,nsmallest,-999,2,1,1,0.999,0.002,1254,0.7785,0.8365,0.7785,0.7835357142857143,0.82516,0.7944894736842105,0.7767,0.7475,0.7475,0.8045,0.9272,0.9272,14,5,19
Open,Close,Open,nsmallest,-999,2,1,2,0.999,0.002,1254,0.7752,0.843,0.7752,0.7748499999999999,0.8280799999999999,0.7888578947368421,0.7733,0.7557,0.7557,0.7771,0.8882,0.8882,14,5,19
Close,Close,Open,nsmallest,-999,2,1,2,0.999,0.002,1254,0.7752,0.843,0.7752,0.7748499999999999,0.8280799999999999,0.7888578947368421,0.7733,0.7557,0.7557,0.7771,0.8882,0.8882,14,5,19
