,,,,,,,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count
year,,,,,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All
watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,nlargest_nsmallest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1,0.997,0.003,1254,nsmallest,6.052295,6.95757,3.63661,3.87942,4.1853,2.13511,2.5656,1.60519,5.39696,6.49208,9.93199,8.41511,17.18241,8.83601,3.76829,3.30785,4.90698,13.55009,2.91957,2.97951,3.56633,5.89624,4.7021,199.8513,5.89188,7.037147142857143,5.220988,11.738996,3.7171019999999997,8.052629999999999,1.90749,4.3201279999999995,1.711328,4.922772,8.582894,11.088758,30.856812,36.662856,13.662252,3.6152360000000003,5.40761,7.412648,14.617688000000001,4.211712,38.615836,4.321009999999999,4.556597999999999,511451782.724088,19428706142.31849,772874347.672478,4.92291,1.49624,3.21411,1.95177,3.22231,1.28756,1.04522,1.33751,2.54596,2.31351,9.64794,8.07438,11.53639,3.31364,2.46,2.27641,3.28452,8.16615,2.06629,1.22813,2.53838,1.67617,2.20246,3.05232,1.04522,15.58281,8.06229,41.20106,5.90407,14.8199,2.25036,7.83071,2.37871,6.45278,23.61004,14.30666,95.43586,79.54974,25.24634,5.45543,9.49219,15.72273,24.50931,6.66736,93.83039,8.38349,6.22572,2557258898.04383,97143039991.265,97143039991.265,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
2,1,1,0.998,0.003,1254,nsmallest,6.258195,3.63205,4.5429,2.32596,6.8704,1.62258,2.7331,1.50068,9.24339,9.84615,1.49321,17.93848,35.34537,4.22262,3.23851,5.41658,2.85217,20.23219,6.13459,3.48473,7.74325,5.34473,8.85411,40.10253,5.81304,8.594294285714286,3.6370239999999994,8.291622,4.873808,6.9221699999999995,1.9065539999999999,2.540882,1.511824,7.764066,16.853914,52.898684,41.99348,48.684986,14.26436,4.282436,6.8696399999999995,11.529791999999999,18.727842000000003,9.148976000000001,3.920426,6.43185,7.615854000000001,63608.241460000005,409212524.241782,15863427.799126202,5.96675,3.23962,3.16991,1.99391,5.04244,1.35668,1.93198,1.17425,3.38735,6.99588,1.47151,4.82781,3.17388,4.09879,2.91479,1.86402,2.78667,3.64595,2.31766,1.56146,2.10025,5.01703,3.41666,7.48187,1.17425,12.50053,4.04681,14.95498,9.36935,9.5236,2.51719,3.30219,1.86155,9.67184,47.39399,231.61577,163.8412,103.06686,54.01469,8.62855,11.0747,44.437,28.31104,17.12989,7.76475,8.27524,14.79715,318016.34014,2046061349.04958,2046061349.04958,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
2,1,1,0.999,0.003,1254,nsmallest,6.52231,3.82413,4.7008,2.41893,6.2225,1.71087,2.83376,1.45693,9.78679,10.25114,1.56141,18.88987,37.06454,4.38084,3.41618,5.7005,2.98599,21.22469,5.53929,3.69017,8.05847,5.66826,9.39469,42.56312,5.7005,8.933944285714286,3.8126619999999996,8.615884,5.089986000000001,6.804606,2.002264,2.652672,1.568464,8.204496,17.59,55.58330600000001,43.880644000000004,50.743970000000004,14.55376,4.496118,7.182104,11.99251,19.664876,8.41112,4.133596,6.671104,7.886242,67675.59036,432758711.74921,16776228.833139457,6.20143,3.38991,3.31068,2.09724,5.23293,1.3968,2.03386,1.23992,3.53281,7.33063,1.53914,5.0905,3.30775,4.24979,3.07699,1.96945,2.91522,3.81604,2.44058,1.63057,2.21871,5.32334,3.65599,7.7188,1.23992,12.98016,4.2399,15.54707,9.78426,9.93766,2.65069,3.45625,1.95947,10.23977,49.51669,243.43966,170.81107,107.33016,54.79382,9.02085,11.52622,46.13465,29.74406,15.48066,8.15175,8.60739,15.6444,338351.51081,2163792220.26186,2163792220.26186,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
2,1,1,0.997,0.003,1254,nsmallest,5.992955,3.44943,4.39015,2.23647,6.64928,1.53877,2.59831,1.48813,8.72966,9.45677,1.41586,17.03412,34.27881,4.06997,3.06992,5.14654,2.72422,19.81742,5.84823,3.29054,7.29847,5.17237,8.35998,37.78194,5.51043,8.258742142857143,3.469326,7.97953,4.666636,6.673784,1.8095320000000001,2.473726,1.470302,7.427968,16.148004,50.334152,40.186454,46.822796,13.97691,4.078792,6.584524,11.481456,18.184434,8.717848,3.858616,6.07311,7.387378,59781.634646000006,386925771.472208,14999451.396767829,5.76292,3.09585,3.03612,1.89557,4.8587,1.2881,1.8351,1.112,3.21426,6.67609,1.39511,4.57842,3.04529,3.95301,2.76099,1.83334,2.66367,3.64498,2.20081,1.51439,1.98801,4.8539,3.19278,7.25198,1.112,12.01753,3.86233,14.38488,8.97164,9.13172,2.39028,3.43065,1.82679,9.13489,45.3603,220.35517,157.14917,98.96889,53.22102,8.25294,10.64044,44.7844,27.25206,16.33671,8.07893,7.80623,14.16105,298884.75529,1934627648.27687,1934627648.27687,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
2,1,2,0.999,0.002,1254,nsmallest,5.65917,4.41666,5.67365,5.47935,4.11201,1.64135,2.36411,1.72183,7.03489,8.27863,1.77316,15.65277,22.93503,4.19068,3.56603,3.3573,4.28019,10.47808,3.74956,4.44735,4.83212,2.9443,17.70313,50.99605,5.05519,7.216696428571429,4.980230000000001,5.778524,7.401981999999999,4.0392980000000005,2.039418,2.239124,1.7040119999999999,6.966536,8.845308,13.897268,20.271234,17.587636,6.180766,4.116598,4.346044,5.786884000000001,9.708876,4.881586,3.9498780000000004,4.697104,6.053706,39363.750948,27186913.874013998,1055288.500144341,5.04494,2.99246,4.53008,3.59513,3.64384,1.45542,1.6865,1.25369,3.12095,4.7146,1.74771,4.09454,6.3775,3.67164,3.12066,2.68715,4.16033,5.98879,2.98036,1.82047,3.58261,2.86028,5.68318,7.60603,1.25369,9.97796,6.64338,6.61863,11.47122,4.51387,2.75227,2.73747,2.15318,10.709,14.43233,43.29247,61.2694,27.00608,14.57222,6.89176,6.26802,11.27194,11.36983,7.10678,4.71347,5.48784,16.23049,196771.84488,135933760.27255,135933760.27255,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
2,2,2,0.999,0.002,1254,nsmallest,5.06939,6.24061,4.95742,5.80878,3.43846,2.0162,2.18295,1.65709,7.00957,3.56583,6.44969,7.51681,20.25887,4.74799,3.86394,2.84157,5.19463,8.30426,3.27751,4.38735,4.40447,4.45006,5.22999,21.30063,4.96783,6.138109999999999,5.34945,7.765161999999999,5.305448,4.110936000000001,2.090566,2.816286,1.700648,6.518146,5.656976,7.051934,16.826332,19.723442,5.616018,3.715856,3.180778,6.107748,9.532295999999999,3.836598,8.762754,5.022285999999999,4.709616,140907552.938138,5025293843.679663,200240370.1241777,4.95396,2.35643,3.72515,3.99565,2.52891,1.64689,1.27155,1.58256,3.59962,2.5333,6.15597,6.15979,9.32946,3.07247,2.66841,2.61942,4.91728,6.82035,1.83672,1.56324,3.93792,2.73499,3.52564,2.29711,1.27155,12.59195,6.90201,20.77979,6.24777,6.10188,2.575,4.26108,1.92364,7.96672,14.97272,9.81209,38.24877,25.29131,8.22549,4.09876,3.94054,8.06631,16.43589,5.62317,17.83871,8.23658,6.65621,704537739.15743,25126280557.27809,25126280557.27809,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
2,3,1,0.999,0.002,1254,nsmallest,6.080830000000001,2.96428,7.12275,3.63274,5.53914,2.01404,2.51551,1.82,3.00478,6.16882,10.99166,10.07156,24.60852,7.80563,2.14184,4.19384,4.65326,5.15833,5.79234,5.1157,3.07846,2.69699,11.14475,6.36972,4.86996,5.827612142857142,7.052896,8.073226,3.7608319999999997,5.026439999999999,1.994196,3.9640679999999997,1.941134,3.7946820000000003,5.494122,11.138224,17.854012,23.67445,7.198522,2.6981100000000002,5.188782,15.136844,5.068402,4.975734,4.650872,4.617776,2.84193,25407.726946000002,3752.448848,1136.536370620155,4.50875,2.23909,3.06508,2.60657,2.11753,1.28676,1.98999,1.08746,2.42909,1.98522,2.60264,1.44125,3.31979,5.15815,2.04021,1.90222,1.50111,2.49212,1.42075,1.60684,1.07434,2.57881,2.77366,1.50715,1.07434,6.96531,23.73834,15.91444,4.89705,7.30195,2.86112,7.9708,3.61803,7.55243,10.93506,16.02256,61.83719,54.31645,7.9832,4.86996,12.97048,32.97036,8.19625,8.11769,7.21944,10.37264,3.3691,104145.40991,15804.07602,104145.40991,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
2,1,2,0.998,0.002,1254,nsmallest,5.41057,4.20601,5.44835,5.26221,3.92666,1.56361,2.24395,1.70592,6.65459,7.92091,1.68654,14.91991,21.81884,3.9933,3.38769,3.18054,4.08214,10.03502,3.80486,4.34331,4.60592,2.76067,16.67672,48.04565,4.85085,6.912000714285715,4.745956,5.532708,7.097028,4.00185,1.937542,2.1298839999999997,1.6320080000000001,6.604139999999999,8.444726,14.007218,19.343708,16.857734,5.939436,3.9573500000000004,4.13028,5.53037,9.259586,4.871988,3.8211059999999994,4.483522,5.753022,37090.818434,25630335.891314,994867.680019845,4.84296,2.84638,4.33327,3.43832,3.48991,1.39525,1.59118,1.18577,2.98584,4.48855,1.66204,3.86956,6.10464,3.50706,3.02813,2.54977,3.96892,5.71375,2.81985,1.73594,3.38304,2.68175,5.33167,7.37282,1.18577,9.55997,6.33965,6.32157,10.99603,4.67087,2.60386,2.61927,2.04897,10.17145,13.7349,43.81547,58.56496,25.98429,14.12658,6.71842,5.9701,10.79643,10.79381,7.20883,4.46525,5.29635,15.29776,185409.94395,128150918.30558,128150918.30558,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
2,2,2,0.998,0.002,1254,nsmallest,4.9229,5.96495,4.75052,5.61372,3.30648,1.96697,2.0828,1.57795,6.72145,3.41565,6.16849,7.21176,19.48358,4.55027,3.70362,2.7275,4.99094,7.97685,3.11759,4.32495,4.18851,4.24856,4.96473,20.3577,4.79658,5.934882142857143,5.134378,7.46408,5.1128,4.020022,2.0092980000000003,2.695136,1.6342400000000001,6.263294,5.440518,6.976124,16.167644000000003,18.980984,5.456443999999999,3.575206,3.039068,5.864608,9.17598,3.7429180000000004,8.43159,4.847136,4.490418,134315136.483818,4798998396.226638,191213708.52131832,4.78621,2.24857,3.58463,3.83006,2.42945,1.56813,1.21374,1.51689,3.54109,2.4284,5.90273,5.88839,8.96567,2.96035,2.57621,2.5065,4.72423,6.63796,2.09997,1.48974,3.81772,2.63583,3.34393,2.2357,1.21374,12.10917,6.64814,19.98446,6.01772,5.92856,2.4725,4.07898,1.88807,7.63627,14.44436,10.5432,36.81663,24.23489,7.99311,3.97133,3.7537,7.7335,15.79597,5.36087,17.11688,8.02719,6.33514,671575658.08594,23994807692.73498,23994807692.73498,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
2,3,1,0.998,0.002,1254,nsmallest,6.169765,2.87552,6.90368,3.52485,5.39127,1.94329,2.42763,1.81008,2.88671,5.95328,10.61942,9.75754,23.94256,7.70203,2.07369,4.04684,4.4994,5.01835,7.75311,5.01891,2.96014,2.59249,10.6875,6.14224,4.71853,5.763008571428571,6.815306,7.829949999999999,3.641274,4.95974,1.924268,3.8269080000000004,1.886542,3.6560699999999997,5.33169,10.755832,17.337808000000003,22.99883,7.046201999999999,2.607218,5.0181640000000005,14.663758000000001,4.912312,6.209536,4.487624,4.504476,2.7629,24429.81124,3665.2325860000005,1095.1301030232557,4.34913,2.17187,2.95617,2.51782,2.50117,1.24168,1.91871,1.04788,2.34491,1.92239,2.50352,1.39103,3.21091,5.01779,1.9697,1.82998,1.45322,2.40333,1.36693,1.54163,1.06048,2.47582,2.6554,1.45054,1.04788,6.76765,22.93662,15.42231,4.74603,7.06377,2.75612,7.7151,3.50645,7.29527,10.63833,15.50996,60.16376,52.86247,7.86313,4.71853,12.57784,31.95356,7.95017,12.58323,6.92724,10.28077,3.23418,100190.00691,15461.95498,100190.00691,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
