date_range,year,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,nlargest_nsmallest,total_profit,yearly_profit,win_ratio
2016-01-04/2016-12-31,2016,2,1,1,0.999,0.002,1254,nlargest,2.27726,2.29414,0.89
2023-01-05/2023-12-23,2023,2,1,1,0.999,0.002,1254,nlargest,2.18537,2.25064,0.74
2002-01-03/2002-12-31,2002,2,1,1,0.999,0.002,1254,nlargest,2.23105,2.24718,0.87
2001-01-05/2001-12-31,2001,2,1,1,0.999,0.002,1254,nlargest,2.18885,2.214,0.9
2001-01-02/2001-12-31,2001,2,1,1,0.999,0.002,1254,nlargest,2.17794,2.18847,0.88
2006-01-02/2006-12-31,2006,2,1,1,0.999,0.002,1254,nlargest,2.11859,2.12847,0.95
2018-01-04/2018-12-31,2018,2,1,1,0.999,0.002,1254,nlargest,2.08351,2.10159,0.99
2003-01-07/2003-12-31,2003,2,1,1,0.999,0.002,1254,nlargest,2.06382,2.09433,0.93
2006-01-06/2006-12-31,2006,2,1,1,0.999,0.002,1254,nlargest,2.06452,2.09074,0.91
2003-01-06/2003-12-31,2003,2,1,1,0.999,0.002,1254,nlargest,2.06382,2.09002,0.93
2007-01-04/2007-12-31,2007,2,1,1,0.999,0.002,1254,nlargest,2.04171,2.05894,0.95
2007-01-03/2007-12-31,2007,2,1,1,0.999,0.002,1254,nlargest,2.04171,2.05483,0.95
2021-01-07/2021-12-31,2021,2,1,1,0.999,0.002,1254,nlargest,1.96795,1.99512,0.84
2021-01-04/2021-12-31,2021,2,1,1,0.999,0.002,1254,nlargest,1.95813,1.97369,0.82
2021-01-01/2021-12-31,2021,2,1,1,0.999,0.002,1254,nlargest,1.95813,1.96266,0.82
2019-01-04/2019-12-31,2019,2,1,1,0.999,0.002,1254,nlargest,1.94519,1.96049,0.99
2002-01-04/2002-12-31,2002,2,1,1,0.999,0.002,1254,nlargest,1.89837,1.91275,1.0
2002-01-01/2002-12-31,2002,2,1,1,0.999,0.002,1254,nlargest,1.8889,1.89303,0.99
2022-01-07/2022-12-31,2022,2,1,1,0.999,0.002,1254,nlargest,1.86812,1.89191,0.87
2022-01-04/2022-12-31,2022,2,1,1,0.999,0.002,1254,nlargest,1.8588,1.87242,0.85
2005-01-05/2005-12-31,2005,2,1,1,0.999,0.002,1254,nlargest,1.67382,1.68644,0.92
2018-01-05/2018-12-31,2018,2,1,1,0.999,0.002,1254,nlargest,1.67237,1.68496,0.92
2007-01-02/2007-12-31,2007,2,1,1,0.999,0.002,1254,nlargest,1.64223,1.64728,0.88
2006-01-05/2006-12-31,2006,2,1,1,0.999,0.002,1254,nlargest,1.36853,1.37481,0.95
2002-01-07/2002-12-31,2002,2,1,1,0.999,0.002,1254,nlargest,1.32938,1.33707,0.99
2002-01-02/2002-12-31,2002,2,1,1,0.999,0.002,1254,nlargest,1.32407,1.32638,0.98
2023-01-04/2023-06-23,2023,2,1,1,0.999,0.002,1254,nlargest,1.1331,1.30797,0.41
2015-01-01/2015-12-31,2015,2,1,1,0.999,0.002,1254,nlargest,1.29598,1.29714,0.99
2015-01-07/2015-12-31,2015,2,1,1,0.999,0.002,1254,nlargest,1.12966,1.13245,0.82
