date_range,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee_%,num_tickers,nsmallest/nlargest,total_profit,yearly_profit,win_ratio
2000-08-05/2022-12-31,15,4,1,0.999,0.6,208,nsmallest,43.76412,1.18373,0.99
2000-08-05/2022-12-31,15,4,1,1.0,0.6,208,nsmallest,41.99493,1.18155,0.99
2000-08-02/2022-12-31,6,7,1,1.0,0.6,208,nsmallest,38.95526,1.17752,0.94
2000-08-05/2022-12-31,15,4,1,0.998,0.6,208,nsmallest,35.48071,1.17269,0.99
2000-08-03/2022-12-31,7,10,1,1.0,0.6,208,nsmallest,32.35223,1.16783,0.91
2000-08-09/2022-12-31,20,40,1,0.999,0.6,208,nsmallest,32.04226,1.16746,0.94
2000-08-02/2022-12-31,6,7,1,0.999,0.6,208,nsmallest,29.58078,1.16315,0.94
2000-08-09/2022-12-31,20,40,1,0.998,0.6,208,nsmallest,29.33917,1.16287,0.94
2000-08-07/2022-12-31,3,5,1,1.0,0.6,208,nsmallest,27.15968,1.15883,1.0
2000-08-06/2022-12-31,3,5,1,1.0,0.6,208,nsmallest,27.15968,1.15881,1.0
2000-08-09/2022-12-31,20,40,1,1.0,0.6,208,nsmallest,26.89872,1.15837,0.88
2000-08-08/2022-12-31,3,5,1,1.0,0.6,208,nsmallest,26.78054,1.15812,1.0
2000-08-01/2022-12-31,40,9,1,1.0,0.6,208,nsmallest,26.84199,1.1581,0.97
2000-08-03/2022-12-31,5,8,1,1.0,0.6,208,nsmallest,25.57516,1.15564,0.96
2000-08-01/2022-12-31,17,25,1,1.0,0.6,208,nsmallest,25.26701,1.15498,0.95
2000-08-05/2022-12-31,2,6,1,1.0,0.6,208,nsmallest,24.83968,1.15418,0.95
2000-08-03/2022-12-31,7,10,1,0.999,0.6,208,nsmallest,24.72949,1.15391,0.91
2000-08-01/2022-12-31,40,9,1,0.999,0.6,208,nsmallest,24.35943,1.15309,0.97
2000-08-01/2022-12-31,8,17,1,1.0,0.6,208,nsmallest,24.18186,1.15272,0.99
2000-08-02/2022-12-31,8,9,1,1.0,0.6,208,nsmallest,23.76235,1.15184,0.94
2000-08-09/2022-12-31,17,40,1,1.0,0.6,208,nsmallest,23.40344,1.15119,0.95
2000-08-04/2022-12-31,17,40,1,1.0,0.6,208,nsmallest,22.98488,1.15017,0.61
2000-08-03/2022-12-31,7,10,1,0.998,0.6,208,nsmallest,22.63006,1.14935,0.91
2000-08-02/2022-12-31,9,30,1,1.0,0.6,208,nsmallest,22.50774,1.14905,0.9
2000-08-01/2022-12-31,17,25,1,0.999,0.6,208,nsmallest,22.36369,1.1487,0.95
2000-08-01/2022-12-31,40,9,1,0.998,0.6,208,nsmallest,22.10433,1.14811,0.97
2000-08-09/2022-12-31,17,40,1,0.999,0.6,208,nsmallest,21.40958,1.14662,0.95
2000-08-01/2022-12-31,8,17,1,0.999,0.6,208,nsmallest,21.29724,1.1462,0.99
2000-08-04/2022-12-31,17,40,1,0.999,0.6,208,nsmallest,20.96366,1.14545,0.61
2000-08-02/2022-12-31,6,7,1,0.998,0.6,208,nsmallest,20.17715,1.14346,0.93
2000-08-02/2022-12-31,9,30,1,0.999,0.6,208,nsmallest,19.82206,1.14256,0.9
2000-08-01/2022-12-31,17,25,1,0.998,0.6,208,nsmallest,19.79156,1.14246,0.94
2000-08-03/2022-12-31,5,8,1,0.999,0.6,208,nsmallest,19.65302,1.14214,0.96
2000-08-09/2022-12-31,17,40,1,0.998,0.6,208,nsmallest,19.58384,1.14207,0.95
2000-08-04/2022-12-31,20,11,1,1.0,0.6,208,nsmallest,19.55358,1.1419,0.98
2000-08-08/2022-12-31,17,11,1,1.0,0.6,208,nsmallest,19.22474,1.14111,0.5
2000-08-07/2022-12-31,17,11,1,1.0,0.6,208,nsmallest,19.22474,1.14109,0.5
2000-08-06/2022-12-31,17,11,1,1.0,0.6,208,nsmallest,19.22474,1.14107,0.5
2000-08-04/2022-12-31,17,40,1,0.998,0.6,208,nsmallest,19.11842,1.14075,0.61
2000-08-08/2022-12-31,17,11,1,0.999,0.6,208,nsmallest,18.85478,1.14012,0.64
2000-08-07/2022-12-31,17,11,1,0.999,0.6,208,nsmallest,18.85478,1.1401,0.64
2000-08-06/2022-12-31,17,11,1,0.999,0.6,208,nsmallest,18.85478,1.14008,0.64
2000-08-09/2022-12-31,40,25,1,1.0,0.6,208,nsmallest,18.68122,1.13966,0.8
2000-08-03/2022-12-31,2,13,1,1.0,0.6,208,nsmallest,18.48886,1.13903,0.98
2000-08-04/2022-12-31,20,11,1,0.999,0.6,208,nsmallest,18.14015,1.13808,0.98
2000-08-01/2022-12-31,4,9,1,1.0,0.6,208,nsmallest,18.05716,1.13779,1.0
2000-08-08/2022-12-31,17,11,1,0.998,0.6,208,nsmallest,17.92464,1.13754,0.69
2000-08-07/2022-12-31,17,11,1,0.998,0.6,208,nsmallest,17.92464,1.13753,0.69
2000-08-06/2022-12-31,17,11,1,0.998,0.6,208,nsmallest,17.92464,1.13751,0.69
2000-08-02/2022-12-31,8,9,1,0.999,0.6,208,nsmallest,17.67152,1.13672,0.93
2000-08-01/2022-12-31,8,17,1,0.998,0.6,208,nsmallest,17.46642,1.13611,0.99
2000-08-02/2022-12-31,9,30,1,0.998,0.6,208,nsmallest,17.45463,1.13609,0.9
2000-08-09/2022-12-31,40,25,1,0.999,0.6,208,nsmallest,17.29609,1.13575,0.8
2000-08-03/2022-12-31,2,13,1,0.999,0.6,208,nsmallest,17.07743,1.135,0.98
2000-08-05/2022-12-31,3,10,1,1.0,0.6,208,nsmallest,16.92835,1.13459,0.79
2000-08-01/2022-12-31,9,8,1,1.0,0.6,208,nsmallest,16.39299,1.1329,0.94
2000-08-05/2022-12-31,2,8,1,1.0,0.6,208,nsmallest,16.20394,1.13238,0.96
2000-08-09/2022-12-31,40,25,1,0.998,0.6,208,nsmallest,16.01242,1.13185,0.8
2000-08-04/2022-12-31,20,11,1,0.998,0.6,208,nsmallest,15.8789,1.13134,0.97
2000-08-05/2022-12-31,4,4,1,1.0,0.6,208,nsmallest,15.86992,1.13133,0.98
2000-08-02/2022-12-31,8,9,1,0.998,0.6,208,nsmallest,15.76467,1.13094,0.91
2000-08-03/2022-12-31,8,8,1,1.0,0.6,208,nsmallest,15.61041,1.13046,0.98
2000-08-01/2022-12-31,40,9,2,1.0,0.6,208,nsmallest,15.46345,1.12995,0.97
2000-08-09/2022-12-31,11,10,1,1.0,0.6,208,nsmallest,15.40409,1.12989,0.98
2000-08-05/2022-12-31,6,25,1,1.0,0.6,208,nsmallest,15.01486,1.12853,0.94
2000-08-02/2022-12-31,3,40,1,1.0,0.6,208,nsmallest,14.73828,1.12755,0.95
2000-08-04/2022-12-31,3,7,1,1.0,0.6,208,nsmallest,14.63498,1.12723,0.94
2000-08-04/2022-12-31,7,30,1,1.0,0.6,208,nsmallest,14.58385,1.12705,0.97
2000-08-05/2022-12-31,2,6,1,0.999,0.6,208,nsmallest,14.46886,1.12667,0.95
2000-08-03/2022-12-31,5,8,1,0.998,0.6,208,nsmallest,14.39015,1.12636,0.95
2000-08-09/2022-12-31,11,10,1,0.999,0.6,208,nsmallest,14.33335,1.12626,0.98
