date_range,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee_%,num_tickers,nsmallest/nlargest,total_profit,yearly_profit,win_ratio
2000-08-09/2022-12-31,2,6,1,0.999,0.2,208,nsmallest,2276.66727,1.4123,0.99
2000-08-03/2022-12-31,3,2,1,0.998,0.2,208,nsmallest,2268.43024,1.41171,1.0
2000-08-05/2022-12-31,3,3,1,0.998,0.2,208,nsmallest,2207.29506,1.41011,1.0
2000-08-04/2022-12-31,2,5,1,0.999,0.2,208,nsmallest,2208.97181,1.4101,1.0
2000-08-05/2022-12-31,4,4,1,0.997,0.2,208,nsmallest,2202.65585,1.40998,0.99
2000-08-01/2022-12-31,5,2,1,0.999,0.2,208,nsmallest,2163.83113,1.40863,1.0
2000-08-05/2022-12-31,2,2,1,0.997,0.2,208,nsmallest,2117.60055,1.4075,1.0
2000-08-08/2022-12-31,2,4,1,0.997,0.2,208,nsmallest,2108.96844,1.40742,1.0
2000-08-07/2022-12-31,2,4,1,0.997,0.2,208,nsmallest,2108.96844,1.40737,1.0
2000-08-06/2022-12-31,2,4,1,0.997,0.2,208,nsmallest,2108.96844,1.40731,1.0
2000-08-01/2022-12-31,4,2,1,0.997,0.2,208,nsmallest,2103.6119,1.40685,1.0
2000-08-01/2022-12-31,2,2,1,0.997,0.2,208,nsmallest,2102.81962,1.40683,1.0
2000-08-09/2022-12-31,4,5,1,0.997,0.2,208,nsmallest,2034.59578,1.40523,0.99
2000-08-09/2022-12-31,4,2,1,0.997,0.2,208,nsmallest,1966.67985,1.4031,0.99
2000-08-03/2022-12-31,3,4,1,0.997,0.2,208,nsmallest,1954.65717,1.40237,1.0
2000-08-03/2022-12-31,3,3,1,0.998,0.2,208,nsmallest,1892.21669,1.40034,0.99
2000-08-05/2022-12-31,2,6,1,0.997,0.2,208,nsmallest,1822.78803,1.39812,0.99
2000-08-01/2022-12-31,5,2,1,0.998,0.2,208,nsmallest,1750.20212,1.39536,1.0
2000-08-04/2022-12-31,3,2,1,0.999,0.2,208,nsmallest,1721.11786,1.39448,1.0
2000-08-01/2022-12-31,4,3,1,0.999,0.2,208,nsmallest,1718.98431,1.39424,1.0
2000-08-03/2022-12-31,3,2,1,0.997,0.2,208,nsmallest,1701.44653,1.39371,1.0
2000-08-05/2022-12-31,3,3,2,0.999,0.2,208,nsmallest,1693.67969,1.39354,1.0
2000-08-05/2022-12-31,2,3,2,0.999,0.2,208,nsmallest,1673.0431,1.39278,0.99
2000-08-02/2022-12-31,4,3,2,0.999,0.2,208,nsmallest,1627.12498,1.39088,0.99
2000-08-04/2022-12-31,2,5,1,0.998,0.2,208,nsmallest,1562.81352,1.38849,1.0
2000-08-01/2022-12-31,2,2,2,0.997,0.2,208,nsmallest,1522.8496,1.38672,1.0
2000-08-05/2022-12-31,2,2,2,0.997,0.2,208,nsmallest,1514.43031,1.3866,1.0
2000-08-04/2022-12-31,4,2,1,0.999,0.2,208,nsmallest,1502.64048,1.38606,0.98
2000-08-03/2022-12-31,3,3,1,0.997,0.2,208,nsmallest,1498.44856,1.38583,0.98
2000-08-08/2022-12-31,6,2,1,0.999,0.2,208,nsmallest,1485.87035,1.38559,0.99
2000-08-07/2022-12-31,6,2,1,0.999,0.2,208,nsmallest,1485.63006,1.38552,0.99
2000-08-06/2022-12-31,6,2,1,0.999,0.2,208,nsmallest,1485.63006,1.38547,0.99
2000-08-02/2022-12-31,4,3,1,0.999,0.2,208,nsmallest,1445.01826,1.38353,0.99
2000-08-04/2022-12-31,2,4,1,0.999,0.2,208,nsmallest,1410.23421,1.38214,0.99
2000-08-05/2022-12-31,3,3,1,0.997,0.2,208,nsmallest,1397.3325,1.38163,1.0
2000-08-03/2022-12-31,2,2,2,0.998,0.2,208,nsmallest,1396.69857,1.38149,1.0
2000-08-02/2022-12-31,4,2,1,0.998,0.2,208,nsmallest,1394.21285,1.38133,1.0
2000-08-09/2022-12-31,2,2,2,0.998,0.2,208,nsmallest,1368.036,1.38054,0.99
2000-08-03/2022-12-31,3,4,2,0.999,0.2,208,nsmallest,1368.16687,1.38022,1.0
2000-08-08/2022-12-31,5,2,1,0.999,0.2,208,nsmallest,1347.0312,1.37953,1.0
2000-08-08/2022-12-31,4,3,1,0.999,0.2,208,nsmallest,1346.88871,1.37953,0.99
2000-08-07/2022-12-31,4,3,1,0.999,0.2,208,nsmallest,1346.88871,1.37947,0.99
2000-08-06/2022-12-31,4,3,1,0.999,0.2,208,nsmallest,1346.88871,1.37942,0.99
2000-08-07/2022-12-31,5,2,1,0.999,0.2,208,nsmallest,1337.18153,1.37903,1.0
2000-08-06/2022-12-31,5,2,1,0.999,0.2,208,nsmallest,1337.18153,1.37897,1.0
2000-08-09/2022-12-31,2,6,1,0.998,0.2,208,nsmallest,1323.64543,1.37851,0.99
2000-08-04/2022-12-31,5,3,1,0.999,0.2,208,nsmallest,1291.58989,1.37673,0.99
