date_range,year,start_watch_time,buy_time,sell_time,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,total_profit,yearly_profit,win_ratio
2023-01-03/2023-06-23,2023,Open,Open,Close,nsmallest,-999,2,1,2,0.999,0.002,1254,1.3863,2.009,0.51
2023-01-03/2023-06-23,2023,Close,Open,Close,nsmallest,-999,2,1,2,0.999,0.002,1254,1.3863,2.009,0.51
2023-01-04/2023-06-23,2023,Close,Open,Close,nsmallest,-999,3,2,1,0.999,0.002,1254,1.33,1.8454,0.39
2023-01-04/2023-06-23,2023,Open,Open,Close,nsmallest,-999,3,2,1,0.999,0.002,1254,1.33,1.8454,0.39
2000-08-14/2022-12-31,2000,Open,Open,Close,nsmallest,-999,2,1,2,0.999,0.002,1254,285787.545,1.7531,0.42
2000-08-14/2022-12-31,2000,Close,Open,Close,nsmallest,-999,2,1,2,0.999,0.002,1254,285787.545,1.7531,0.42
2000-08-13/2022-12-31,2000,Open,Open,Close,nsmallest,-999,2,1,2,0.999,0.002,1254,285787.545,1.753,0.42
2000-08-13/2022-12-31,2000,Close,Open,Close,nsmallest,-999,2,1,2,0.999,0.002,1254,285787.545,1.753,0.42
2000-08-12/2022-12-31,2000,Open,Open,Close,nsmallest,-999,2,1,2,0.999,0.002,1254,285787.545,1.7528,0.42
2000-08-12/2022-12-31,2000,Close,Open,Close,nsmallest,-999,2,1,2,0.999,0.002,1254,285787.545,1.7528,0.42
2000-08-04/2022-12-31,2000,Open,Open,Close,nsmallest,-999,2,1,2,0.999,0.002,1254,288886.273,1.7527,0.42
2000-08-04/2022-12-31,2000,Close,Open,Close,nsmallest,-999,2,1,2,0.999,0.002,1254,288886.273,1.7527,0.42
2000-08-09/2022-12-31,2000,Open,Open,Close,nsmallest,-999,2,1,2,0.999,0.002,1254,284362.0298,1.7521,0.42
2000-08-09/2022-12-31,2000,Close,Open,Close,nsmallest,-999,2,1,2,0.999,0.002,1254,284362.0298,1.7521,0.42
2000-08-01/2022-12-31,2000,Close,Open,Close,nsmallest,-999,2,1,2,0.999,0.002,1254,287445.3014,1.752,0.42
2000-08-01/2022-12-31,2000,Open,Open,Close,nsmallest,-999,2,1,2,0.999,0.002,1254,287445.3014,1.752,0.42
2023-01-04/2023-06-23,2023,Close,Open,Close,nsmallest,-999,2,3,1,0.999,0.002,1254,1.2968,1.7478,0.26
2023-01-04/2023-06-23,2023,Open,Open,Close,nsmallest,-999,2,3,1,0.999,0.002,1254,1.2968,1.7478,0.26
2023-01-03/2023-06-23,2023,Close,Open,Close,nsmallest,-999,2,1,1,0.999,0.002,1254,1.2916,1.7272,0.36
2023-01-03/2023-06-23,2023,Open,Open,Close,nsmallest,-999,2,1,1,0.999,0.002,1254,1.2916,1.7272,0.36
2023-01-04/2023-06-23,2023,Close,Open,Close,nsmallest,-999,3,3,1,0.999,0.002,1254,1.2793,1.6977,0.26
2023-01-04/2023-06-23,2023,Open,Open,Close,nsmallest,-999,3,3,1,0.999,0.002,1254,1.2793,1.6977,0.26
2023-01-04/2023-06-23,2023,Close,Open,Close,nsmallest,-999,3,2,2,0.999,0.002,1254,1.2785,1.6953,0.35
2023-01-04/2023-06-23,2023,Open,Open,Close,nsmallest,-999,3,2,2,0.999,0.002,1254,1.2785,1.6953,0.35
2023-01-04/2023-06-23,2023,Open,Open,Open,nsmallest,-999,4,3,1,0.999,0.002,1254,1.2729,1.6795,0.38
2023-01-04/2023-06-23,2023,Close,Open,Open,nsmallest,-999,4,3,1,0.999,0.002,1254,1.2729,1.6795,0.38
2023-01-03/2023-06-23,2023,Open,Open,Close,nsmallest,-999,4,1,2,0.999,0.002,1254,1.2737,1.6766,0.52
2023-01-03/2023-06-23,2023,Close,Open,Close,nsmallest,-999,4,1,2,0.999,0.002,1254,1.2737,1.6766,0.52
2023-01-04/2023-06-23,2023,Open,Open,Open,nsmallest,-999,4,3,2,0.999,0.002,1254,1.2693,1.6691,0.56
2023-01-04/2023-06-23,2023,Close,Open,Open,nsmallest,-999,4,3,2,0.999,0.002,1254,1.2693,1.6691,0.56
2023-01-04/2023-06-23,2023,Close,Open,Close,nsmallest,-999,4,3,1,0.999,0.002,1254,1.2603,1.6438,0.38
2023-01-04/2023-06-23,2023,Open,Open,Close,nsmallest,-999,4,3,1,0.999,0.002,1254,1.2603,1.6438,0.38
2023-01-02/2023-06-23,2023,Close,Open,Close,nsmallest,-999,2,1,2,0.999,0.002,1254,1.2567,1.6246,0.41
2023-01-02/2023-06-23,2023,Open,Open,Close,nsmallest,-999,2,1,2,0.999,0.002,1254,1.2567,1.6246,0.41
2023-01-04/2023-06-23,2023,Open,Open,Open,nsmallest,-999,3,2,1,0.999,0.002,1254,1.2508,1.6173,0.39
2023-01-04/2023-06-23,2023,Close,Open,Open,nsmallest,-999,3,2,1,0.999,0.002,1254,1.2508,1.6173,0.39
2023-01-04/2023-06-23,2023,Close,Open,Close,nsmallest,-999,2,2,2,0.999,0.002,1254,1.2507,1.617,0.28
2023-01-04/2023-06-23,2023,Open,Open,Close,nsmallest,-999,2,2,2,0.999,0.002,1254,1.2507,1.617,0.28
2023-01-04/2023-06-23,2023,Open,Open,Open,nsmallest,-999,3,2,2,0.999,0.002,1254,1.2477,1.6089,0.39
2023-01-04/2023-06-23,2023,Close,Open,Open,nsmallest,-999,3,2,2,0.999,0.002,1254,1.2477,1.6089,0.39
2023-01-04/2023-06-23,2023,Open,Open,Close,nsmallest,-999,4,3,2,0.999,0.002,1254,1.2476,1.6085,0.56
2023-01-04/2023-06-23,2023,Close,Open,Close,nsmallest,-999,4,3,2,0.999,0.002,1254,1.2476,1.6085,0.56
2000-08-04/2022-12-31,2000,Close,Open,Close,nsmallest,-999,2,1,1,0.999,0.002,1254,31375.0264,1.5874,0.27
