date_range,year,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,total_profit,yearly_profit,win_ratio
2003-01-03/2003-12-31,2003,nsmallest,-999,2,1,3,0.999,0.002,1254,9778.2576,10619.0495,0.62
2023-01-06/2023-12-23,2023,nsmallest,-999,4,3,1,0.999,0.002,1254,7374.1605,10586.0784,0.16
2023-01-06/2023-12-23,2023,nsmallest,-999,2,3,2,0.999,0.002,1254,5488.3142,7784.9137,0.26
2011-01-06/2011-12-31,2011,nsmallest,-999,4,1,1,0.999,0.002,1254,6111.5577,7113.2294,0.34
2023-01-05/2023-12-23,2023,nsmallest,-999,3,2,3,0.999,0.002,1254,4261.863,5837.475,0.22
2023-01-05/2023-12-23,2023,nsmallest,-999,3,2,2,0.999,0.002,1254,4150.7644,5679.6533,0.19
2023-01-06/2023-12-23,2023,nsmallest,-999,4,3,2,0.999,0.002,1254,3990.7778,5587.9734,0.26
2023-01-03/2023-06-23,2023,nsmallest,-999,2,1,2,0.999,0.002,1254,52.9433,4808.4001,0.36
2002-01-03/2002-12-31,2002,nsmallest,-999,2,3,1,0.999,0.002,1254,3974.9481,4281.9925,0.24
2006-01-02/2006-12-31,2006,nsmallest,-999,2,2,1,0.999,0.002,1254,3991.8057,4202.3352,0.23
2012-01-04/2012-12-31,2012,nsmallest,-999,2,2,1,0.999,0.002,1254,3857.441,4154.2892,0.29
2012-01-03/2012-12-31,2012,nsmallest,-999,2,2,1,0.999,0.002,1254,3857.441,4060.0223,0.29
2003-01-07/2003-12-31,2003,nsmallest,-999,2,1,1,0.999,0.002,1254,3304.8319,3894.1894,0.26
2003-01-06/2003-12-31,2003,nsmallest,-999,2,1,1,0.999,0.002,1254,3304.8319,3805.5366,0.26
2011-01-06/2011-12-31,2011,nsmallest,-999,2,1,1,0.999,0.002,1254,3175.2659,3653.7955,0.26
2023-01-06/2023-12-23,2023,nsmallest,-999,2,3,3,0.999,0.002,1254,2434.4826,3341.0963,0.22
2003-01-03/2003-12-31,2003,nsmallest,-999,3,1,2,0.999,0.002,1254,2963.0143,3183.4837,0.4
2003-01-07/2003-12-31,2003,nsmallest,-999,2,4,1,0.999,0.002,1254,2658.2979,3118.5783,0.29
2003-01-06/2003-12-31,2003,nsmallest,-999,2,4,1,0.999,0.002,1254,2658.2979,3049.4687,0.29
2003-01-02/2003-12-31,2003,nsmallest,-999,3,1,2,0.999,0.002,1254,2840.5015,2984.0106,0.38
2001-01-01/2001-12-31,2001,nsmallest,-999,3,2,1,0.999,0.002,1254,2849.2452,2928.1519,0.27
2023-01-06/2023-12-23,2023,nsmallest,-999,4,3,3,0.999,0.002,1254,1920.148,2609.9518,0.37
2003-01-01/2003-12-31,2003,nsmallest,-999,4,1,1,0.999,0.002,1254,2515.5677,2584.128,0.27
2002-01-01/2002-12-31,2002,nsmallest,-999,4,1,2,0.999,0.002,1254,2454.053,2520.7224,0.47
2001-01-02/2001-12-31,2001,nsmallest,-999,2,3,1,0.999,0.002,1254,2191.7833,2298.8203,0.29
2003-01-03/2003-12-31,2003,nsmallest,-999,2,3,2,0.999,0.002,1254,2044.8397,2189.6869,0.38
2003-01-02/2003-12-31,2003,nsmallest,-999,2,3,2,0.999,0.002,1254,2045.8631,2144.8579,0.38
2023-01-04/2023-06-23,2023,nsmallest,-999,4,2,2,0.999,0.002,1254,35.4025,2128.8497,0.26
2003-01-01/2003-12-31,2003,nsmallest,-999,4,3,1,0.999,0.002,1254,2020.6919,2074.2037,0.31
2002-01-03/2002-12-31,2002,nsmallest,-999,2,1,2,0.999,0.002,1254,1936.6429,2072.814,0.44
2001-01-05/2001-12-31,2001,nsmallest,-999,4,1,1,0.999,0.002,1254,1747.3119,1948.2963,0.3
2004-01-02/2004-12-31,2004,nsmallest,-999,2,1,3,0.999,0.002,1254,1599.446,1640.4848,0.55
2004-01-05/2004-12-31,2004,nsmallest,-999,2,1,1,0.999,0.002,1254,1282.7591,1395.5225,0.38
2004-01-06/2004-12-31,2004,nsmallest,-999,2,1,1,0.999,0.002,1254,1243.8649,1380.0833,0.36
2004-01-01/2004-12-31,2004,nsmallest,-999,2,1,1,0.999,0.002,1254,1276.3607,1282.6283,0.37
2001-01-02/2001-12-31,2001,nsmallest,-999,2,2,1,0.999,0.002,1254,1180.0071,1232.8926,0.33
2002-01-07/2002-12-31,2002,nsmallest,-999,3,4,1,0.999,0.002,1254,1042.3267,1199.8382,0.34
2002-01-01/2002-12-31,2002,nsmallest,-999,4,1,3,0.999,0.002,1254,1118.7772,1146.0754,0.55
2004-01-02/2004-12-31,2004,nsmallest,-999,2,1,1,0.999,0.002,1254,1054.7149,1080.2312,0.31
2002-01-03/2002-12-31,2002,nsmallest,-999,2,3,2,0.999,0.002,1254,992.246,1055.6567,0.38
2023-01-04/2023-06-23,2023,nsmallest,-999,2,3,2,0.999,0.002,1254,24.8858,998.2559,0.22
2023-01-04/2023-06-23,2023,nsmallest,-999,2,3,1,0.999,0.002,1254,24.5047,965.7017,0.13
2023-01-03/2023-06-23,2023,nsmallest,-999,2,1,3,0.999,0.002,1254,24.8387,954.8755,0.46
2005-01-03/2005-12-31,2005,nsmallest,-999,3,4,1,0.999,0.002,1254,889.2151,945.1108,0.33
2002-01-03/2002-12-31,2002,nsmallest,-999,2,1,3,0.999,0.002,1254,802.7363,852.4126,0.52
2011-01-05/2011-12-31,2011,nsmallest,-999,2,2,1,0.999,0.002,1254,722.5551,795.3584,0.32
2003-01-07/2003-12-31,2003,nsmallest,-999,2,4,2,0.999,0.002,1254,692.3948,790.451,0.39
2003-01-03/2003-12-31,2003,nsmallest,-999,3,1,3,0.999,0.002,1254,739.5749,784.765,0.52
2006-01-02/2006-12-31,2006,nsmallest,-999,2,2,2,0.999,0.002,1254,749.6916,781.092,0.39
2003-01-06/2003-12-31,2003,nsmallest,-999,2,4,2,0.999,0.002,1254,692.3948,775.8949,0.39
2023-01-02/2023-06-23,2023,nsmallest,-999,4,1,1,0.999,0.002,1254,22.8355,767.4932,0.13
2005-01-04/2005-12-31,2005,nsmallest,-999,3,4,1,0.999,0.002,1254,693.1135,748.5982,0.31
2003-01-02/2003-12-31,2003,nsmallest,-999,3,1,3,0.999,0.002,1254,708.9954,738.4357,0.51
2011-01-06/2011-12-31,2011,nsmallest,-999,3,2,1,0.999,0.002,1254,633.1743,708.429,0.28
2004-01-07/2004-12-31,2004,nsmallest,-999,3,1,1,0.999,0.002,1254,601.7019,672.6187,0.37
2023-01-03/2023-06-23,2023,nsmallest,-999,3,2,1,0.999,0.002,1254,20.9903,666.4764,0.13
2003-01-01/2003-12-31,2003,nsmallest,-999,4,1,2,0.999,0.002,1254,610.3461,623.9388,0.41
2012-01-04/2012-12-31,2012,nsmallest,-999,4,1,1,0.999,0.002,1254,578.6024,612.6051,0.26
2003-01-03/2003-12-31,2003,nsmallest,-999,2,3,3,0.999,0.002,1254,577.1435,611.0466,0.4
2023-01-04/2023-06-23,2023,nsmallest,-999,4,2,1,0.999,0.002,1254,19.757,607.9875,0.11
2002-01-07/2002-12-31,2002,nsmallest,-999,3,4,2,0.999,0.002,1254,530.2989,602.1381,0.54
2004-01-01/2004-12-31,2004,nsmallest,-999,3,1,1,0.999,0.002,1254,598.7006,601.3286,0.36
2012-01-03/2012-12-31,2012,nsmallest,-999,4,1,1,0.999,0.002,1254,578.0238,601.2641,0.26
2003-01-02/2003-12-31,2003,nsmallest,-999,2,3,3,0.999,0.002,1254,577.336,600.5442,0.4
2003-01-07/2003-12-31,2003,nsmallest,-999,2,1,2,0.999,0.002,1254,523.6402,594.4252,0.44
2003-01-06/2003-12-31,2003,nsmallest,-999,2,1,2,0.999,0.002,1254,523.6402,583.9423,0.44
2006-01-05/2006-12-31,2006,nsmallest,-999,3,2,1,0.999,0.002,1254,525.112,575.337,0.25
2023-01-03/2023-06-23,2023,nsmallest,-999,3,2,2,0.999,0.002,1254,19.4363,565.5031,0.13
2001-01-02/2001-12-31,2001,nsmallest,-999,2,3,2,0.999,0.002,1254,520.2562,540.8208,0.37
2001-01-01/2001-12-31,2001,nsmallest,-999,3,2,2,0.999,0.002,1254,519.0314,530.2953,0.35
2003-01-07/2003-12-31,2003,nsmallest,-999,3,1,1,0.999,0.002,1254,413.8903,467.6068,0.3
2003-01-01/2003-12-31,2003,nsmallest,-999,3,2,1,0.999,0.002,1254,450.3869,459.937,0.29
2003-01-06/2003-12-31,2003,nsmallest,-999,3,1,1,0.999,0.002,1254,413.8903,459.6675,0.3
2005-01-05/2005-12-31,2005,nsmallest,-999,2,1,1,0.999,0.002,1254,409.7668,447.3385,0.44
2002-01-02/2002-12-31,2002,nsmallest,-999,3,2,1,0.999,0.002,1254,427.7165,444.0837,0.25
2012-01-05/2012-12-31,2012,nsmallest,-999,2,3,1,0.999,0.002,1254,405.8954,435.6349,0.3
2001-01-05/2001-12-31,2001,nsmallest,-999,4,1,2,0.999,0.002,1254,388.8147,424.1405,0.42
2011-01-06/2011-12-31,2011,nsmallest,-999,4,1,2,0.999,0.002,1254,380.7441,422.2412,0.46
2023-01-04/2023-06-23,2023,nsmallest,-999,4,2,3,0.999,0.002,1254,16.6465,420.7741,0.26
2003-01-01/2003-12-31,2003,nsmallest,-999,3,1,1,0.999,0.002,1254,411.8258,420.429,0.3
2006-01-02/2006-12-31,2006,nsmallest,-999,2,2,3,0.999,0.002,1254,398.3432,413.404,0.5
2004-01-02/2004-12-31,2004,nsmallest,-999,2,1,2,0.999,0.002,1254,403.8084,412.2162,0.44
2002-01-01/2002-12-31,2002,nsmallest,-999,3,2,1,0.999,0.002,1254,376.442,384.1874,0.25
2004-01-06/2004-12-31,2004,nsmallest,-999,4,4,1,0.999,0.002,1254,351.8987,383.3125,0.26
2001-01-03/2001-12-31,2001,nsmallest,-999,2,1,1,0.999,0.002,1254,360.818,380.4059,0.24
2005-01-05/2005-12-31,2005,nsmallest,-999,2,1,2,0.999,0.002,1254,349.0779,380.1952,0.53
2012-01-04/2012-12-31,2012,nsmallest,-999,2,2,2,0.999,0.002,1254,359.9354,379.4671,0.46
2004-01-05/2004-12-31,2004,nsmallest,-999,4,4,1,0.999,0.002,1254,351.8987,377.0477,0.26
2012-01-03/2012-12-31,2012,nsmallest,-999,2,2,2,0.999,0.002,1254,359.7554,373.1216,0.46
2001-01-03/2001-12-31,2001,nsmallest,-999,2,1,2,0.999,0.002,1254,342.4203,360.8399,0.44
