,,,,,,,,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count
year,,,,,,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All
rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nsmallest,-999,3,1,1,0.999,0.002,1254,18.0904,77.2997,5.7352,467.6068,44.8437,10.5318,3.9783,1.8785,2.4698,31.7637,19.0077,31.3364,53.9179,4.4944,3.8972,5.159,8.0147,4.0056,7.3567,8.5587,5.0825,8.6029,4.1014,11.8704,8.1394,18.119828571428574,62.19052000000001,14.699679999999997,5890.26362,266.04936000000004,51.9028,74.6241,1.8691,4.322419999999999,30.81268,55.97714,63.871300000000005,144.93154,4.76744,3.6832599999999998,6.98066,8.31526,4.7415400000000005,6.3509,27.524220000000003,6.21936,7.180540000000001,5.78834,272168.60776,10812.496475193799,8.5638,3.9008,0.3009,420.429,5.6636,1.4223,2.6175,1.6042,1.9301,8.1394,3.3977,14.7244,6.0378,3.95,2.4037,4.8531,3.8233,2.2313,3.9936,6.7719,2.5555,3.6217,4.0133,1.8318,0.3009,22.9972,109.0816,42.9158,14535.6406,672.6187,231.5535,329.4823,2.1334,7.7883,42.6192,234.6615,129.7527,328.7825,6.8167,5.4612,14.6719,17.6617,9.7909,8.0661,86.5382,12.4007,9.8101,12.3905,1360717.3263,1360717.3263,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
nsmallest,-999,3,2,2,0.999,0.002,1254,9.0166,12.1912,19.8297,18.7349,35.295,6.4932,35.4698,1.6149,5.0706,3.7691,5.3067,35.303,36.8553,7.754,6.1028,3.2747,4.884,4.9945,3.5509,5.7505,9.9437,2.8437,5.6479,77.5846,7.2282,10.56405,119.90884000000001,84.49136,55.02216,24.413760000000003,17.7757,46.62596,1.6804000000000001,4.621560000000001,8.66252,10.05814,29.31746,31.82788,6.34614,8.3998,4.44516,5.4686,4.49622,3.3226799999999996,6.82118,8.28176,3.9960999999999998,5.7604,1268.00106,69.3536503875969,7.1075,1.9411,4.7539,17.8967,2.6154,4.8251,2.0254,1.6125,2.3364,3.1716,3.3805,4.2752,2.8795,2.6469,4.4373,3.0373,4.1901,2.0753,1.7728,4.0385,2.55,2.605,3.8838,7.7132,1.6125,15.8702,530.2953,205.4355,200.7766,36.6634,47.0322,140.5605,1.9329,7.5445,18.5802,24.6242,61.5519,51.5765,8.434,14.1126,7.7121,7.2282,6.6754,4.3629,12.3897,10.9858,7.8779,8.4813,5679.6533,5679.6533,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
nsmallest,-999,2,3,2,0.999,0.002,1254,10.45425,12.0724,18.5537,19.6851,15.5606,13.964,21.5133,2.2547,3.0327,4.2784,6.8999,8.8735,16.207,6.6215,4.27,4.4345,5.9103,6.6456,3.0588,5.7102,4.7633,4.5838,8.4571,4.2022,6.6215,11.545792857142857,123.88462,228.7138,872.04766,18.293200000000002,12.928540000000002,21.60788,2.08736,3.27438,4.795640000000001,6.17612,16.610039999999998,30.6067,5.81072,4.779179999999999,4.79694,4.7541,6.919700000000001,8.74692,5.54844,7.49084,5.5857,18466.95156,1758.56348,839.2752612403101,7.811,1.7095,3.9406,2.9996,2.2936,1.5376,1.6548,1.2361,2.6789,3.0803,3.5073,4.2421,4.2653,3.8217,3.7428,4.3631,1.6389,2.5937,2.2487,3.482,3.8364,1.7986,2.0406,1.4127,1.2361,20.1719,540.8208,1055.6567,2189.6869,29.6136,21.1621,39.9205,2.7054,4.0488,7.7217,9.22,44.8837,88.5803,7.9205,5.8508,5.9469,7.9892,10.2829,17.918,7.639,18.3272,12.1482,92288.1037,7784.9137,92288.1037,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
nsmallest,-999,3,1,2,0.999,0.002,1254,12.58005,46.6004,20.4253,226.8735,27.0923,5.8215,2.629,1.734,3.5857,11.4643,10.9103,17.4555,16.2473,3.5575,3.5628,5.4909,4.7451,3.8552,4.3897,6.2217,8.02,5.6329,6.4337,7.9754,6.5668,12.62477142857143,35.554,22.145400000000002,1364.85382,67.65928,55.84842,21.43496,1.91724,3.0396799999999997,10.96938,15.13374,21.308780000000002,79.05936,3.4912800000000006,3.43912,6.20876,6.0883400000000005,4.35004,4.28088,12.17746,7.937479999999999,5.00756,6.14504,94577.95895999999,3735.323966666667,6.8881,3.0807,2.7089,206.4301,4.6653,1.7974,2.2589,1.711,1.9638,6.5668,3.0889,9.752,8.5755,2.5436,2.6706,4.1513,4.4776,3.3123,3.7135,5.4871,2.5476,3.0728,3.2123,2.5115,1.711,15.1615,56.8543,42.0015,3183.4837,156.528,262.3696,75.9839,2.601,3.8937,12.7839,47.4676,33.2074,179.3814,5.1874,4.4081,11.3922,11.9122,5.5715,4.7883,30.1402,12.8802,7.2772,10.3162,472777.2546,472777.2546,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
nsmallest,-999,3,3,1,0.999,0.002,1254,7.66415,3.9804,19.0085,11.8411,24.3951,9.2765,32.4197,1.7024,3.2388,21.9145,8.125,24.4609,12.4608,1.6902,3.2456,4.1738,2.5703,3.8693,9.3111,3.8417,5.2592,4.7974,3.5849,5.1298,6.0173,9.394400000000001,71.55127999999999,29.18116,13894.734059999999,45.37518,63.79022,21.64736,1.6458,3.40622,18.91436,10.342859999999998,22.264760000000003,14.37622,3.7072200000000004,3.30102,4.02484,4.6772800000000005,3.66552,14.421199999999999,5.271,7.47552,5.66706,5.36308,44963596.63874,1743328.5948170545,7.1691,0.6504,3.1512,2.9274,17.884,3.2424,1.6901,1.3493,2.3496,3.9278,3.1769,3.2736,2.9335,1.1715,1.9959,2.3237,1.8294,2.6217,1.8295,3.3077,4.3165,2.7256,1.6128,0.8225,0.6504,16.5596,328.9427,71.3068,35234.3456,105.9872,170.0703,33.8496,1.9376,5.4529,34.0204,17.6484,36.0435,37.2634,10.0668,4.7286,6.0034,10.6935,4.7743,27.9517,11.793,14.7266,11.0434,12.1542,224817917.1953,224817917.1953,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
nsmallest,-999,3,2,3,0.999,0.002,1254,7.06935,10.8713,12.9856,17.7543,14.224,4.3168,27.2177,1.5897,4.3879,3.6787,4.6212,17.7087,19.6891,6.0078,5.3366,3.5116,4.6902,5.6488,2.8757,4.5308,8.4391,3.1951,5.0705,55.0958,6.0078,8.424842857142858,56.059659999999994,57.65146,34.79214,13.45542,12.19192,27.70654,1.64418,3.73402,6.04236,6.865780000000001,13.5808,17.07376,5.0290799999999996,7.730200000000001,4.03306,4.94962,4.46134,2.96888,4.56652,9.602500000000001,3.9903,13.42784,1217.2661,60.1710480620155,5.8405,2.1232,4.9113,9.3505,1.9055,3.6872,1.9487,1.4187,2.3655,2.6317,3.6128,3.492,3.0632,2.727,3.3666,2.9391,3.9202,2.1604,1.7198,3.2345,2.3654,2.6607,3.8101,6.6157,1.4187,12.061,218.6446,155.6955,119.1644,29.8746,32.229,69.7675,1.9774,5.1357,10.495,13.7713,20.8956,24.4056,6.7733,13.6982,5.2603,6.2519,5.9908,4.156,6.4633,17.2185,7.4288,47.5564,5837.475,5837.475,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
nsmallest,-999,2,4,1,0.999,0.002,1254,10.4926,2.6644,49.9099,68.819,56.3184,1.6043,8.3249,2.4407,2.7225,6.8076,12.4214,9.184,9.2027,4.6181,8.9,7.751,4.6843,5.8465,5.9652,3.3362,5.814,2.1792,3.272,2.027,5.9287,9.987492857142856,59.245360000000005,41.86298,1261.27922,42.01796,22.203139999999998,66.1896,2.34388,3.2231,6.91738,32.1075,11.227619999999998,6.840120000000001,4.92,7.39608,6.39984,4.9305,5.64398,15.25764,3.7656599999999996,4.6985399999999995,2.4904,3.7858199999999997,9231585.0673,357877.04568217054,4.657,2.0184,0.146,1.4401,12.4852,1.4778,1.074,1.82,2.715,4.0913,2.261,4.5381,1.504,2.6556,3.0721,2.3432,3.0686,1.9955,1.2342,2.194,1.7568,0.9174,1.404,0.8198,0.146,14.6968,254.562,88.5065,3118.5783,62.3577,98.5286,296.9749,2.5687,4.6132,12.0867,68.8314,21.1038,10.8263,9.992,9.6858,8.2484,6.8939,8.0579,33.3327,7.0468,6.7619,5.9881,8.1684,46157902.8771,46157902.8771,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
nsmallest,-999,4,2,1,0.999,0.002,1254,7.646850000000001,4.783,13.3308,282.9751,23.2133,4.6655,2.0012,1.9194,3.6589,8.5864,24.1018,13.9856,10.9257,2.1792,4.1013,3.0545,9.0309,3.5454,5.1949,3.7133,3.8637,8.7487,4.2348,3.3821,5.7912,8.563828571428571,66.82202,84.23406,226.83571999999998,26.961840000000002,37.013259999999995,5.5134,1.9439799999999998,4.0707,8.62884,26.289859999999997,22.63458,12.849860000000001,4.29904,4.65496,3.8938,6.69882,4.18488,5.72198,3.6925800000000004,3.5700000000000003,6.437099999999999,4.81306,196631470.7199,7621397.9249209305,5.1161,3.5213,2.6703,1.9949,2.6925,1.7499,1.7967,1.6708,1.272,2.0066,1.7436,4.5421,2.8042,2.1414,2.6081,1.7594,1.6077,1.2525,2.6049,2.1821,2.2213,2.2283,2.3673,1.6554,1.2525,14.0896,314.1676,344.3892,293.4773,43.4378,139.0657,18.0488,2.1483,6.001,15.3072,44.9778,47.4233,29.2466,8.3868,6.7364,6.6094,9.0953,9.2893,12.319,5.9842,4.0558,10.0324,8.4628,983156738.3657,983156738.3657,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
nsmallest,-999,3,1,3,0.999,0.002,1254,9.75665,33.0947,12.5319,143.7019,21.7406,4.3494,2.3098,1.6251,2.7341,6.9491,9.6935,10.1882,9.4209,3.1572,3.0161,5.1524,4.1575,3.4456,4.0646,6.6399,6.559,5.0193,5.0974,5.0517,5.4879,9.729185714285714,29.60428,15.79386,388.07414,29.19948,26.73994,12.017259999999998,1.7720600000000002,2.42378,7.42304,10.77312,13.06822,56.24862,3.0457799999999997,3.35524,6.31142,4.63214,3.7652200000000002,3.8618200000000003,9.37614,9.09338,4.460800000000001,6.33024,43561.9183,1714.5941860465116,5.4879,2.8509,3.8193,131.741,3.0594,1.5967,2.2502,1.5045,1.9094,5.9489,2.2435,7.0767,6.5931,2.4892,2.8531,4.6316,3.4223,2.8904,3.4451,4.1966,3.5746,2.4305,3.7391,3.7352,1.5045,11.4262,62.5747,34.6029,784.765,60.9172,120.9176,35.4439,2.5255,2.7947,8.9612,29.8683,20.0689,128.2838,3.8752,4.9212,11.8079,7.8392,4.8576,4.2684,21.3599,16.8908,6.4275,12.7207,217760.6205,217760.6205,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
nsmallest,-999,4,1,1,0.999,0.002,1254,7.7955000000000005,5.3739,5.574,29.6809,4.297,8.1849,1.938,1.7167,2.4134,11.8913,24.0562,21.0301,11.6625,7.4112,3.4499,4.2035,4.6225,3.8082,4.9544,4.4386,3.4924,3.7301,3.7293,3.4846,5.3739,8.888578571428571,398.79804,2356.53774,537.86228,72.02564,13.543020000000002,12.26348,1.9939799999999999,3.32378,17.12354,37.6242,1439.8202,247.03977999999998,12.17022,3.4974600000000002,5.042,4.7724400000000005,3.8433,5.774179999999999,4.25844,3.4967599999999996,4.38814,4.328239999999999,58082044.80538,2251444.155824031,6.8054,1.3837,0.3458,22.2397,4.1804,1.5985,1.3412,1.4365,2.1793,1.5123,17.5671,1.8804,2.4721,1.9352,2.6029,2.0757,3.3372,1.67,2.7716,2.9267,1.3754,1.4119,2.2007,2.2946,0.3458,15.1532,1948.2963,11747.8812,2584.128,323.6673,33.7659,28.469,3.344,4.8206,55.669,83.5196,7113.2294,612.6051,22.4225,4.5808,9.4919,6.2696,6.0668,8.4784,4.7813,7.7348,8.6332,9.0891,290409447.9113,290409447.9113,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
