date_range,watch_days,hold_days,num_stocks_to_buy,loss_limit,total_profit,yearly_profit,win_ratio
2000-08-05/2022-12-31,3,20,1,0.998,4.28849,1.06714,0.28
2000-08-09/2022-12-31,3,40,1,0.998,4.27528,1.06703,0.76
2000-08-03/2022-12-31,15,3,1,0.998,4.23164,1.06649,0.42
2000-08-02/2022-12-31,8,25,1,0.999,4.22512,1.06641,0.9
2000-08-02/2022-12-31,8,25,1,1.0,4.19957,1.06612,0.91
2000-08-01/2022-12-31,7,5,1,1.0,4.17817,1.06587,0.29
2000-08-01/2022-12-31,11,10,1,0.998,4.11842,1.06519,0.85
2000-08-07/2022-12-31,4,13,1,1.0,4.08568,1.06486,0.93
2000-08-08/2022-12-31,4,13,1,1.0,4.08568,1.06486,0.93
2000-08-06/2022-12-31,4,13,1,1.0,4.08568,1.06485,0.93
2000-08-03/2022-12-31,9,5,1,0.999,4.05803,1.0645,0.84
2000-08-09/2022-12-31,3,40,1,1.0,4.01971,1.0641,0.58
2000-08-08/2022-12-31,4,13,1,0.998,4.00721,1.06394,0.93
2000-08-06/2022-12-31,4,13,1,0.998,4.00721,1.06393,0.93
2000-08-07/2022-12-31,4,13,1,0.998,4.00721,1.06393,0.93
2000-08-09/2022-12-31,35,30,1,1.0,3.98697,1.06371,0.83
2000-08-05/2022-12-31,10,10,1,0.998,3.98672,1.06367,0.69
2000-08-04/2022-12-31,10,13,1,0.999,3.96801,1.06344,0.95
2000-08-02/2022-12-31,8,25,1,0.998,3.90192,1.06263,0.9
2000-08-03/2022-12-31,6,7,1,1.0,3.8847,1.06243,0.93
2000-08-03/2022-12-31,11,11,2,1.0,3.86552,1.06219,0.56
2000-08-04/2022-12-31,3,25,1,1.0,3.80806,1.06149,0.93
2000-08-02/2022-12-31,10,11,1,0.998,3.80126,1.06139,0.67
2000-08-01/2022-12-31,40,35,1,0.998,3.80038,1.06137,0.84
2000-08-04/2022-12-31,3,35,1,0.998,3.79427,1.06132,0.89
2000-08-01/2022-12-31,3,5,1,1.0,3.76372,1.06091,0.29
2000-08-09/2022-12-31,17,9,1,0.999,3.75318,1.06084,0.89
2000-08-09/2022-12-31,15,7,1,1.0,3.75198,1.06083,0.82
2000-08-09/2022-12-31,35,30,1,0.999,3.68029,1.05991,0.83
2000-08-02/2022-12-31,40,25,1,1.0,3.6792,1.05985,0.76
2000-08-02/2022-12-31,3,35,1,1.0,3.65826,1.05958,0.95
2000-08-04/2022-12-31,10,10,1,0.999,3.65281,1.05952,0.62
2000-08-05/2022-12-31,17,5,1,0.998,3.63496,1.0593,0.84
2000-08-04/2022-12-31,7,40,1,1.0,3.62516,1.05916,0.94
2000-08-09/2022-12-31,3,40,1,0.999,3.55071,1.05822,0.47
2000-08-01/2022-12-31,40,10,1,0.998,3.54416,1.05807,0.13
2000-08-01/2022-12-31,40,10,1,1.0,3.51487,1.05768,0.23
2000-08-03/2022-12-31,11,11,1,0.998,3.51231,1.05766,0.57
2000-08-01/2022-12-31,25,3,1,1.0,3.43158,1.05655,0.85
2000-08-03/2022-12-31,13,9,1,1.0,3.42364,1.05646,0.64
2000-08-03/2022-12-31,6,15,1,0.999,3.41848,1.05638,0.95
2000-08-02/2022-12-31,10,4,1,1.0,3.4168,1.05635,0.54
2000-08-09/2022-12-31,35,30,1,0.998,3.39693,1.05613,0.83
2000-08-02/2022-12-31,40,25,1,0.999,3.39959,1.05612,0.75
2000-08-03/2022-12-31,6,8,1,1.0,3.37972,1.05585,0.99
2000-08-08/2022-12-31,6,15,1,0.998,3.36788,1.05572,0.9
2000-08-07/2022-12-31,6,15,1,0.998,3.36788,1.05571,0.9
2000-08-08/2022-12-31,25,30,1,1.0,3.36639,1.0557,0.24
2000-08-06/2022-12-31,6,15,1,0.998,3.36788,1.0557,0.9
2000-08-07/2022-12-31,25,30,1,1.0,3.36639,1.05569,0.24
2000-08-06/2022-12-31,25,30,1,1.0,3.36639,1.05568,0.24
2000-08-07/2022-12-31,5,8,1,0.998,3.33915,1.05531,0.93
2000-08-08/2022-12-31,5,8,1,0.998,3.33915,1.05531,0.93
2000-08-06/2022-12-31,5,8,1,0.998,3.33915,1.0553,0.93
2000-08-05/2022-12-31,8,9,1,1.0,3.33704,1.05526,0.91
2000-08-08/2022-12-31,2,40,1,1.0,3.33119,1.0552,0.88
2000-08-06/2022-12-31,2,40,1,1.0,3.33119,1.05519,0.88
2000-08-07/2022-12-31,2,40,1,1.0,3.33119,1.05519,0.88
2000-08-02/2022-12-31,8,25,2,1.0,3.32375,1.05505,0.94
2000-08-05/2022-12-31,11,8,1,1.0,3.3006,1.05475,0.81
2000-08-07/2022-12-31,4,13,1,0.999,3.27182,1.05435,0.93
2000-08-08/2022-12-31,4,13,1,0.999,3.27182,1.05435,0.93
2000-08-06/2022-12-31,4,13,1,0.999,3.27182,1.05434,0.93
2000-08-04/2022-12-31,10,13,1,0.998,3.25654,1.05411,0.94
2000-08-04/2022-12-31,7,40,1,0.999,3.24087,1.05388,0.94
2000-08-05/2022-12-31,10,10,1,0.999,3.22395,1.05364,0.59
2000-08-05/2022-12-31,10,10,1,1.0,3.17019,1.05285,0.49
2000-08-01/2022-12-31,40,10,1,0.999,3.1707,1.05283,0.16
2000-08-03/2022-12-31,8,5,2,0.999,3.16602,1.05277,0.39
2000-08-02/2022-12-31,3,35,1,0.999,3.16425,1.05274,0.95
2000-08-04/2022-12-31,3,25,1,0.999,3.14566,1.05248,0.93
2000-08-04/2022-12-31,40,30,2,1.0,3.13973,1.05239,0.9
2000-08-02/2022-12-31,40,25,1,0.998,3.14098,1.05239,0.75
2000-08-04/2022-12-31,7,4,1,1.0,3.13542,1.05232,0.45
2000-08-04/2022-12-31,10,11,1,1.0,3.1192,1.05208,0.15
2000-08-05/2022-12-31,25,9,2,1.0,3.11423,1.05201,0.93
2000-08-03/2022-12-31,8,5,2,0.998,3.09661,1.05173,0.21
2000-08-08/2022-12-31,5,6,1,1.0,3.08678,1.05162,0.51
2000-08-07/2022-12-31,5,6,1,1.0,3.08678,1.05161,0.51
2000-08-06/2022-12-31,5,6,1,1.0,3.08678,1.0516,0.51
2000-08-04/2022-12-31,17,40,1,0.998,3.0866,1.05159,0.95
2000-08-02/2022-12-31,8,25,2,0.999,3.08604,1.05157,0.94
2000-08-09/2022-12-31,11,7,2,1.0,3.07474,1.05144,0.23
2000-08-08/2022-12-31,25,30,1,0.999,3.06422,1.05127,0.23
2000-08-07/2022-12-31,25,30,1,0.999,3.06422,1.05127,0.23
2000-08-06/2022-12-31,25,30,1,0.999,3.06422,1.05126,0.23
2000-08-01/2022-12-31,40,35,1,1.0,3.06519,1.05124,0.84
2000-08-01/2022-12-31,25,3,1,0.999,3.05686,1.05111,0.7
2000-08-03/2022-12-31,6,15,2,1.0,3.04866,1.051,0.95
2000-08-02/2022-12-31,40,11,1,1.0,3.04838,1.05099,0.12
2000-08-03/2022-12-31,11,11,2,0.999,3.04234,1.0509,0.53
2000-08-08/2022-12-31,2,40,2,1.0,3.03,1.05074,0.88
2000-08-07/2022-12-31,2,40,2,1.0,3.03,1.05074,0.88
2000-08-06/2022-12-31,2,40,2,1.0,3.03,1.05073,0.88
2000-08-03/2022-12-31,3,6,1,0.998,3.02814,1.05068,0.11
2000-08-03/2022-12-31,13,9,1,0.999,3.01605,1.0505,0.58
2000-08-04/2022-12-31,5,17,1,1.0,3.01516,1.05049,0.49
2000-08-09/2022-12-31,15,7,1,0.999,3.00885,1.05042,0.75
2000-08-02/2022-12-31,20,17,1,1.0,2.98803,1.05005,0.16
2000-08-02/2022-12-31,10,4,1,0.999,2.97968,1.04992,0.46
2000-08-03/2022-12-31,9,5,1,0.998,2.96312,1.04967,0.71
2000-08-02/2022-12-31,8,25,2,0.998,2.94858,1.04943,0.94
2000-08-08/2022-12-31,2,40,1,0.999,2.92784,1.04914,0.88
2000-08-07/2022-12-31,2,40,1,0.999,2.92784,1.04913,0.88
2000-08-06/2022-12-31,2,40,1,0.999,2.92784,1.04912,0.88
2000-08-01/2022-12-31,13,8,1,1.0,2.92767,1.04909,0.12
2000-08-04/2022-12-31,5,6,2,0.999,2.92355,1.04904,0.17
2000-08-04/2022-12-31,40,30,2,0.999,2.92099,1.049,0.89
2000-08-02/2022-12-31,6,11,1,1.0,2.9049,1.04873,0.84
2000-08-04/2022-12-31,7,40,1,0.998,2.89699,1.04862,0.94
2000-08-05/2022-12-31,11,8,1,0.999,2.87798,1.04831,0.81
2000-08-02/2022-12-31,6,11,1,0.999,2.8764,1.04827,0.84
2000-08-03/2022-12-31,6,7,1,0.999,2.86898,1.04816,0.82
2000-08-01/2022-12-31,40,35,1,0.999,2.86359,1.04806,0.84
2000-08-05/2022-12-31,8,30,1,1.0,2.85117,1.04788,0.98
2000-08-08/2022-12-31,25,30,1,0.998,2.83843,1.04768,0.21
2000-08-07/2022-12-31,25,30,1,0.998,2.83843,1.04768,0.21
2000-08-06/2022-12-31,25,30,1,0.998,2.83843,1.04767,0.21
2000-08-08/2022-12-31,5,8,2,1.0,2.835,1.04763,0.88
2000-08-07/2022-12-31,5,8,2,1.0,2.835,1.04762,0.88
2000-08-06/2022-12-31,5,8,2,1.0,2.835,1.04762,0.88
