watch_days,num_stocks_to_buy,hold_days,loss_limit,total_profit,yearly_profit
4,1,6,0.998,558.3806491214092,1.3262024904927592
4,1,3,0.998,459.25071030749626,1.3146833972793697
3,1,8,0.998,376.7631524246036,1.3031169058535725
4,1,6,0.995,291.0598312321225,1.2881913815740662
5,1,8,0.998,280.22039583263586,1.2860110133041072
2,1,4,0.998,257.674337020577,1.2812051934554662
3,1,8,0.995,237.06054440170277,1.2764457592047425
4,1,8,0.998,198.4461689662601,1.2663559252932086
3,1,3,0.998,191.42873037287345,1.2643225628161117
4,1,3,0.995,169.86927226628794,1.2575974974119344
4,2,6,0.998,143.63269750000134,1.2482152234439596
5,1,8,0.995,139.78360747694637,1.2467027288592025
3,2,3,0.998,120.24603074391538,1.2383528676487572
4,2,3,0.998,120.23620468691894,1.2383483506749717
3,1,5,0.998,115.84720651957086,1.2362946360517315
4,1,7,0.998,108.20525171054999,1.232534603206942
3,1,4,0.998,93.73956661732834,1.2246647372697261
4,2,8,0.998,79.3975400089727,1.215621308758922
5,1,3,0.998,72.16677877460357,1.2104512240644232
4,1,8,0.995,71.4073676207642,1.2098798017286228
4,2,6,0.995,66.36949330260823,1.2059351772277995
4,1,4,0.998,64.71584451902568,1.2045778039358275
5,1,5,0.998,64.70729722560165,1.2045707023077954
5,2,8,0.998,64.22970010283484,1.2041724536699814
2,2,4,0.998,63.724885366835615,1.2037484219906982
3,1,6,0.998,63.337682227149195,1.203421000699858
2,1,5,0.998,62.02946801943674,1.2023004439568623
4,1,7,0.995,61.775037938503466,1.2020798907100627
2,1,4,0.995,58.35872335403377,1.1990312966195835
3,2,5,0.998,58.28182661023132,1.1989607325104978
5,2,5,0.998,54.08416069632102,1.1949671424749913
4,1,2,0.998,51.668030326942926,1.192531983508453
2,2,5,0.998,48.588253336303204,1.1892651537530365
3,2,4,0.998,42.678560616381645,1.182400951159678
3,1,3,0.995,42.64064122383827,1.1823540397546892
4,2,3,0.995,41.538517443725674,1.1809728541915558
3,1,5,0.995,41.471916387840885,1.1808882716841507
2,2,6,0.998,40.68589596071517,1.1798801121897866
4,2,7,0.998,40.06968970319668,1.1790766608088838
4,2,5,0.998,37.8096844179099,1.17602528220123
3,2,8,0.998,35.906799911528466,1.1733177836889537
4,1,5,0.998,33.54069369374191,1.1697532020008488
5,2,4,0.998,33.40987833245495,1.1695491837396972
4,2,8,0.995,33.170344103677394,1.1691736226122913
5,1,3,0.995,33.13829471237727,1.169123176579818
3,2,3,0.995,32.24491323902727,1.1676978944951368
5,2,8,0.995,31.49872148525503,1.1664782178312323
3,1,4,0.995,27.8208848972459,1.1600315836243003
3,2,8,0.995,27.206783384885686,1.1588764339862943
3,2,6,0.998,26.94292367796131,1.15837243374227
4,1,4,0.995,26.31898306706851,1.1571616259179702
5,1,5,0.995,26.23508300361162,1.156996723478249
3,2,5,0.995,23.659550139595943,1.15167272279362
4,2,7,0.995,23.193005616708227,1.1506493876402342
4,2,4,0.998,23.14411638514133,1.1505410162752656
5,2,5,0.995,23.0760540867849,1.1503897797777316
5,2,6,0.998,22.100838862432212,1.148174718125563
2,2,8,0.998,21.389764524619512,1.1464999411098862
5,1,6,0.998,20.465308715472368,1.1442412219336975
3,1,6,0.995,18.439960619906127,1.1389311594857203
2,1,7,0.998,17.85976236226076,1.1373070869834376
2,1,5,0.995,17.51509749064796,1.136318277577362
4,2,5,0.995,16.998275207954126,1.1348001660206157
2,2,4,0.995,16.52742982952624,1.1333782178323404
3,1,7,0.998,16.183156334623995,1.1323138057012512
3,2,7,0.998,15.37961610944134,1.1297427748875144
5,2,4,0.995,14.734418552733771,1.1275837275955753
2,2,6,0.995,14.628299765312741,1.1272199932398819
2,2,5,0.995,14.280054731050079,1.126008376089215
4,1,5,0.995,14.130106916606865,1.125477959072027
5,1,4,0.998,12.955088794051186,1.1211249586555787
5,2,6,0.995,12.610904607918766,1.119778307184178
5,2,3,0.998,12.333709411381662,1.1186679796625953
3,2,6,0.995,11.68355541846463,1.115967238860939
3,2,4,0.995,11.580131784257368,1.1155244292451982
2,1,8,0.998,10.964562260724747,1.1128080014542616
2,1,6,0.998,10.583687633574193,1.1110533108309437
2,2,8,0.995,10.078298200164314,1.1086294418578508
5,1,6,0.995,10.043049708034534,1.108456083798555
4,1,2,0.995,9.383887902962508,1.1051023948805734
4,2,4,0.995,9.072071278827025,1.1034367337116786
5,1,7,0.998,7.771055358203507,1.0958390446650554
3,1,7,0.995,6.964648321937548,1.0904932716384848
2,2,7,0.998,6.722695048870049,1.0887735997902748
3,1,2,0.998,6.415838262223279,1.0865055095163307
5,2,7,0.998,6.3881871616663615,1.0862960672595892
3,2,7,0.995,6.048125133874354,1.08364695363758
2,1,7,0.995,5.920284211769093,1.082614100887607
