,,,,,,,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count
year,,,,,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All
watch_days,hold_days,num_stocks_to_buy,loss_limit,fee_%,num_tickers,nsmallest/nlargest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,1,0.998,0.2,208,nsmallest,1.34096,2.05754,2.08623,1.21483,1.10484,1.18845,1.25578,1.19076,1.24925,1.4912,1.01907,1.10938,1.06774,0.92952,0.84345,1.10548,1.97704,1.22083,1.07821,1.31381,1.83373,1.11889,1.07979,1.03344,1.2809650000000001,1.3433369565217392,2.121744,1.826762,1.5514759999999999,1.239224,1.8106379999999997,1.317788,1.245006,1.682946,1.492206,0.9901440000000001,1.1144479999999999,1.2157399999999998,0.9924759999999999,0.8718640000000001,1.166774,1.680312,1.33931,1.2314180000000001,1.3819379999999999,2.157136,1.341996,1.456272,1.0308259999999998,1.392673695652174,1.1767,1.70436,0.94776,0.90486,0.92438,0.89203,1.23198,0.89652,0.90872,1.40526,0.83054,0.9889,0.94023,0.89025,0.80169,1.05686,1.07142,0.88147,0.95171,1.19293,1.11427,0.93309,0.8212,0.74056,0.74056,1.45838,2.69781,2.72653,3.17371,1.57177,4.57823,1.44816,1.56967,2.58918,1.65063,1.09339,1.20464,1.67488,1.10896,1.00327,1.30255,2.03891,2.34308,1.55551,1.86581,3.19131,1.95006,2.47156,1.37174,4.57823,23.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,138
2,3,2,0.999,0.2,208,nsmallest,1.30074,1.83025,1.70839,1.47812,1.37205,1.09119,1.18355,1.17188,1.33835,1.21968,0.96494,1.22818,1.23043,0.99579,0.97056,1.1611,1.29696,0.98527,1.08732,1.61466,1.49409,1.17621,1.45013,1.00582,1.2763,1.3021917391304347,1.96467,1.66132,1.441496,1.354232,1.469436,1.2132960000000002,1.196728,1.376916,1.315176,1.032352,1.177516,1.1765219999999998,1.027828,1.071742,1.1380940000000002,1.317428,1.3800240000000001,1.058206,1.637802,1.6482199999999998,1.34292,1.364482,1.179586,1.3237707971014494,1.25181,1.38304,1.18355,1.21013,1.16975,0.8955,1.05391,0.92318,1.08884,1.13921,0.89717,0.91639,0.92116,0.9862,0.95865,0.97508,1.02331,0.92668,0.96711,1.02755,1.42261,1.10417,1.055,0.97942,0.8955,1.39278,2.72245,2.08008,1.71059,1.54728,2.82744,1.50948,1.43289,1.80748,1.5212,1.32255,1.29653,1.34068,1.13492,1.34403,1.30671,1.57745,2.72013,1.10315,2.10351,2.30545,1.78288,1.53553,1.86582,2.82744,23.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,138
2,6,1,1.0,0.3,208,nsmallest,1.27425,,,,,,,,,,,,,,,,,,,,,,,,1.27425,1.2268355555555557,,,,,,,,,,,,,,,,,,,,,,,,1.2268355555555557,1.08745,,,,,,,,,,,,,,,,,,,,,,,,1.08745,1.39702,,,,,,,,,,,,,,,,,,,,,,,,1.39702,9.0,,,,,,,,,,,,,,,,,,,,,,,,9
3,2,1,0.997,0.2,208,nsmallest,1.29125,1.81001,1.79602,1.30396,1.17169,1.41212,1.35425,1.00819,1.17077,1.4422,1.35737,1.31623,1.0037,0.95975,0.98107,0.96625,0.99714,1.22236,0.96829,1.63453,1.53439,1.05943,1.05288,1.51171,1.2704550000000001,1.2824695652173914,1.7420000000000002,1.759084,1.250668,1.301898,1.9647200000000002,1.344606,1.09012,1.2396319999999998,1.3321999999999998,1.7455500000000002,1.23834,1.0222820000000001,1.01221,1.312992,1.0372020000000002,1.436468,1.520712,1.0218399999999999,1.406736,1.3917519999999999,1.2733180000000002,1.959218,1.305542,1.362625,1.19623,1.36935,0.76033,1.09325,1.03819,1.04883,1.01737,0.91953,0.78162,0.97656,0.93385,0.8816,0.85009,0.80148,0.91441,0.87228,0.97675,0.97335,0.90843,0.86371,0.77981,0.99647,0.88855,0.63471,0.63471,1.39371,2.13469,2.7979,1.35518,1.67861,4.40491,1.65812,1.47748,1.91254,1.67288,2.72216,1.48305,1.17373,1.3478,1.9451,1.3621,2.11343,2.91608,1.2696,1.75826,1.77788,1.72172,5.09381,1.75639,5.09381,23.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,138
2,2,1,0.998,0.2,208,nsmallest,1.41594,2.04691,1.23685,0.99207,1.23296,1.3622,1.30959,1.09454,1.36171,1.27557,0.99267,1.15574,1.30881,0.97638,1.10197,1.06481,1.63725,0.97325,1.10813,1.35337,3.0879,1.3191,1.25334,1.33215,1.26867,1.4061291304347825,2.0337140000000002,2.137808,1.35175,1.42712,2.19661,1.348836,1.18398,2.3429659999999997,1.534222,1.06255,1.2537660000000002,1.316256,1.009012,1.200206,1.09022,1.85031,1.0753920000000001,1.043882,1.445392,2.626294,1.414438,1.4673919999999998,1.3113540000000001,1.4924515942028986,1.22072,1.75451,1.13117,0.80175,1.0404,0.99885,1.26646,0.87356,1.13881,1.2264,0.98044,0.9795,0.8596,0.86802,1.05092,0.9964,0.89328,0.93393,0.84841,0.97485,1.00246,1.20882,1.02684,0.63644,0.63644,1.53162,2.32164,3.82861,2.19726,2.41479,6.21523,1.4537,1.73681,4.01431,2.04702,1.25418,1.52753,1.79573,1.24398,1.64652,1.20147,3.20415,1.49749,1.11366,2.00317,4.67275,1.94759,2.64219,2.01213,6.21523,23.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,138
2,3,1,0.998,0.2,208,nsmallest,1.26824,2.18889,2.52665,1.49645,1.46646,1.16715,1.27776,1.42349,0.93195,1.18016,0.92479,1.27265,1.21631,0.96338,0.97619,1.14166,1.56729,1.08394,1.12899,1.15999,1.10657,1.29666,1.28132,1.04508,1.267625,1.3200021739130434,2.1899480000000002,2.259912,1.498084,1.432488,1.9423940000000002,1.360248,1.3130279999999999,1.403456,1.424042,1.058708,1.268122,1.169298,0.98346,1.06007,1.117982,1.575862,1.533326,1.1179780000000001,1.543822,1.8233800000000002,1.458502,1.4411559999999999,1.554844,1.4348594202898552,1.22343,1.15917,1.33149,1.08086,1.03181,0.87733,1.10728,0.96222,0.73651,1.12073,0.83782,0.91734,0.89429,0.89365,0.84948,0.92211,0.88008,0.74122,0.91334,0.91535,0.68459,0.81682,0.92755,0.75108,0.68459,1.48943,3.31368,2.96049,1.98432,1.92368,5.42961,1.75344,1.42579,2.7913,1.96939,1.47014,1.68076,1.29741,1.18917,1.35766,1.3886,2.26399,3.80699,1.29177,3.50178,4.69718,2.14348,2.34441,3.55742,5.42961,23.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,138
2,4,1,0.997,0.2,208,nsmallest,1.30641,1.99236,2.01996,1.18416,1.19035,1.14816,1.24828,1.14946,1.20713,1.44331,0.98169,1.15218,1.05843,0.87512,0.81263,1.06869,1.91762,1.2781,1.03955,1.26927,1.7696,1.07756,1.04182,1.00972,1.259025,1.3132073913043478,2.092378,1.779296,1.551618,1.273752,1.788282,1.304298,1.211974,1.65242,1.4420220000000001,0.959252,1.105104,1.196298,0.9494720000000001,0.8405659999999999,1.126928,1.644724,1.320522,1.1977499999999999,1.353164,2.456334,1.2984120000000001,1.416784,1.0026959999999998,1.3769855072463768,1.1512,1.76663,0.96167,0.8921,0.89214,0.87493,1.22938,0.8992,0.87711,1.35528,0.80068,0.95325,0.90661,0.85833,0.77112,1.01875,1.03615,0.84969,0.91843,1.15281,1.07345,0.89872,0.78837,0.71715,0.71715,1.42667,2.60397,2.64143,3.29579,1.6147,4.46265,1.44374,1.5256,2.54533,1.59777,1.07929,1.17977,1.69808,1.07105,0.97034,1.25876,1.97797,2.27094,1.52595,1.89356,4.01933,1.88551,2.38053,1.32863,4.46265,23.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,138
4,2,1,0.999,0.2,208,nsmallest,1.38606,1.46189,2.01383,1.27016,1.25747,1.18233,1.16135,1.17615,1.22303,1.14524,2.60962,1.24659,1.25916,1.10726,0.90466,1.02492,1.35284,1.18537,0.99034,0.96557,1.11996,1.52573,1.05479,0.91637,1.257835,1.3506408695652175,1.605806,1.9069600000000002,1.293778,1.4441140000000001,2.1945419999999998,1.254914,1.137102,1.106028,1.370184,2.354542,1.269844,1.239504,1.086314,1.181632,1.0757999999999999,1.5990300000000002,1.305274,1.088634,1.246212,1.418822,1.3488419999999999,1.121616,1.100634,1.3754737681159421,1.2349,1.35962,1.08955,1.08772,1.07846,0.96285,1.14355,1.01729,0.77248,1.02283,1.01138,1.06628,0.88527,1.05036,0.88083,0.9822,1.05502,1.00025,0.86042,0.83969,1.09525,0.71551,0.88285,0.82416,0.71551,1.44564,2.06061,2.48331,1.59706,2.28986,6.51974,1.47818,1.19242,1.25899,2.16834,3.43698,1.64298,1.56104,1.11379,1.76565,1.29789,2.21999,1.91891,1.49884,2.08598,1.94425,1.53109,1.4671,1.91533,6.51974,23.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,138
2,5,1,1.0,0.3,208,nsmallest,1.25553,,,,,,,,,,,,,,,,,,,,,,,,1.25553,1.2560222222222222,,,,,,,,,,,,,,,,,,,,,,,,1.2560222222222222,1.17462,,,,,,,,,,,,,,,,,,,,,,,,1.17462,1.35618,,,,,,,,,,,,,,,,,,,,,,,,1.35618,9.0,,,,,,,,,,,,,,,,,,,,,,,,9
2,2,2,0.999,0.2,208,nsmallest,1.35607,1.90468,1.29123,1.09169,1.38593,1.06638,1.19485,1.16779,1.72381,1.3543,0.99271,1.07175,1.20909,1.05145,1.11322,1.08674,1.62786,1.14347,1.04877,1.42275,1.84664,1.38947,1.71091,1.1186,1.253055,1.3709126086956522,1.911682,1.7856740000000002,1.4504920000000001,1.367656,1.5004899999999999,1.199644,1.1215860000000002,1.8320560000000001,1.438378,1.016886,1.193922,1.17912,1.034338,1.217502,1.105104,1.593814,1.15617,1.054344,1.6258959999999998,1.971182,1.3834300000000002,1.529692,1.0959400000000001,1.3793911594202897,1.22576,1.76544,1.08443,1.02791,1.09276,1.0145,1.11013,0.91666,1.23805,1.10246,0.97063,1.05377,0.91345,0.95243,1.05765,0.99737,0.98622,0.92539,0.98689,1.26457,1.27084,1.08582,0.95382,0.8887,0.8887,1.52253,2.12707,2.80948,2.26565,1.8011,3.2036,1.2554,1.27947,2.43312,1.82905,1.07886,1.40597,1.41493,1.13315,1.66676,1.25359,2.11801,1.49825,1.12703,2.52432,3.4318,1.89908,2.0012,1.19124,3.4318,23.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,138
