watch_days,num_stocks_to_buy,hold_days,loss_limit,total_profit,yearly_profit
3,1,5,0.998,4007.6797604837675,1.4485514361731726
2,1,5,0.998,3262.2986018562246,1.4352976562328228
2,1,7,0.998,1867.4436124432348,1.399974060135451
2,1,7,0.995,1719.5096604217745,1.3948225507127394
3,1,5,0.995,1331.1997085817475,1.3789661506039468
2,1,5,0.995,1202.8911281672888,1.3727373820416415
3,1,4,0.998,1046.7477074044477,1.364238231680094
3,1,3,0.998,993.935892986519,1.3610870983153116
5,1,7,0.998,770.8707065129962,1.3457227928284479
5,1,7,0.995,696.46818198647,1.3396354526076528
5,1,4,0.998,647.9745532398096,1.335323799182765
3,1,4,0.995,347.7716604792127,1.298716790881257
4,1,4,0.998,302.40615797375773,1.2906335508807047
5,1,3,0.998,293.8093128787246,1.2889719931737884
5,1,4,0.995,288.5772267679971,1.2879378738093832
4,1,3,0.998,285.1011613766337,1.2872408808990643
2,2,7,0.998,275.54518885707563,1.2852821112647588
3,2,3,0.998,257.21278877951784,1.2813355583560422
2,1,8,0.998,238.17546785910554,1.2769419887838964
3,1,6,0.998,220.15453107352988,1.2724622003418549
3,1,3,0.995,185.73842686714156,1.262836827318143
4,2,3,0.998,185.25149392916387,1.2626887613362223
5,2,7,0.998,184.5129088103484,1.2624634620473565
2,2,5,0.998,182.2545375202785,1.261769180462788
4,1,5,0.998,178.97547137299227,1.2607463389758395
2,2,7,0.995,178.6573514801307,1.2606461568474858
4,1,6,0.998,173.75832792406507,1.2590814533672121
2,2,6,0.998,168.58891811904107,1.2573840139992127
3,2,5,0.998,166.83805844480455,1.2567978080819866
2,1,6,0.998,148.27032729062756,1.2501916340989803
3,2,4,0.998,146.53394860005324,1.2495339698308316
5,2,7,0.995,122.44506472873246,1.2395501466321208
2,1,8,0.995,116.36965155536406,1.2367356207252012
5,1,3,0.995,113.31253254255888,1.2352658297297126
5,1,5,0.998,109.90721298838419,1.2335833506314038
4,2,4,0.998,107.6862809654566,1.2324590015482166
4,2,5,0.998,106.67293394698103,1.2319386147481448
5,2,3,0.998,106.03614742654352,1.2316091823224737
4,1,4,0.995,93.53542374812085,1.2247275980477301
4,2,6,0.998,88.0266808627752,1.2214114210006062
4,1,5,0.995,87.74828947712135,1.2212386158838386
4,2,7,0.998,84.55864088346202,1.219220447664447
4,1,2,0.998,81.61352747650086,1.2172913515351473
4,1,3,0.995,79.02777802086602,1.215542007440584
4,2,8,0.998,76.2897788682122,1.2136290206027516
2,2,8,0.998,76.22216815762478,1.2135809571198166
4,1,6,0.995,74.21716791730464,1.2121367975603456
5,1,5,0.995,72.97732911951772,1.2112250000890337
2,1,4,0.998,71.35943304748473,1.2100126572199696
3,1,6,0.995,70.64128887596225,1.2094660909564243
2,2,6,0.995,66.95846798757026,1.206576959158467
3,1,7,0.998,63.27956350552124,1.2035351673632608
4,2,8,0.995,62.43489930724567,1.2028129630970417
2,2,5,0.995,61.96010131447358,1.2024028927766865
3,2,5,0.995,57.890654849991826,1.1987597263572056
3,2,6,0.998,55.965861220476974,1.1969504784159108
5,2,5,0.998,52.873809984755255,1.19391569571304
3,2,4,0.995,50.594167682445,1.1915676664111485
2,2,4,0.998,49.1694213577926,1.1900482986418552
3,2,3,0.995,48.260122825927986,1.1890564664557166
4,2,3,0.995,46.051891607049576,1.1865714378493057
5,2,4,0.998,45.777397602656556,1.1862546160470047
2,1,6,0.995,44.853742679265,1.1851750386451414
4,2,6,0.995,44.81276378740124,1.1851266515173013
5,2,3,0.995,44.35226906685853,1.1845799821406464
2,2,8,0.995,39.690147383202394,1.1787179934936325
4,2,5,0.995,39.309834134124664,1.1782111655281073
4,2,7,0.995,37.29160063170333,1.175440569181899
4,1,8,0.998,34.23198807468289,1.1709543646769287
4,2,4,0.995,32.80826807901034,1.168734592296978
2,1,3,0.998,32.62163292276248,1.1684368056932095
5,2,5,0.995,30.282681578943635,1.1645602053672806
5,1,6,0.998,30.09901700788692,1.1642437951018993
3,2,7,0.998,29.492680224924108,1.1631859649825835
4,1,8,0.995,29.170858255271785,1.1626160359930868
5,2,6,0.998,27.5235026122863,1.1596011659671293
5,2,8,0.998,27.275270435739497,1.159131988437831
3,1,7,0.995,25.909878958756593,1.1564760174865796
3,1,8,0.998,25.038868840993057,1.1547109422519943
3,2,8,0.998,19.557992140238426,1.1420387370917566
5,2,4,0.995,18.829405823750868,1.1401037264067753
2,1,4,0.995,18.536801063548204,1.1393064114061362
4,1,2,0.995,17.964355090808326,1.1377111713979657
5,1,6,0.995,17.782697669410556,1.1371947831985012
3,2,6,0.995,17.4082822532082,1.1361143611386375
4,2,2,0.998,16.922648329647625,1.1346794457907574
5,2,8,0.995,15.541946491387446,1.1303739208598553
2,2,4,0.995,15.430730718932866,1.1300113706185717
5,2,6,0.995,14.327645788046192,1.1262738072142024
3,2,8,0.995,12.195502347259824,1.1181970356039796
3,1,8,0.995,11.793188768863049,1.1165227941576723
3,2,7,0.995,11.670335014225651,1.116000648808592
5,1,8,0.998,9.383447165466606,1.1051811175055914
5,1,2,0.998,7.1233697005006755,1.0916608375436785
2,1,3,0.995,6.688014561385192,1.0885900287532206
2,2,3,0.998,6.514318631889286,1.0873112383350716
5,1,8,0.995,5.662991692597052,1.08053050859472
4,1,7,0.998,5.203910576065193,1.076457777575048
4,2,2,0.995,3.8973088584308955,1.0626451542339683
4,1,7,0.995,2.3866397511027557,1.0396208311766213
5,1,2,0.995,2.16094455579062,1.0350178786250257
5,2,2,0.998,2.0842158431775983,1.0333478090533914
2,2,3,0.995,1.3847429132902784,1.014646293349179
3,1,2,0.998,0.648860953782923,0.9808649027304127
5,2,2,0.995,0.6200074700902649,0.9788739963908932
3,2,2,0.998,0.4547060250404407,0.9654094045292416
2,2,2,0.998,0.32046233857629375,0.9504385896519
2,1,2,0.998,0.23709515934897743,0.9377327084908117
3,1,2,0.995,0.12622058124914803,0.9116944450102217
3,2,2,0.995,0.07398890429833536,0.890200771113849
2,2,2,0.995,0.03691057421157088,0.8629736463566064
2,1,2,0.995,0.02001022907949634,0.8396926970465848
