,,,,,,,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count
year,,,,,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All
watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,nlargest_nsmallest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,0.998,0.002,208,nlargest,1.400925,1.22084,1.73132,1.13059,1.11039,0.83569,1.4011,1.04365,1.35033,1.73398,1.11638,0.94796,1.03747,0.82209,0.8942,1.39308,0.9708,2.03157,1.88492,1.83421,2.81044,1.3104,1.15756,2.39705,1.3104,1.3889357142857144,1.43483,2.122112,1.292074,1.0965799999999999,0.837464,1.436222,1.026748,1.283366,1.6348420000000001,1.04477,0.990772,1.096818,0.9724219999999999,0.9298680000000001,1.222108,1.5357379999999998,1.953342,1.629822,1.7375700000000003,3.931152,1.9542100000000002,1.5003199999999999,3.028612,1.5341388372093023,1.30005,0.85942,1.39019,0.93894,1.02682,0.75302,1.14289,0.8944,0.98716,1.16155,0.88091,0.86551,0.76674,0.81935,0.89019,0.91234,0.96518,1.56049,0.83081,1.42263,2.7837,1.29674,1.00008,1.57231,0.75302,1.4565,1.9524,3.07602,2.24075,1.1188,0.90734,1.63238,1.12624,1.36582,1.78923,1.12532,1.10265,1.44837,1.20982,1.05775,1.47175,3.32065,2.54266,1.89205,1.86434,6.90686,3.76763,2.1825,6.57606,6.90686,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
3,1,1,0.998,0.002,208,nsmallest,1.385335,1.86294,1.73726,1.26803,0.98109,1.3848,1.27323,1.07068,1.39331,1.45763,1.08924,1.03854,0.97254,1.02319,1.29112,1.25079,1.92356,1.28373,1.05123,1.50732,1.51084,1.32061,1.80082,1.63667,1.31038,1.374155,1.72071,2.0170559999999997,1.248042,1.283324,1.904298,1.3403079999999998,1.0937800000000002,1.33013,1.483224,1.4074,1.203274,1.056022,1.05817,1.3283280000000002,1.1626239999999999,1.716216,1.221386,1.13537,1.479742,1.770572,1.4325620000000001,2.220852,1.6212600000000001,1.4372978294573642,1.31032,1.27405,1.29137,0.871,0.93983,0.86122,1.215,1.05072,0.90346,1.3064,1.04162,0.95682,0.94562,1.01035,1.08295,0.92283,1.25118,0.87836,0.993,1.06422,1.23896,1.06061,0.9397,1.01575,0.86122,1.42986,1.89441,2.91528,1.66997,1.97729,4.70328,1.54514,1.14359,1.56754,1.68082,2.67873,1.51956,1.33506,1.13397,1.58556,1.33298,2.09164,1.65991,1.42539,2.01931,2.58244,2.06201,3.57019,2.10588,4.70328,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
2,2,1,0.997,0.002,208,nsmallest,1.427025,2.16091,1.44308,1.08271,1.46251,1.44336,1.35519,1.16431,1.33531,1.36036,0.9341,1.17487,1.2984,0.999,1.13991,0.94714,1.56152,1.01708,1.08913,1.51151,2.89234,1.39616,1.29133,1.30182,1.30993,1.433495714285714,2.244364,2.33507,1.439192,1.664732,2.035174,1.399088,1.222608,2.2388000000000003,1.5156040000000002,0.985826,1.256272,1.341812,0.9980420000000001,1.202446,1.027112,1.85387,1.104958,1.0238239999999998,1.587852,2.838986,1.412388,1.5643420000000001,1.426874,1.5400396899224806,1.30984,1.7258,1.14236,0.86552,1.10552,1.00827,1.19623,0.95208,1.06291,1.1624,0.9115,1.05929,0.88054,0.82244,0.94366,0.91862,1.1237,0.99967,0.82901,0.95653,1.12436,1.13968,0.9812,1.20014,0.82244,1.56534,2.69076,4.37086,2.19614,3.02881,5.21765,1.56033,1.69653,3.79373,1.93974,1.10505,1.50459,1.83583,1.19136,1.6147,1.19993,3.18751,1.43105,1.11204,2.20053,5.79393,1.94954,2.67034,1.88467,5.79393,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
2,1,1,0.997,0.002,208,nsmallest,1.41397,1.72403,1.8247,1.12948,1.53745,1.09313,1.24956,0.95788,1.46797,1.68429,1.10569,1.23019,1.18658,1.06827,0.878,1.15231,1.21469,1.13256,1.24932,1.88238,2.65719,1.71073,2.53367,1.37801,1.3044,1.4013064285714287,2.4469719999999997,1.7896899999999998,1.5429680000000001,1.449532,2.547378,1.255016,1.055898,1.5623879999999999,1.5203820000000001,1.036512,1.136366,1.351054,1.023616,1.140982,1.19627,1.36403,1.095528,1.1065099999999999,1.8677039999999998,2.639278,1.629826,2.003404,2.002624,1.538278527131783,1.28885,1.70429,1.60487,0.92755,1.10196,1.07107,1.21102,0.92691,1.24497,1.0938,0.80671,0.84549,0.74827,0.81823,0.86409,1.03759,1.17273,0.98173,0.86068,1.19768,2.19592,1.43406,0.87367,0.99411,0.74827,1.56465,3.57435,1.86082,2.29,1.56533,4.7944,1.31988,1.3044,2.14619,1.71125,1.1155,1.51464,1.95357,1.08988,1.72766,1.34922,1.99461,1.23293,1.26134,2.53896,3.00149,1.73857,3.15896,4.26675,4.7944,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
3,1,1,0.999,0.002,208,nlargest,1.36884,1.1065,1.45815,1.26353,1.14727,0.97397,1.14729,1.01125,0.9891,1.59169,0.9542,1.2599,1.08024,0.96518,1.35946,1.39194,1.29781,2.0015,1.09884,1.20653,3.58597,2.27645,1.20426,1.46863,1.29781,1.36937,1.158122,1.425564,1.444022,1.12074,0.989962,1.215168,0.9995200000000001,1.1402,1.7105640000000002,1.0327819999999999,1.240078,1.068264,1.050522,1.323374,1.417262,1.419032,1.975394,1.5763960000000001,1.37032,4.076884,2.265202,1.340186,2.856512,1.5135777519379845,1.35824,0.86978,0.94417,1.12664,1.03286,0.86532,0.937,0.90464,0.96929,1.14921,0.88971,0.85465,0.95868,0.88512,1.19245,1.21491,0.96328,1.38892,0.876,1.05614,2.01514,1.82065,0.95079,0.88538,0.85465,1.38217,1.47686,1.74238,1.86297,1.22348,1.16893,1.53096,1.10032,1.66409,2.60091,1.30774,1.89354,1.17747,1.29352,1.38386,1.74401,2.50216,2.83436,2.40791,1.72835,8.80799,3.04399,2.36479,8.38689,8.80799,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
3,2,1,0.999,0.002,208,nsmallest,1.379095,1.93199,1.87781,1.37893,1.40398,1.13102,1.52229,1.09553,1.25517,1.57281,1.45339,1.33169,1.06028,1.06638,1.02198,1.08145,1.2598,1.35829,1.02996,1.67899,1.44986,1.21137,1.28525,1.55937,1.29452,1.3728514285714284,1.843432,2.026328,1.34625,1.3599679999999998,1.886226,1.452252,1.161746,1.362368,1.4851860000000001,1.806594,1.278594,1.088502,1.083754,1.4406079999999999,1.106878,1.584158,1.62975,1.071518,1.479124,1.533916,1.400432,2.1688479999999997,1.4166599999999998,1.467328527131783,1.29334,1.39227,1.2564,1.1096,1.08356,0.97842,1.08795,1.02439,1.00873,1.17409,1.0041,0.86588,0.90744,0.9195,0.97114,0.91479,1.01628,1.01185,1.00685,0.89614,1.37761,1.13673,1.00423,0.8807,0.86588,1.47914,2.32757,3.23921,1.58887,1.61453,4.44588,1.64798,1.49155,2.03751,1.84221,2.78372,1.64582,1.23391,1.41473,2.24254,1.49628,2.25191,3.15849,1.2033,2.03165,1.94989,2.0433,5.52821,1.85338,5.52821,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
3,2,2,0.999,0.002,208,nsmallest,1.3371149999999998,1.93036,1.78602,1.42344,1.33599,1.30743,1.4311,1.24641,1.24,1.59761,1.15188,1.19908,1.19126,1.05731,1.02209,1.06895,1.2219,1.15909,1.00684,1.34787,1.39096,1.15438,1.24814,1.32881,1.29088,1.332247142857143,1.959788,1.8186820000000001,1.431752,1.322464,1.5744500000000001,1.38313,1.204764,1.391226,1.630024,1.425866,1.2157259999999999,1.1831960000000001,1.100434,1.2030239999999999,1.115906,1.419466,1.42191,1.020252,1.293862,1.5531279999999998,1.216244,1.52346,1.354268,1.3757098449612402,1.28659,1.484,1.23072,1.04251,1.22151,0.9374,1.11732,1.03083,1.18207,1.53477,1.02872,0.98633,1.02263,0.95141,0.96344,1.00878,1.10644,1.11844,0.96328,1.08037,1.21562,1.08559,1.02901,0.87706,0.87706,1.42433,2.5986,2.47569,1.64778,1.39003,3.12658,1.61206,1.29179,1.87575,1.73078,1.96055,1.3691,1.43039,1.37465,1.59406,1.25629,1.81628,2.43235,1.08621,1.55277,2.12983,1.54483,2.87316,2.02041,3.12658,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
3,1,2,0.998,0.002,208,nsmallest,1.32005,1.71229,1.55361,1.43044,1.01077,1.29087,1.33343,1.04469,1.14123,1.53961,0.98874,1.11912,1.12376,1.10905,1.21184,1.2845,1.55424,1.26794,1.02328,1.34666,1.75859,1.61348,1.429,1.29637,1.29087,1.317432142857143,1.759562,1.7176639999999999,1.355826,1.232302,1.5604179999999999,1.252894,1.051046,1.2504940000000002,1.501632,1.207654,1.1384539999999999,1.1470420000000001,1.0973000000000002,1.218108,1.175142,1.444124,1.188698,1.060896,1.330394,1.7123680000000001,1.438856,1.588104,1.304404,1.3341934883720932,1.27912,1.6664,1.15404,0.99279,0.95269,0.95033,1.09302,0.94691,1.03472,1.29884,0.9869,0.94344,1.06979,1.01172,1.03112,0.92172,1.11934,0.88595,0.96763,1.18521,1.28101,1.07387,0.94418,1.10257,0.88595,1.35435,1.91839,2.19506,1.47703,1.76178,3.2086,1.3995,1.1778,1.49057,1.75831,1.90011,1.31235,1.26388,1.16117,1.34276,1.30471,1.73324,1.57625,1.3061,1.49907,2.37779,1.69709,2.17504,1.5284,3.2086,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
2,2,2,0.999,0.002,208,nsmallest,1.38863,2.13109,1.26806,1.18318,1.53138,1.10571,1.27072,1.2492,1.64505,1.44222,0.97448,1.09656,1.22202,1.09134,1.16454,1.0929,1.71261,1.2218,1.1013,1.52288,2.05448,1.34735,1.71837,1.22024,1.28714,1.4273799999999999,2.084542,1.832232,1.529522,1.448108,1.481494,1.248452,1.180164,1.837396,1.50381,1.009764,1.204476,1.20878,1.06296,1.256964,1.103716,1.65957,1.24281,1.078486,1.708698,2.210792,1.417788,1.598382,1.207198,1.4384793798449613,1.29646,1.89929,1.2064,1.05389,1.12254,1.06598,1.17773,0.99391,1.26031,1.13434,0.96758,1.06857,0.91738,0.95343,1.1218,0.98962,1.15341,1.0083,0.97895,1.36375,1.52796,1.14138,0.95631,1.11358,0.91738,1.59107,2.32094,3.10206,2.31837,1.84459,2.9162,1.28755,1.27225,2.41926,1.80838,1.0764,1.45511,1.44085,1.16656,1.69601,1.2987,2.14225,1.50746,1.11308,2.56765,3.84679,1.93129,2.10886,1.28714,3.84679,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
3,1,1,0.997,0.002,208,nsmallest,1.35482,1.78566,1.66587,1.2217,0.93484,1.33086,1.24505,1.06183,1.34207,1.38779,1.03742,0.99316,0.94932,1.00769,1.31359,1.19904,1.8405,1.22755,1.00216,1.55967,1.44817,1.3256,1.70484,1.57179,1.2869,1.3395214285714285,1.681806,1.95652,1.221392,1.2605140000000001,1.8332460000000002,1.296884,1.075544,1.286782,1.42299,1.36371,1.172598,1.0499500000000002,1.0329000000000002,1.302614,1.116324,1.648742,1.1915479999999998,1.162444,1.4405899999999998,1.72213,1.407442,2.127926,1.56234,1.398744031007752,1.28626,1.28884,1.26314,0.86489,0.9255,0.85117,1.16918,1.03229,0.86075,1.25361,1.03403,0.9467,0.92049,0.99331,1.03424,0.89191,1.22464,0.84695,0.96408,1.01099,1.17834,1.03285,0.89129,1.00973,0.84695,1.38131,1.85942,2.80016,1.68665,1.90522,4.51135,1.48069,1.12939,1.50082,1.61834,2.55109,1.49091,1.39074,1.09103,1.55791,1.26947,2.00848,1.57964,1.72646,1.9275,2.56787,2.0061,3.38181,2.00897,4.51135,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129
