watch_days,num_stocks_to_buy,hold_days,loss_limit,total_profit,yearly_profit
3,1,5,0.998,2434.4742895772997,1.4165938530613618
3,1,4,0.998,2104.977846748592,1.4074227709158524
3,1,5,0.995,1088.7499193381368,1.3665855702954257
4,1,4,0.998,701.8041357800499,1.3400442660576408
3,1,4,0.995,536.6299024364201,1.3240797048851198
3,1,6,0.998,298.6981866553247,1.2898823438026512
3,1,7,0.998,296.74683946838246,1.2895048115341476
5,1,3,0.998,238.52871210057532,1.2769883396409758
3,2,5,0.998,231.001234716482,1.2751607761897406
3,2,6,0.998,226.32796194132914,1.2739973276463261
4,1,4,0.995,206.13240993053094,1.2686901833894786
3,1,7,0.995,172.65482644322643,1.2586877782175985
5,1,4,0.998,166.43643875460188,1.2566274077455257
5,1,8,0.998,165.04465474128241,1.2561561984640661
3,1,6,0.995,146.08641073084482,1.249329243794832
5,1,5,0.998,140.55134204964287,1.2471758716808667
5,1,8,0.995,136.69008873121598,1.245625167616149
2,1,6,0.998,132.24789067972313,1.243788521885922
5,2,5,0.998,131.80994660471657,1.2436042718926208
3,2,6,0.995,110.00565385988347,1.2336010105102897
4,2,4,0.998,104.35434171149016,1.2306987081856113
3,2,5,0.995,93.95599225407368,1.224942654744684
3,1,3,0.998,81.26217559270314,1.2170275519213454
5,1,2,0.998,79.5837588157277,1.2158936470596928
5,1,5,0.995,78.34077616203052,1.215039091168767
4,2,8,0.998,72.99915209364508,1.2112127923644538
5,1,3,0.995,72.04206816343257,1.2104990681067336
3,2,4,0.998,71.09942214395925,1.2097872005107946
2,2,6,0.998,70.43643980198519,1.2092811080266037
2,1,7,0.998,70.29280933880534,1.2091708670816836
4,2,6,0.998,67.51737211516473,1.2069972702845388
4,1,5,0.998,65.81628531334638,1.2056224618287334
3,1,8,0.998,63.82793537109171,1.2039717902106677
5,2,5,0.995,63.40169712541976,1.2036115516384664
5,1,4,0.995,61.59112168712814,1.202055082753305
3,2,7,0.998,58.34110672101774,1.1991481992111819
4,1,3,0.998,53.9085616453271,1.1949237135419344
3,1,2,0.998,50.15877307109435,1.1910822680168613
5,1,7,0.998,49.650518333279,1.190540603582757
5,2,6,0.998,48.937281566760596,1.1897714817682945
4,1,6,0.998,48.70695132995475,1.189520815395291
5,2,4,0.998,44.715625345478465,1.1849871858234557
4,2,5,0.998,44.23785578524216,1.1844188012324621
2,1,6,0.995,42.54195042465441,1.182352766656229
2,2,8,0.998,40.882471320781995,1.1802534873314723
4,2,8,0.995,37.87854499743522,1.1762374554518242
4,1,8,0.998,37.685933071971135,1.175969671155998
5,2,8,0.998,37.67918046276586,1.1759602594412237
4,2,4,0.995,37.613334606422086,1.1758683996291048
2,1,8,0.998,37.392590813906196,1.1755593210340327
4,2,7,0.998,35.927195186519484,1.1734622094461462
5,1,7,0.995,32.30969440462683,1.1679132680842823
5,2,7,0.998,31.650063887953866,1.1668378112191367
