date_range,year,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,total_profit,yearly_profit,win_ratio
2022-01-06/2022-12-31,2022,nsmallest,-99.0,4,4,3,0.999,0.002,1254,44012.3032,53017.136,0.27
2022-01-06/2022-12-31,2022,nsmallest,-99.0,4,2,3,0.999,0.002,1254,43820.3203,52781.8566,0.37
2022-01-03/2022-12-31,2022,nsmallest,-99.0,4,3,2,0.999,0.002,1254,39828.6132,43802.135,0.23
2022-01-06/2022-12-31,2022,nsmallest,-99.0,2,3,2,0.999,0.002,1254,33837.6045,40574.5826,0.24
2022-01-03/2022-12-31,2022,nsmallest,-99.0,3,3,2,0.999,0.002,1254,33846.0462,37168.3614,0.27
2022-01-04/2022-12-31,2022,nsmallest,-99.0,2,4,3,0.999,0.002,1254,32452.9314,36674.5051,0.29
2022-01-07/2022-12-31,2022,nsmallest,-99.0,3,3,3,0.999,0.002,1254,28428.3954,34990.2506,0.37
2022-01-04/2022-12-31,2022,nsmallest,-99.0,4,3,1,0.999,0.002,1254,30744.1271,34721.2964,0.17
2022-01-05/2022-12-31,2022,nsmallest,-99.0,2,3,2,0.999,0.002,1254,27799.0823,32272.9924,0.24
2022-01-04/2022-12-31,2022,nsmallest,-99.0,3,3,1,0.999,0.002,1254,27702.4524,31247.7918,0.15
2022-01-07/2022-12-31,2022,nsmallest,-99.0,3,3,2,0.999,0.002,1254,25235.0668,30984.9784,0.29
2023-01-03/2023-06-23,2023,nsmallest,-0.3,2,4,1,0.999,0.002,1254,120.5378,27874.4502,0.21
2022-01-03/2022-12-31,2022,nsmallest,-99.0,4,2,1,0.999,0.002,1254,21533.4135,23551.3136,0.17
2022-01-05/2022-12-31,2022,nsmallest,-99.0,2,3,1,0.999,0.002,1254,19801.5292,22874.8851,0.08
2022-01-04/2022-12-31,2022,nsmallest,-99.0,4,1,1,0.999,0.002,1254,19718.9285,22153.7037,0.12
2022-01-04/2022-12-31,2022,nsmallest,-99.0,3,2,2,0.999,0.002,1254,18746.9499,21049.1811,0.18
2022-01-04/2022-12-31,2022,nsmallest,-99.0,3,1,2,0.999,0.002,1254,18447.0002,20708.4632,0.29
2022-01-03/2022-12-31,2022,nsmallest,-99.0,3,3,3,0.999,0.002,1254,18208.5527,19884.9158,0.37
2022-01-05/2022-12-31,2022,nsmallest,-99.0,3,2,1,0.999,0.002,1254,17117.8287,19732.698,0.08
2022-01-06/2022-12-31,2022,nsmallest,-99.0,2,3,3,0.999,0.002,1254,16196.916,19174.1588,0.27
2022-01-05/2022-12-31,2022,nsmallest,-99.0,2,3,3,0.999,0.002,1254,15276.7558,17581.1896,0.32
2023-01-05/2023-12-23,2023,nsmallest,-99.0,3,2,1,0.999,0.002,1254,12245.8811,17453.0104,0.11
2023-01-06/2023-12-23,2023,nsmallest,-99.0,2,3,1,0.999,0.002,1254,10773.3448,15705.6928,0.12
2022-01-04/2022-12-31,2022,nsmallest,-99.0,3,2,3,0.999,0.002,1254,13676.8963,15299.5948,0.3
2022-01-04/2022-12-31,2022,nsmallest,-99.0,3,3,3,0.999,0.002,1254,11277.8606,12587.3119,0.27
