,,,,,,,,median,median,median,median,median,median,median,median,median,median,median,median,median,median,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,min,min,min,min,min,min,min,max,max,max,max,max,max,max,max,max,max,max,max,max,max,count,count,count,count,count,count,count,count,count,count,count,count,count,count
year,,,,,,,,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,2023,All,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,2023,All,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,2023,All,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,2023,All,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,2023,All
rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nlargest,0.1,4,2,1,0.999,0.002,1254,2.5998,2.0608,1.9428,1.2301,3.8814,4.0694,9.6885,1.4509,1.7393,2.2855,3.2636,2.4451,2.0344,2.4451,2.79208,2.0288,5.2983199999999995,1.40022,3.7911,3.66308,10.25484,1.9988800000000002,2.65796,6.168480000000001,4.1997599999999995,3.27984,4.0615000000000006,3.968835384615385,2.5068,1.288,1.627,0.9181,1.1095,1.341,3.6553,1.0509,1.2356,1.0131,1.2457,1.2924,0.8949,0.8949,3.4994,3.0437,18.5111,2.3702,5.9689,7.0194,19.4625,4.1146,7.1208,20.7935,10.2848,7.1907,8.3642,20.7935,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,0.1,3,1,3,0.997,0.002,1254,2.4128,1.6782,1.8448,1.6631,2.4387,3.5805,4.7394,1.9515,2.8557,2.6122,2.7096,2.3256,3.8711,2.4447,2.46782,1.5863,3.6608999999999994,1.50316,2.27474,3.79146,8.18266,1.91068,2.88008,2.516,3.53782,3.2184799999999996,3.93024,3.189256923076923,2.314,1.1199,1.1386,0.9642,1.6101,2.6695,3.2913,1.8015,2.5039,1.8993,2.4184,1.9381,2.4433,0.9642,2.8133,1.9062,11.9973,1.6937,2.7169,5.741,14.4657,1.9558,3.1859,3.3878,5.016,5.4037,5.9628,14.4657,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,-99.0,3,1,3,0.997,0.002,1254,2.3745,1.7334,1.6302,1.4268,2.3722,3.5106,4.7059,1.9305,2.772,2.5334,2.6986,2.3256,3.8711,2.4433,2.44728,1.6078800000000002,3.50548,1.4154,2.1795400000000003,3.80788,8.1288,1.89508,2.86026,2.47748,3.5537,3.2184799999999996,3.93024,3.1559615384615385,2.2736,1.1993,1.1753,1.014,1.6,2.9972,3.2583,1.7679,2.5021,1.8887,2.5088,1.9381,2.4433,1.014,2.8126,1.8333,11.7214,1.7915,2.4886,5.4341,14.3644,2.001,3.1859,3.3639,5.016,5.4037,5.9628,14.3644,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,0.01,3,1,3,0.997,0.002,1254,2.3795,1.7334,1.6302,1.4268,2.3722,3.5106,4.7059,1.9383,2.7833,2.5334,2.7096,2.3256,3.8711,2.4433,2.45068,1.6078800000000002,3.50548,1.41524,2.1795400000000003,3.8127400000000002,8.131440000000001,1.8981999999999999,2.86252,2.47692,3.5559,3.2184799999999996,3.93024,3.1573276923076925,2.2783,1.1993,1.1753,1.014,1.6,3.0092,3.2715,1.7679,2.5021,1.8859,2.5088,1.9381,2.4433,1.014,2.814,1.8333,11.7214,1.7915,2.4886,5.4341,14.3644,2.001,3.1859,3.3639,5.016,5.4037,5.9628,14.3644,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,0.05,3,1,3,0.997,0.002,1254,2.379,1.7334,1.6302,1.4369,2.3722,3.5106,4.7059,1.9383,2.7833,2.5334,2.7096,2.3256,3.8711,2.4433,2.4494599999999997,1.60976,3.50946,1.41542,2.1795400000000003,3.8127400000000002,8.131440000000001,1.8981999999999999,2.86252,2.4796,3.5559,3.2184799999999996,3.93024,3.1579046153846155,2.2779,1.1993,1.1753,1.014,1.6,3.0092,3.2715,1.7679,2.5021,1.8993,2.5088,1.9381,2.4433,1.014,2.8101,1.8427,11.7413,1.772,2.4886,5.4341,14.3644,2.001,3.1859,3.3639,5.016,5.4037,5.9628,14.3644,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,0.05,3,2,3,0.999,0.002,1254,2.6341,1.5527,2.0292,1.518,2.5026,4.4431,6.536,1.7829,2.2003,2.2138,2.8332,2.1323,2.9008,2.4432,2.61402,1.59828,4.56338,1.44564,2.51224,3.99358,7.489920000000001,2.0605800000000003,2.6104600000000002,2.5791399999999998,3.561,1.8345600000000002,3.51652,3.1061015384615387,2.4432,1.4068,1.3795,1.2154,1.5324,2.9171,2.8325,1.5883,1.8612,1.698,2.2715,1.1271,2.3884,1.1271,2.7371,1.9605,9.7506,1.6071,3.144,5.079,13.3482,2.734,3.5548,4.3164,6.1695,2.2831,6.274,13.3482,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,0.01,3,2,3,0.999,0.002,1254,2.634,1.5527,2.0292,1.518,2.5026,4.4431,6.536,1.7829,2.2003,2.2138,2.8332,2.1323,2.9008,2.4418,2.6133800000000003,1.59696,4.56306,1.4423400000000002,2.51224,3.99358,7.489920000000001,2.0605800000000003,2.6104600000000002,2.57476,3.561,1.8345600000000002,3.51652,3.1053353846153846,2.4418,1.4068,1.3795,1.2154,1.5324,2.9171,2.8325,1.5883,1.8612,1.698,2.2715,1.1271,2.3884,1.1271,2.7353,1.9605,9.749,1.6053,3.144,5.079,13.3482,2.734,3.5548,4.2945,6.1695,2.2831,6.274,13.3482,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,-99.0,3,2,3,0.999,0.002,1254,2.6328,1.5527,2.0292,1.518,2.5026,4.4431,6.536,1.7829,2.2003,2.2138,2.8218,2.1323,2.9008,2.4411,2.61168,1.59696,4.56306,1.44562,2.51224,3.99358,7.48762,2.05838,2.6104600000000002,2.5752,3.55872,1.8345600000000002,3.51652,3.104969230769231,2.4411,1.4068,1.3795,1.2154,1.5324,2.9171,2.821,1.5883,1.8612,1.698,2.2715,1.1271,2.3884,1.1271,2.7328,1.9605,9.749,1.6217,3.144,5.079,13.3482,2.723,3.5548,4.2967,6.1695,2.2831,6.274,13.3482,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,4,3,3,0.999,0.002,1254,2.9346,4.616,2.321,1.4904,1.917,3.1199,2.2291,1.4343,2.951,2.3176,2.8,3.1808,3.1895,2.4352,3.4553200000000004,7.925520000000001,3.35548,1.50884,1.8701599999999998,3.40178,2.78842,1.57894,2.82912,2.17268,2.39458,33553454.241679996,459.92842,2581072.8808415383,2.2857,2.4632,1.5317,1.1485,1.6882,2.428,1.7754,1.3481,2.5193,1.6705,1.4119,1.4209,1.0038,1.0038,5.2693,14.8103,8.4086,1.8883,1.9669,4.4517,5.5714,1.8821,3.1837,2.4412,3.2914,167760296.4186,2288.926,167760296.4186,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,2,4,3,0.997,0.002,1254,2.8921,3.5572,2.1789,1.4613,2.9146,2.0995,3.2354,2.17,1.9687,2.0925,2.9414,1.8475,8.8128,2.4337,2.9394,5.0620199999999995,2.02216,1.85038,2.5919,2.3464,4.18198,1.9792999999999998,2.5528199999999996,2.68146,3.32952,6855.694859999999,906809.7860600001,70284.38601999999,2.1119,2.6322,1.5196,1.3539,1.8287,1.5142,2.1727,0.9985,1.6768,0.9765,1.4705,1.5453,1.6318,0.9765,3.8121,12.1843,2.4337,2.8928,2.9699,3.6921,7.6383,2.5705,3.8028,4.5807,5.3137,34271.3368,4534016.9256,4534016.9256,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,0.1,3,2,3,0.998,0.002,1254,2.5818,1.4333,2.4491,1.4054,2.5565,4.0244,6.421,1.6997,2.1152,2.1268,2.7158,2.1761,2.822,2.4316,2.53246,1.51092,4.71228,1.4042999999999999,2.4183,3.7592999999999996,7.26082,1.9754999999999998,2.5373200000000002,2.47912,3.42246,1.8875,3.37572,3.021230769230769,2.3953,1.2873,1.3739,1.2112,1.5293,2.7834,2.7304,1.5238,1.7998,1.6363,2.1915,1.0877,2.2526,1.0877,2.6335,1.9534,9.9077,1.6127,2.9775,4.9181,12.8886,2.6142,3.4293,4.1371,5.9233,2.648,6.0164,12.8886,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,5,1,1,0.997,0.002,1254,2.3955,3.1848,1.8386,1.4678,2.3112,3.3185,5.3164,2.4297,3.794,1.9701,2.7863,2.1902,2.0647,2.4297,2.4360399999999998,5.52458,2.29476,1.58002,2.36942,5.02154,5.96286,2.0178599999999998,3.8362600000000002,1.99514,2.5351600000000003,2.58792,69.11395999999999,8.251963076923078,2.25,2.5413,1.0876,1.17,2.0494,1.7432,1.402,1.0922,0.9943,1.1471,1.6938,1.7042,1.8531,0.9943,2.714,10.0178,5.2835,2.1454,2.6533,14.1963,12.1102,2.7714,5.6233,3.1757,3.0169,4.0384,265.6937,265.6937,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,5,2,2,0.997,0.002,1254,3.0543,5.7361,1.5121,1.3524,1.4502,3.9713,1.9475,1.9261,4.3092,1.435,3.2705,2.4848,6.2931,2.426,3.32928,8.322140000000001,1.64512,1.84636,1.64956,4.7609200000000005,2.8319400000000003,1.8851,4.8917,2.11454,3.3183999999999996,3.90406,2601.22782,203.20976461538461,1.926,3.3057,1.2996,1.2311,1.3493,1.5767,1.2684,1.2553,1.918,1.2218,1.8279,1.2622,1.9632,1.2218,5.7231,18.947,2.4018,3.1277,2.485,11.4072,5.2876,2.426,8.6522,4.2738,4.8347,11.2845,12947.4683,12947.4683,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,0.05,4,1,1,0.997,0.002,1254,2.5996,1.5039,1.6483,1.0634,2.5672,2.751,25.5412,1.8184,1.8154,1.7244,3.9325,5.1528,2.5119,2.4179,2.7360599999999997,1.3666800000000001,1.76606,1.2545,2.48308,23.87784,20.84348,1.8094999999999999,2.3622,3.99176,3.17084,11.24482,2.8305,6.13364,2.4179,0.9838,1.1032,0.8951,1.776,2.396,4.7425,1.3638,1.1701,0.9155,1.3925,1.6872,1.525,0.8951,3.1289,1.5487,2.945,1.9701,3.0326,109.0382,35.4384,2.6276,3.6367,12.1424,4.98,40.7795,4.4412,109.0382,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,0.01,4,1,1,0.997,0.002,1254,2.5988,1.5039,1.6483,1.0558,2.5672,2.751,25.5412,1.8184,1.8154,1.7244,3.9325,5.1528,2.5119,2.4179,2.7355,1.3666800000000001,1.76606,1.2515,2.48308,23.87784,20.84348,1.8094999999999999,2.3622,3.9889199999999994,3.17084,11.24482,2.8305,6.133147692307692,2.4179,0.9838,1.1032,0.8951,1.776,2.396,4.7425,1.3638,1.1701,0.9155,1.3925,1.6872,1.525,0.8951,3.128,1.5487,2.945,1.9701,3.0326,109.0382,35.4384,2.6276,3.6367,12.1282,4.98,40.7795,4.4412,109.0382,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,-99.0,4,1,1,0.997,0.002,1254,2.5969,1.5039,1.6483,1.0558,2.5672,2.751,25.5412,1.8184,1.8154,1.7244,3.9167,5.1528,2.5119,2.4166,2.7336,1.3666800000000001,1.76606,1.2515,2.48308,23.87784,20.83812,1.8073799999999998,2.3622,3.9889199999999994,3.16768,11.24482,2.8305,6.132183076923077,2.4166,0.9838,1.1032,0.8951,1.776,2.396,4.7425,1.3638,1.1701,0.9155,1.3925,1.6872,1.525,0.8951,3.1263,1.5487,2.945,1.9701,3.0326,109.0382,35.4384,2.617,3.6367,12.1282,4.98,40.7795,4.4412,109.0382,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,0.1,4,1,1,0.997,0.002,1254,2.5945,1.5039,1.4801,1.0634,2.5672,2.7708,25.5412,1.8184,1.8154,1.7244,3.9325,5.1528,2.5119,2.4134,2.73016,1.37014,1.7174800000000001,1.23474,2.48742,23.881800000000002,20.491319999999998,1.8094999999999999,2.3622,3.99176,3.17084,11.24482,2.8305,6.101744615384615,2.4044,0.9838,1.1032,0.9014,1.776,2.396,4.7425,1.3638,1.1701,0.9155,1.3925,1.6872,1.525,0.9014,3.1332,1.5598,2.9255,1.8528,3.0543,109.0382,35.4384,2.6276,3.6367,12.1424,4.98,40.7795,4.4412,109.0382,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,0.25,3,1,4,0.998,0.002,1254,2.3615,1.6499,2.0652,1.1322,2.6529,6.6109,7.9188,2.1954,3.5311,1.8034,3.0854,2.4802,4.973,2.4116,2.46336,1.64602,3.3028800000000005,1.10328,2.30336,5.7024799999999995,11.95898,2.42908,3.4473599999999998,1.72824,3.48168,3.39752,4.300199999999999,3.635726153846154,2.2354,1.3309,0.9608,0.9239,1.6038,3.3087,2.1931,1.8194,2.3706,1.0485,2.3593,1.7288,2.7363,0.9239,2.9966,1.9623,10.2551,1.1746,2.6932,8.1174,22.7122,2.9894,4.1216,2.055,4.6525,5.9415,5.6575,22.7122,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,0.05,2,2,4,0.998,0.002,1254,2.6725,2.3113,2.0827,1.4982,2.4035,2.533,5.0064,1.9006,2.332,2.8981,3.8452,2.0819,2.5233,2.4093,2.67546,2.2623,3.2826999999999997,1.4421599999999999,2.2060400000000002,2.96378,7.29292,2.02366,2.64714,2.8784,4.5543,2.54288,2.74112,3.0394507692307693,2.3581,1.6812,1.8559,1.1164,1.3494,2.244,2.903,1.741,1.7145,1.4901,1.7536,1.8788,1.7634,1.1164,2.9752,2.6231,7.0696,1.7637,3.2405,4.2646,18.5916,2.776,3.4984,3.8177,10.3506,4.0591,3.8885,18.5916,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,3,4,3,0.997,0.002,1254,2.8124,3.841,1.9355,1.7445,1.8061,2.4842,2.4819,1.9007,2.5487,2.2144,1.322,4.5096,1.5243,2.408,3.25326,6.439660000000001,4.776,1.8580199999999998,1.87684,2.91756,2.88652,1.8154799999999998,2.59944,1.9544799999999998,2.42718,42265349.16382,1.7751000000000001,3251183.364873846,2.4787,2.6646,1.7988,1.331,1.7432,2.4464,1.8649,1.3978,2.2955,1.2162,1.2172,0.8984,1.0064,0.8984,5.1668,13.5167,15.3102,2.9271,2.0455,4.2286,5.1623,2.1182,3.2607,2.4414,5.4956,211322684.8567,3.2084,211322684.8567,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,0.25,3,2,1,0.997,0.002,1254,2.5419,1.5373,1.4074,0.9546,2.4078,15.4376,9.4828,2.7296,2.8764,1.6788,3.5631,1.34,4.9982,2.4078,2.51142,1.5876,8.245099999999999,1.01516,4.935219999999999,11.095659999999999,16.512620000000002,2.8218199999999998,3.5687800000000003,2.06462,3.43356,1.6009,4.94784,4.949253846153846,2.3633,1.1856,1.2077,0.9445,1.0322,3.1418,1.2419,2.2055,1.7934,1.2299,1.3559,1.1418,1.4221,0.9445,2.6578,2.1727,22.4163,1.1264,9.859,16.3903,48.2704,4.2002,5.4637,3.6401,5.6068,2.767,9.1998,48.2704,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,3,3,4,0.998,0.002,1254,3.3573,3.7113,2.2747,1.5658,2.0853,2.8396,2.7104,1.5638,3.2166,1.7645,2.0141,9497.8808,8.5727,2.4077,3.2214199999999997,8.14786,2.23864,2.11096,2.0669,2.85418,2.80858,1.57066,3.12838,1.7785199999999999,2.3796,9513.83116,6792338.25574,523221.87635384616,2.6636,3.0739,1.6538,1.3935,1.8465,1.5235,1.6816,1.3275,1.9635,1.0927,1.6401,1.981,1.5191,1.0927,3.8138,24.7065,2.9125,4.1359,2.4077,4.0807,3.7308,1.9016,4.0212,2.3083,4.1179,22000.3775,33961661.4326,33961661.4326,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,5,3,1,0.999,0.002,1254,2.6339,3.5656,3.655,1.2546,1.5031,1.8316,4.5314,1.9626,2.5161,1.9693,2.9067,2.2132,7.6432,2.4051,2.50772,24.41714,6.33938,1.65018,2.21894,5.26184,5.92316,1.59768,3.3611600000000004,1.81,2.6269400000000003,2.47644,7.958359999999999,5.242226153846154,2.1375,1.9552,1.8055,0.983,1.2024,1.7973,3.2889,0.961,1.8528,0.9721,1.2611,1.5074,1.406,0.961,2.7297,81.9424,20.2562,3.5199,3.7881,18.4873,12.3434,1.9693,5.0293,2.8118,3.6466,3.9805,17.2063,81.9424,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,4,1,4,0.999,0.002,1254,2.4893,2.9466,1.8715,1.4583,1.7876,2.6886,2.5244,2.1129,2.3529,2.399,2.407,5.2757,21.4675,2.4048,2.90498,3.6660200000000005,1.9694600000000002,1.52648,2.20212,3.15716,3.7449000000000003,2.02202,2.48736,2.0468599999999997,2.5788,21386501.78416,1103048.8850399998,1729967.6134892306,2.3525,1.823,1.4532,1.2672,1.4134,1.8287,1.544,1.7875,1.8772,1.3679,1.9787,2.1779,3.1625,1.2672,4.7381,7.3059,2.5887,1.9448,3.6114,5.833,9.0309,2.26,3.6656,2.5691,3.7556,106932491.1686,5515055.5134,106932491.1686,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,0.1,2,3,2,0.999,0.002,1254,2.6605,2.0034,3.0247,1.4546,3.0118,2.0151,12.0461,1.3739,2.3984,2.4003,1.6254,2.2452,4.1703,2.4003,2.7088799999999997,2.20728,4.57046,1.3992200000000001,2.8971,6.50318,16.75066,1.81,2.31446,2.0996200000000003,3.1312,3.1193400000000002,3.9507800000000004,4.112475384615385,2.0998,1.5079,2.0694,1.0029,1.8072,1.6062,3.8001,1.2742,1.6044,1.4904,1.286,1.0556,1.5618,1.0029,3.5566,3.5632,11.7726,1.8984,4.1804,13.5977,31.3903,2.6645,2.8288,2.5736,5.9227,7.9571,6.9976,31.3903,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,-99.0,4,2,1,0.998,0.002,1254,2.528,1.9945,1.8885,1.1799,3.7851,3.9208,9.3985,1.4034,1.6794,2.206,3.1579,2.3642,1.9621,2.3968,2.70622,1.97258,5.1065,1.3987399999999999,3.68072,3.53494,10.13412,1.9327999999999999,2.57424,5.97468,4.13316,3.17004,3.9309400000000005,3.86536,2.4284,1.2546,1.5725,0.9047,1.0656,1.2981,3.542,1.012,1.1912,0.9771,1.1985,1.2475,0.8774,0.8774,3.376,2.9555,17.8082,2.5258,5.7731,6.7803,18.9579,3.9797,6.9205,20.1709,9.9785,6.9523,8.0828,20.1709,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,0.05,4,2,1,0.998,0.002,1254,2.5296,1.9945,1.8885,1.1799,3.7851,3.9208,9.4366,1.4034,1.6794,2.206,3.1579,2.3642,1.9621,2.3968,2.7085,1.97258,5.1065,1.40312,3.68072,3.53494,10.14174,1.9327999999999999,2.57424,5.97918,4.13316,3.17004,3.9309400000000005,3.8668046153846154,2.4303,1.2546,1.5725,0.9047,1.0656,1.2981,3.542,1.012,1.1912,0.9771,1.1985,1.2475,0.8774,0.8774,3.383,2.9555,17.8082,2.5411,5.7731,6.7803,18.9579,3.9797,6.9205,20.1709,9.9785,6.9523,8.0828,20.1709,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,0.01,4,2,1,0.998,0.002,1254,2.5292,1.9945,1.8885,1.1799,3.7851,3.9208,9.4366,1.4034,1.6794,2.206,3.1579,2.3642,1.9621,2.3968,2.70812,1.97258,5.1065,1.3987399999999999,3.68072,3.53494,10.14174,1.9327999999999999,2.57424,5.97468,4.13316,3.17004,3.9309400000000005,3.8660923076923077,2.4297,1.2546,1.5725,0.9047,1.0656,1.2981,3.542,1.012,1.1912,0.9771,1.1985,1.2475,0.8774,0.8774,3.3821,2.9555,17.8082,2.5258,5.7731,6.7803,18.9579,3.9797,6.9205,20.1709,9.9785,6.9523,8.0828,20.1709,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,0.05,2,2,4,0.997,0.002,1254,2.5724,2.269,2.0121,1.4364,2.3179,2.4171,4.7895,1.8074,2.2896,2.7483,3.6527,1.9709,2.3958,2.3958,2.57248,2.1953400000000003,3.14134,1.38744,2.11254,2.8372400000000004,6.9995199999999995,1.9503999999999997,2.55672,2.82444,4.3495800000000004,2.43266,2.6286,2.922176923076923,2.2782,1.6517,1.7777,1.0603,1.2791,2.137,2.7677,1.6549,1.6721,1.4139,1.7474,1.8364,1.6701,1.0603,2.8583,2.5047,6.7462,1.7309,3.0914,4.1191,17.93,2.6813,3.3335,3.6293,9.8679,3.8449,3.7827,17.93,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,0.01,2,2,4,0.997,0.002,1254,2.5446,2.269,1.955,1.4305,2.3686,2.4171,4.7732,1.8087,2.2896,2.7309,3.6958,1.9709,2.3958,2.3958,2.56008,2.18126,3.14088,1.33392,2.13782,2.8368200000000003,7.03004,1.9524599999999999,2.55672,2.81542,4.382140000000001,2.43266,2.6286,2.922216923076923,2.2671,1.6517,1.8931,1.0454,1.2791,2.1349,2.7663,1.6549,1.6721,1.4139,1.8237,1.8364,1.6701,1.0454,2.8509,2.4343,6.5307,1.579,3.0914,4.1191,18.1003,2.6736,3.3335,3.6293,9.8679,3.8449,3.7827,18.1003,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,3,5,1,0.998,0.002,1254,2.6235,9.5838,3.3848,1.0855,2.2116,2.6502,3.1889,1.979,2.3917,2.1573,2.3201,2.9224,1.1054,2.3917,2.621,12.11076,19.01618,1.23958,2.26306,8.3843,4.50634,1.7095200000000002,2.31958,4.209860000000001,2.5473600000000003,2016.21872,1.65578,159.90784923076924,2.466,2.5559,1.7858,0.8621,0.8844,1.1204,1.6522,0.8903,1.7582,1.4767,1.2522,1.4231,0.8501,0.8501,2.7988,31.5413,48.1849,2.1289,3.4305,29.7626,10.7794,2.258,2.8965,7.7845,4.4999,10069.2453,3.024,10069.2453,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,3,4,3,0.998,0.002,1254,2.8685,3.9447,1.9897,1.7905,1.8193,2.5503,2.5513,1.8543,2.6113,2.1983,1.3636,4.6411,1.5715,2.3909,3.3343000000000003,6.58958,4.9017800000000005,1.8976199999999999,1.91452,2.99316,2.9584,1.83332,2.61986,1.9497399999999998,2.28564,43403117.05822,1.8147199999999999,3338704.0116046155,2.5468,2.6734,1.8477,1.3322,1.7934,2.5148,1.9053,1.4368,2.3567,1.2537,1.2554,0.9291,1.0382,0.9291,5.2906,13.8439,15.7102,2.9823,2.1031,4.3289,5.2918,2.1438,3.1082,2.2858,4.5918,217011403.8349,3.2565,217011403.8349,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,0.1,3,1,4,0.999,0.002,1254,2.3908,1.8713,1.7979,1.7962,2.4245,3.2318,4.6187,1.95,2.8662,2.3182,3.4274,2.238,3.1498,2.3908,2.46174,1.75776,3.3084200000000004,1.629,2.30492,3.4553800000000003,6.26412,1.93324,2.857,2.79624,3.19528,3.08698,4.16958,3.016896923076923,2.3468,1.1778,1.1982,1.0232,1.7972,2.7311,3.4777,1.8602,2.37,2.0919,2.2321,2.0407,2.253,1.0232,2.6929,2.0882,10.1865,1.8531,2.8024,5.2001,9.5021,2.0318,3.1718,3.9999,3.9618,5.1989,7.0591,10.1865,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,-99.0,2,2,4,0.997,0.002,1254,2.5319,2.269,1.955,1.4263,2.3686,2.4073,4.7732,1.8087,2.2803,2.7351,3.6958,1.9709,2.3958,2.3899,2.5601,2.19786,3.13606,1.33688,2.13782,2.8299,7.026120000000001,1.95166,2.55768,2.81426,4.37012,2.43266,2.6286,2.921516923076923,2.271,1.7347,1.8931,1.0454,1.2791,2.1197,2.7663,1.6483,1.6721,1.4039,1.8237,1.8364,1.6701,1.0454,2.8577,2.4343,6.5307,1.5803,3.0914,4.1191,18.0276,2.6736,3.3335,3.6293,9.8278,3.8449,3.7827,18.0276,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,0.1,2,4,1,0.997,0.002,1254,2.536,1.6431,2.1387,1.3535,1.5278,3.5781,4.4196,1.5715,2.6076,2.7914,2.3922,0.9256,1.9544,2.3865,2.44732,2.2227,8.06922,1.31854,1.81918,4.40122,7.28904,2.22276,2.38016,8.13686,2.2375999999999996,3.0235399999999997,3.44156,3.769976923076923,1.9989,0.7859,1.3698,0.9434,1.5198,1.6334,3.0798,0.8817,1.015,1.379,1.2443,0.7501,1.3396,0.7501,2.6289,5.3625,31.1779,1.6296,2.9397,9.8619,18.0501,3.6357,3.3797,30.7708,2.6152,10.8414,6.5539,31.1779,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,0.01,2,4,1,0.997,0.002,1254,2.6063,1.6315,2.0927,1.3241,1.4898,3.5393,4.4196,1.5433,3.1608,2.7718,2.3922,0.9256,1.9544,2.3865,2.4796400000000003,2.1899,8.408539999999999,1.3717400000000002,1.82196,4.48878,7.24876,2.3508,2.4791600000000003,8.12516,2.32972,3.0235399999999997,3.44156,3.8276353846153848,1.9938,0.7833,1.4043,1.1494,1.4638,1.6334,3.0581,0.8817,1.015,1.3596,1.2443,0.7501,1.3396,0.7501,2.6703,5.2871,32.9848,1.6283,3.1033,10.4485,17.9227,4.1519,3.3559,30.7708,3.0758,10.8414,6.5539,32.9848,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,-99.0,2,4,1,0.997,0.002,1254,2.6028,1.6315,2.0927,1.3241,1.4898,3.5393,4.3885,1.5433,3.1608,2.7718,2.3922,0.9256,1.9544,2.3865,2.47682,2.18242,8.408539999999999,1.3705200000000002,1.82196,4.48416,7.228060000000001,2.34562,2.4791600000000003,8.0817,2.32972,3.0235399999999997,3.44156,3.82106,1.9897,0.7833,1.4043,1.1494,1.4638,1.6334,3.0581,0.8817,1.015,1.3596,1.2443,0.7501,1.3396,0.7501,2.6736,5.2497,32.9848,1.6283,3.1033,10.4485,17.8503,4.1519,3.3559,30.5535,3.0758,10.8414,6.5539,32.9848,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nlargest,0.05,2,4,1,0.997,0.002,1254,2.6095,1.6315,2.0927,1.3241,1.5003,3.5393,4.4196,1.5433,3.1608,2.7718,2.3922,0.9256,1.9544,2.3865,2.4771,2.1899,8.413219999999999,1.37352,1.8261600000000002,4.48878,7.253100000000001,2.3508,2.4791600000000003,8.1271,2.23392,3.0235399999999997,3.44156,3.821373846153846,1.9951,0.7833,1.4143,1.1494,1.4638,1.6334,3.0798,0.8817,1.015,1.3693,1.2443,0.7501,1.3396,0.7501,2.6711,5.2871,32.9848,1.6283,3.1033,10.4485,17.9227,4.1519,3.3559,30.7708,2.5968,10.8414,6.5539,32.9848,5,5,5,5,5,5,5,5,5,5,5,5,5,65
