,,,,,,,,median,median,median,median,median,median,median,median,median,median,median,median,median,median,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,min,min,min,min,min,min,min,max,max,max,max,max,max,max,max,max,max,max,max,max,max,count,count,count,count,count,count,count,count,count,count,count,count,count,count
year,,,,,,,,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,2023,All,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,2023,All,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,2023,All,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,2023,All,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,2023,All
rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nsmallest,-99.0,2,2,2,0.999,0.002,1254,4.8862,4.2223,3.4385,2.1829,6.3164,6.5504,20.868,2.9508,5.2007,2.8461,4.4759,5.23,21.2779,4.8862,6.00944,7.426220000000001,4.11094,2.81134,6.24198,7.139799999999999,19.1561,3.10974,4.8171,3.75876,3.9807200000000003,140836230.4766,5573881533.41356,439593679.4194077,4.6388,3.7798,2.5289,1.2715,3.5996,6.0883,9.3295,2.7378,4.0688,1.7177,2.6523,3.6387,2.2628,1.2715,10.7834,20.7695,6.1019,4.2611,7.9667,10.0334,25.1366,3.7097,5.4205,5.9175,5.3135,704181126.9976,27869211236.4669,27869211236.4669,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,2,3,1,0.998,0.002,1254,4.8279,6.9359,5.3913,2.4276,2.8867,10.9057,23.9426,1.8299,4.7209,7.7432,2.2177,10.6875,6.1422,4.8279,5.14904,7.108879999999999,4.95976,3.8268999999999997,3.61034,10.86878,22.998839999999998,2.0538,13.86738,5.980700000000001,4.03578,24429.80956,3639.57704,2165.6805230769232,4.3678,2.457,2.5012,1.9187,2.3449,2.5035,3.2109,1.5101,2.4765,0.9844,2.0106,2.65,1.4505,0.9844,6.0826,11.5362,7.0638,7.7151,7.2953,15.51,52.8625,2.806,29.8787,12.022,10.4548,100190.0039,15333.7078,100190.0039,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,2,1,2,0.998,0.002,1254,5.4458,4.4139,3.9267,2.2297,6.6546,1.7365,19.4932,2.9871,3.4262,3.6037,6.5976,17.1633,30.6883,4.7495,6.51384,4.91854,4.00186,2.12704,6.533759999999999,14.06386,16.69512,3.50094,3.55546,4.6228,5.32134,40190.22207999999,25575237.873120002,1970423.0730584615,4.6301,4.3578,3.4899,1.5912,2.9858,1.7104,6.1046,2.8627,3.0582,2.9197,2.8823,5.1095,4.7495,1.5912,9.4443,5.8113,4.6709,2.6193,9.8196,43.9513,26.7707,5.6782,4.4219,6.8307,6.7354,200906.4348,127875451.7094,127875451.7094,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,2,3,1,0.997,0.002,1254,4.7382,6.7292,5.2472,2.3427,2.7754,10.5467,23.294,1.7647,4.5507,7.4304,2.1321,10.2486,5.9227,4.7382,5.00402,7.08038,4.82714,3.7870399999999997,3.4788399999999995,10.4996,22.342,1.97998,13.504740000000002,5.7485,3.8907399999999996,23488.63812,3548.6563,2086.110569230769,4.2358,2.3672,2.4453,1.864,2.2636,2.4081,3.1055,1.4561,2.8054,0.9463,1.9334,2.5344,1.396,0.9463,5.88,12.0969,6.8331,7.4673,7.0466,15.0133,51.446,2.7132,28.9271,11.5792,10.0985,96381.0844,14970.1734,96381.0844,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,2,2,2,0.998,0.002,1254,4.7207,4.049,3.3065,2.0828,6.0534,6.2625,20.0799,2.82,4.9853,2.7943,4.2905,4.9647,20.3142,4.7207,5.81174,7.1349,4.020020000000001,2.69,5.997120000000001,7.067019999999999,18.44048,2.9884399999999998,4.61482,3.6635800000000005,3.8562,134179101.23098,5322882340.51588,419773962.1562446,4.5099,3.6373,2.4294,1.2137,3.5411,5.8348,8.9657,2.6365,3.8981,1.9609,2.5797,3.453,2.1966,1.2137,10.374,19.9646,5.9286,4.079,7.6363,10.7864,24.1878,3.5487,5.1996,5.6444,5.1777,670895481.9616,26614220224.2318,26614220224.2318,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,2,1,2,0.997,0.002,1254,5.2118,4.2249,3.747,2.2251,6.2946,1.6454,19.69,2.8307,3.386,3.4097,6.2432,16.6465,29.6309,4.5886,6.2411,4.7054,3.8441400000000003,2.06312,6.249319999999999,13.45718,16.20122,3.32256,3.4809600000000005,4.39996,5.044379999999999,37907.86754,24083732.85418,1855516.1331584617,4.4339,4.1829,3.353,1.5192,2.8417,1.6206,5.8432,2.7116,2.9147,2.7982,2.7714,4.7859,4.5886,1.5192,9.0617,5.5445,4.4982,2.5334,9.6199,42.1483,25.6673,5.4077,4.3119,6.5092,6.3754,189496.344,120417969.7081,120417969.7081,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,2,2,2,0.997,0.002,1254,4.573,3.8828,3.1795,1.9911,5.8012,6.0015,19.4861,2.6949,4.7786,2.664,4.0868,4.7127,19.3933,4.573,5.61372,6.96078,3.8740200000000002,2.70826,5.799639999999999,6.776300000000001,18.17634,2.90106,4.48604,3.55484,3.7013800000000003,127831111.44442001,5082961662.171121,400830218.3206092,4.3527,3.5011,2.3534,1.1744,3.3876,5.5917,8.6158,2.5216,3.9044,1.8674,2.4555,3.2765,2.1323,1.1744,10.013,19.718,5.7205,4.3874,7.5684,10.3371,24.4439,3.3945,4.9874,5.5426,4.9696,639155534.1781,25414621664.3922,25414621664.3922,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,2,1,3,0.999,0.002,1254,4.3542,4.9635,3.1568,2.1616,5.1633,1.994,9.8057,3.1297,2.8791,2.631,5.9502,10.185,40.616,4.3542,5.312099999999999,4.9978,3.22282,2.10272,4.96258,7.1178799999999995,10.845279999999999,3.17928,3.12546,3.14332,5.32734,15448.27512,9020474.05128,695075.0509984614,4.0134,4.0666,2.8876,1.8617,2.967,1.9616,5.5517,2.2242,2.8163,2.2469,2.8252,4.5582,9.5837,1.8617,7.3401,5.844,3.746,2.1877,6.3654,19.3888,16.9484,4.4449,3.9781,4.1988,6.3281,77211.7658,45102038.0975,45102038.0975,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,3,2,1,0.999,0.002,1254,5.2114,13.2464,3.9217,2.4004,3.0451,19.9703,10.0457,1.7265,3.6341,2.0225,4.5021,12.4996,108.7086,4.2245,5.18252,13.894739999999999,4.69414,2.31166,5.24764,33.178659999999994,7.56808,1.80796,4.36176,2.65188,4.314120000000001,16513.32922,3793.18338,1568.5942892307694,4.2245,3.915,2.4372,1.0702,1.1465,2.2836,1.3353,1.4917,3.078,1.5448,1.4174,3.7323,3.6318,1.0702,5.9179,30.6394,9.4617,3.285,16.2013,71.6865,11.0485,2.5708,6.3601,4.2942,7.6524,62810.4104,17453.0104,62810.4104,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,2,1,3,0.998,0.002,1254,4.1706,4.7456,3.0426,2.0498,4.8908,1.8948,9.3188,2.9639,2.7551,2.6057,5.6192,9.8404,38.3275,4.1706,5.0983,4.77506,3.1382000000000003,1.9972400000000001,4.70288,7.01074,10.43666,3.0345,2.98264,3.0741,5.07322,15029.03502,8500222.94612,655023.3311292308,3.8416,3.8961,2.9093,1.7612,2.8254,1.8637,5.3093,2.1319,2.6952,2.1513,2.7972,4.3023,9.2725,1.7612,7.064,5.5688,3.5701,2.0746,6.0273,19.2187,16.4072,4.3044,3.7897,4.1571,5.9789,75116.7704,42500801.6677,42500801.6677,5,5,5,5,5,5,5,5,5,5,5,5,5,65
