date_range,year,start_watch_time,buy_time,sell_time,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,total_profit,yearly_profit,win_ratio
2000-08-11/2022-12-31,2000,Open,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,7.645405044864194e+16,5.6774,0.27
2000-08-11/2022-12-31,2000,Close,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,4.923848956354721e+16,5.5669,0.28
2000-08-14/2022-12-31,2000,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,5275759330101379.0,5.0413,0.29
2000-08-13/2022-12-31,2000,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,5275759330101379.0,5.0403,0.29
2000-08-12/2022-12-31,2000,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,5275759330101379.0,5.0393,0.29
2000-08-08/2022-12-31,2000,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,5249443716197340.0,5.0342,0.29
2000-08-02/2022-12-31,2000,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,5223259365205779.0,5.0271,0.29
2000-08-14/2022-12-31,2000,Close,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,3043367560707036.0,4.9189,0.3
2000-08-13/2022-12-31,2000,Close,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,3043367560707036.0,4.9179,0.3
2000-08-12/2022-12-31,2000,Close,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,3043367560707036.0,4.9169,0.3
2000-08-08/2022-12-31,2000,Close,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,3028187170419194.5,4.912,0.3
2000-08-02/2022-12-31,2000,Close,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,3013082500281716.5,4.9052,0.3
2000-08-02/2022-12-31,2000,Open,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,890984870205960.8,4.6456,0.28
2000-08-08/2022-12-31,2000,Open,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,862121881074846.0,4.644,0.28
2000-08-14/2022-12-31,2000,Open,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,810846637959987.6,4.6366,0.28
2000-08-13/2022-12-31,2000,Open,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,810846637959987.6,4.6357,0.28
2000-08-12/2022-12-31,2000,Open,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,810846637959987.6,4.6348,0.28
2023-01-03/2023-06-23,2023,Open,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,2.0221,4.4995,0.31
2000-08-02/2022-12-31,2000,Open,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,412502745055897.9,4.4887,0.28
2000-08-08/2022-12-31,2000,Open,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,393374787839094.8,4.4842,0.28
2000-08-14/2022-12-31,2000,Open,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,379364928723408.5,4.4818,0.28
2000-08-13/2022-12-31,2000,Open,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,379364928723408.5,4.481,0.28
2000-08-12/2022-12-31,2000,Open,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,379364928723408.5,4.4802,0.28
2023-01-03/2023-06-23,2023,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1.852,3.7298,0.24
2023-01-03/2023-06-23,2023,Close,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,1.8252,3.6155,0.24
2023-01-03/2023-06-23,2023,Open,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1.8223,3.6031,0.24
2023-01-03/2023-06-23,2023,Close,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1.821,3.5974,0.24
2023-01-04/2023-06-23,2023,Close,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1.6902,3.0886,0.1
2023-01-04/2023-06-23,2023,Open,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1.6762,3.0335,0.28
2023-01-04/2023-06-23,2023,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1.6577,2.9621,0.24
2023-01-02/2023-06-23,2023,Close,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,1.5066,2.3877,0.23
2023-01-05/2023-12-23,2023,Close,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,2.1896,2.2551,0.17
2000-08-01/2022-12-31,2000,Open,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,38692812.7376,2.1803,0.19
