watch_days,num_stocks_to_buy,hold_days,loss_limit,total_profit,yearly_profit
3,1,5,0.998,342.68656499993295,1.2979039628261608
5,1,6,0.998,327.19298241702586,1.29522414203726
4,1,5,0.998,258.49996120601713,1.2816601912204286
5,1,6,0.995,179.13593548215545,1.2608325447602413
3,1,4,0.998,177.70438553997008,1.260380695236847
3,1,5,0.995,153.5951728827042,1.2521979686066036
2,1,4,0.998,132.68095150902474,1.2440365775797642
4,1,5,0.995,131.95269565045245,1.2437307341763537
4,1,8,0.998,120.8760080925766,1.2388687105812828
5,2,6,0.998,109.34505193421039,1.2333324534316616
3,1,8,0.998,101.11887174047139,1.2290307261923592
3,2,4,0.998,99.02669097718493,1.2278833433917467
4,2,5,0.998,83.95452432259164,1.2188595324424545
3,1,7,0.998,81.70369556814873,1.2173806774657807
4,2,8,0.998,81.31698273356021,1.2171226853561272
4,1,8,0.995,75.53164697257326,1.2131163909960134
2,1,6,0.998,73.47575799949901,1.2116217616713645
3,1,4,0.995,71.92696917808644,1.2104691690595817
5,2,7,0.998,63.639214774810824,1.2038672003502426
5,1,4,0.998,62.58036798022054,1.2029651895390234
4,1,4,0.998,61.934912885667764,1.202408158880252
5,2,6,0.995,60.575405101431826,1.2012165250585858
5,1,5,0.998,52.897651689562565,1.1939656231620674
3,2,8,0.998,49.75519520456109,1.1907034187076784
4,2,7,0.998,49.73471792694622,1.1906815223379639
3,1,3,0.998,47.7744918043158,1.1885445250026638
4,2,8,0.995,47.00709214135354,1.1876850270478003
2,1,7,0.998,45.075110690150844,1.1854603624122988
4,1,7,0.998,44.67540995702412,1.184988754793029
5,2,7,0.995,44.155851138253674,1.1843696645778459
3,1,8,0.995,43.843420021512905,1.1839940220430196
3,1,6,0.998,43.494650018591656,1.1835716557856406
4,2,5,0.995,41.33224227716857,1.1808784010584739
2,2,7,0.998,39.45336872785096,1.1784266569171264
3,2,4,0.995,39.274291681629734,1.1781871869300442
5,2,4,0.998,36.201726439599824,1.1739072651176345
5,1,5,0.995,34.05626227431565,1.1707077717167609
5,1,4,0.995,33.68052144080263,1.170127690906884
3,1,7,0.995,32.46941576811858,1.1682149395147718
4,2,7,0.995,31.944155610880745,1.167364094228104
2,1,6,0.995,30.7699330691132,1.165412639544116
3,2,5,0.998,27.130728157741405,1.1588778072290196
4,1,6,0.998,25.61299163849254,1.1559013187733542
2,1,8,0.998,24.327943798993605,1.1532463503703292
3,2,8,0.995,24.176188601495916,1.152924015732597
4,1,4,0.995,23.810150796184985,1.1521385110463567
2,1,4,0.995,23.751609957545053,1.1520118154890602
4,1,7,0.995,22.974013375528223,1.150300016586412
5,1,7,0.998,22.734766420661725,1.1497621932117417
4,2,4,0.998,22.489735430606984,1.149205733510185
4,2,6,0.998,20.969143660937345,1.1456172610522533
3,1,6,0.995,19.307595474533823,1.1414000679153424
5,1,3,0.998,18.93947512242223,1.1404189175572197
3,2,3,0.998,18.32806876058698,1.1387483516517254
5,2,3,0.998,17.624991026043,1.136760195187744
3,1,3,0.995,17.373786645841395,1.1360314247703198
3,2,7,0.998,17.320623140864868,1.1358759018527678
2,2,6,0.998,17.1698461570992,1.1354323298514952
5,2,4,0.995,16.755248689165764,1.134193160406315
2,1,5,0.998,16.477279572902987,1.1333458405592618
2,2,4,0.998,15.938038290558211,1.131662422556868
4,2,3,0.998,15.128764351451148,1.1290310152354883
5,1,7,0.995,14.370172332061829,1.1264393199452696
4,1,2,0.998,12.983854925282914,1.1213458113975496
2,1,7,0.995,12.610774137551031,1.1198862548855455
2,2,5,0.998,12.37629016405649,1.1189476520292778
5,2,8,0.998,12.233070320444,1.1183659722462005
3,2,6,0.998,12.102482939678469,1.1178298999910925
2,1,8,0.995,11.876091392122053,1.1168873125584697
5,2,5,0.998,11.336600662570094,1.1145700541361854
2,2,7,0.995,11.120992461510747,1.1136143667381413
3,2,5,0.995,11.025867183076457,1.1131870820893066
4,1,6,0.995,10.625891911967472,1.1113510576255856
4,2,6,0.995,9.808118057679428,1.1073821991645154
4,1,3,0.998,9.705477340441144,1.1068618903115337
4,2,4,0.995,9.084684762679,1.1035982237136712
2,2,8,0.998,9.043383129601768,1.103373596388967
3,2,7,0.995,8.954956229635389,1.1028893548232335
5,1,3,0.995,8.59579094640758,1.1008743614251248
5,2,3,0.995,7.695065945390191,1.0954439197113197
5,2,5,0.995,7.569578178679471,1.0946395893034013
5,1,2,0.998,7.349383164431581,1.0931969273556588
5,2,8,0.995,6.8411672665001095,1.0897029701774588
2,2,6,0.995,6.834861706677686,1.0896580809433425
3,1,2,0.998,6.493293050097208,1.0871653497689402
3,2,6,0.995,5.562622272561292,1.0796778656115573
4,2,3,0.995,5.033900377011847,1.0748713565957482
3,2,3,0.995,4.543567538293395,1.06996157471778
5,1,8,0.998,4.500011837476326,1.0695012523384142
2,2,8,0.995,4.390514881454356,1.0683249520347093
2,2,5,0.995,4.217871994704061,1.066412111507239
2,2,4,0.995,3.73613316693235,1.0606499411653516
4,1,3,0.995,3.6560704811334648,1.0596240187895851
2,1,5,0.995,3.3316289199895093,1.0552342199332836
2,2,3,0.998,2.681782608305076,1.0450550115933086
5,1,8,0.995,2.3668925604629334,1.03923996756548
4,2,2,0.998,1.9820982800037443,1.031035460943082
4,1,2,0.995,1.9360727408549616,1.0299538762814267
5,2,2,0.998,1.7477944818894915,1.0252573168901877
5,1,2,0.995,1.6357915837732233,1.0222284467968241
2,1,3,0.998,1.6133524910652053,1.021597872094482
3,2,2,0.998,1.438810314944411,1.0163857345724758
2,1,2,0.998,1.2523370177270423,1.0101027243085916
3,1,2,0.995,1.1117913046053052,1.0047453794627437
2,2,3,0.995,0.4649563293300053,0.9663671515223801
2,2,2,0.998,0.4642712603392844,0.9663034984331728
5,2,2,0.995,0.43687890961410897,0.9636818826517857
4,2,2,0.995,0.4023368694838262,0.9601424468482068
2,1,3,0.995,0.29139633229705375,0.946404212527632
3,2,2,0.995,0.22017257248939714,0.9346284045439902
2,1,2,0.995,0.10723546671758576,0.9050694131554544
2,2,2,0.995,0.04790809968135069,0.8730705428426401
