watch_days,num_stocks_to_buy,hold_days,loss_limit,total_profit,yearly_profit
5,1,6,0.998,897.0302125595306,1.3546131890326434
4,1,6,0.998,622.1675413281782,1.332667814191894
5,1,6,0.995,414.1382411499452,1.3086729731273494
2,1,5,0.998,290.3710467029681,1.2880950087951955
4,1,6,0.995,271.24150757716245,1.284182242285657
5,1,3,0.998,196.82730184204917,1.2659294909152312
4,2,6,0.998,193.2341867846759,1.2648887514679112
5,1,7,0.998,140.7872095628516,1.2471345498867359
5,1,4,0.998,133.74954809483427,1.244282874504028
5,2,6,0.998,116.78134766453009,1.2367700139241744
5,1,4,0.995,102.98896104679228,1.2298505331948142
5,2,5,0.998,99.22469293891041,1.2278079844354077
2,1,5,0.995,98.60114818938052,1.227462509825331
5,1,7,0.995,93.11512289905036,1.2243297176168124
3,2,4,0.998,89.85963263191296,1.2223862143892765
4,2,6,0.995,84.63706013634479,1.2191232232005071
5,1,3,0.995,84.01054387361751,1.2187189355274304
2,2,7,0.998,83.38299768135904,1.2183110853458154
3,2,8,0.998,79.34884815448208,1.2156170285367451
3,2,6,0.998,79.23730006971435,1.2155406905289052
5,2,6,0.995,71.90620881157507,1.2102840347066204
2,2,5,0.998,68.52697472225753,1.2076861856707573
3,1,6,0.998,67.27724736895628,1.2066943249202935
5,1,5,0.998,66.77103625109719,1.206287547075761
2,1,8,0.998,60.37103771094718,1.2008738614957426
5,2,3,0.998,59.55822847821234,1.2001474263491112
5,2,8,0.998,57.2538255871714,1.1980352022735552
5,2,5,0.995,54.80687323113365,1.1957014851423122
3,1,5,0.998,53.76739333493566,1.1946798393050753
2,1,6,0.998,53.504021457239666,1.1944179902894394
2,1,3,0.998,52.22784238833813,1.1931314899394034
4,2,5,0.998,48.62380878603499,1.1893291852426324
3,2,8,0.995,45.43031651604664,1.185727883896498
2,2,7,0.995,44.76430894036568,1.1849464198006323
4,2,4,0.998,42.85293577192597,1.1826404090488634
5,2,7,0.998,42.45619369181331,1.1821494568769497
3,1,8,0.998,41.61321725980387,1.181091590714027
3,1,4,0.998,41.296328547508416,1.1806886189904298
2,1,7,0.998,40.960242108248615,1.180257993515743
5,2,4,0.998,40.42075053879583,1.1795596369512982
3,1,7,0.998,40.375725682762315,1.1795009515873862
5,1,5,0.995,40.042529221523594,1.179064710128818
3,1,2,0.998,39.830504790624325,1.1787853054541504
3,2,7,0.998,39.133154066742605,1.1778562117125622
3,2,5,0.998,39.01860406199362,1.177702083807468
3,2,4,0.995,38.45934165526715,1.1769433292311728
4,1,5,0.998,36.44967556134993,1.1741269561359315
5,1,8,0.998,34.71706383809619,1.1715771109901265
3,2,6,0.995,33.6392448529326,1.1699288379118922
5,2,7,0.995,33.182921257993016,1.169215743671126
5,2,8,0.995,32.66872977996719,1.1684009060790017
2,2,8,0.998,31.616695103254347,1.166694856377771
4,1,7,0.998,30.962361313304225,1.1656061732625564
3,1,6,0.995,30.097125740652192,1.16413234066845
2,2,3,0.998,27.104526125216612,1.1587025256193568
3,2,7,0.995,26.716333569146872,1.1579565975088613
3,1,4,0.995,26.189276091900673,1.1569270876297528
3,1,7,0.995,25.51236304165803,1.155575431225299
2,2,6,0.998,25.271117272397046,1.1550854183844643
2,1,8,0.995,24.6395427021213,1.153781098744319
2,2,4,0.998,24.595650980202006,1.1536892709895943
2,1,4,0.998,24.044967910474124,1.152523666248052
4,1,3,0.998,23.315259294447472,1.1509392037515649
2,2,5,0.995,22.792141999046528,1.1497738970415234
5,2,3,0.995,22.222870078585583,1.1484763785098286
4,1,4,0.998,21.921104804500242,1.1477756417868634
2,1,7,0.995,21.45345543415937,1.1466712813755795
3,1,5,0.995,20.983231853205986,1.1455374053488665
5,2,4,0.995,20.262529863615562,1.1437515270180425
4,2,5,0.995,18.50585572810931,1.1391306475866476
3,1,8,0.995,16.865760818108292,1.1344213014729274
4,2,4,0.995,16.859237644489447,1.1344017112953544
4,2,3,0.998,16.0493191019307,1.1319113022693754
2,1,6,0.995,15.460230732166783,1.1300233128686972
4,2,7,0.998,15.109889700217241,1.128867629549411
3,1,3,0.998,14.845627380329551,1.1279788328555695
4,1,5,0.995,14.042586995554554,1.1251820977771083
5,1,8,0.995,13.898593501501457,1.1246645080896223
3,2,5,0.995,13.46058079123693,1.1230579582695477
2,2,8,0.995,12.953607827758411,1.1211349033765305
3,2,3,0.998,12.141803260473434,1.1179004556852175
3,2,2,0.998,10.615118316449598,1.1112146974806993
4,2,8,0.998,10.168869924569051,1.1090862791452865
4,1,7,0.995,9.243091237960268,1.1043703371404527
2,1,3,0.995,9.18104016887121,1.1040383096269395
2,1,4,0.995,9.020161859303053,1.103167381596261
4,1,8,0.998,8.48518262692103,1.1001605359166822
2,2,6,0.995,8.159295561005914,1.0982388178595626
5,1,2,0.998,7.982430378317909,1.0971649400296903
2,2,4,0.995,7.797765387225709,1.0960191690738876
4,1,4,0.995,7.792263262447363,1.095984634381439
4,2,7,0.995,6.552440290475639,1.087538859467577
4,2,8,0.995,5.982096169667961,1.0831266944234919
4,1,3,0.995,5.903286958079033,1.0824856596054964
2,2,3,0.995,5.6308150128637875,1.0802045627968981
