date_range,watch_days,hold_days,num_stocks_to_buy,loss_limit,total_profit,yearly_profit,win_ratio
2005-01-07/2005-12-31,2,3,1,0.999,4.73706,4.88865,0.92
2002-01-01/2002-12-31,6,5,1,0.999,4.8147,4.84076,0.91
2005-01-07/2005-12-31,2,3,1,0.997,4.68393,4.83272,0.9
2005-01-06/2005-12-31,2,2,1,0.997,4.67968,4.80711,0.97
2022-01-07/2022-12-31,6,3,1,0.999,4.65126,4.79833,0.85
2022-01-05/2022-12-31,4,3,1,0.998,4.66611,4.77211,0.83
2022-01-03/2022-12-31,3,2,1,0.998,4.70306,4.76889,0.52
2002-01-01/2002-12-31,6,5,1,0.998,4.73816,4.76354,0.91
2022-01-04/2022-12-31,3,2,1,0.997,4.66665,4.75205,0.56
2002-01-01/2002-12-31,4,4,2,0.997,4.68166,4.70655,1.0
2002-01-01/2002-12-31,6,5,1,0.997,4.66277,4.68749,0.91
2002-01-04/2002-12-31,2,6,1,0.999,4.59657,4.67986,0.9
2001-01-05/2001-12-31,3,6,1,0.999,4.56139,4.66347,1.0
2022-01-05/2022-12-31,4,3,1,0.997,4.5415,4.64284,0.83
2005-01-05/2005-12-31,3,5,1,0.998,4.53992,4.6412,0.84
2022-01-03/2022-12-31,3,2,1,0.997,4.54278,4.60493,0.52
2002-01-03/2002-12-31,3,5,1,0.999,4.53657,4.59858,0.9
2001-01-01/2001-12-31,4,7,1,0.999,4.56286,4.5867,0.77
2002-01-02/2002-12-31,3,5,1,0.999,4.54111,4.58391,0.9
2001-01-05/2001-12-31,3,6,1,0.998,4.48438,4.5836,1.0
2005-01-05/2005-12-31,3,5,1,0.999,4.48356,4.58274,0.84
2002-01-04/2002-12-31,2,6,1,0.998,4.50091,4.58133,0.9
2001-01-03/2001-12-31,2,6,1,0.997,4.49583,4.55691,0.77
2020-01-06/2020-12-31,2,2,1,0.997,4.45277,4.55082,0.67
2005-01-05/2005-12-31,3,5,1,0.997,4.44534,4.54311,0.84
2001-01-02/2001-12-31,2,6,1,0.997,4.49583,4.53791,0.77
2001-01-03/2001-12-31,2,6,1,0.999,4.45234,4.51244,0.77
2001-01-05/2001-12-31,3,6,1,0.997,4.40861,4.50503,1.0
2001-01-01/2001-12-31,4,7,1,0.998,4.48134,4.50448,0.77
2001-01-02/2001-12-31,2,6,1,0.999,4.45234,4.49375,0.77
2020-01-07/2020-12-31,2,2,1,0.997,4.37908,4.49313,0.62
2002-01-03/2002-12-31,3,5,1,0.998,4.42883,4.4884,0.9
2002-01-04/2002-12-31,2,6,1,0.997,4.40714,4.48477,0.9
2002-01-02/2002-12-31,3,5,1,0.998,4.43771,4.47889,0.9
2002-01-03/2002-12-31,4,7,1,0.999,4.3927,4.45146,0.91
