date_range,watch_days,hold_days,num_stocks_to_buy,loss_limit,total_profit,yearly_profit,win_ratio
2000-08-03/2022-12-31,8,5,1,1.0,617.22287,1.33205,0.99
2000-08-03/2022-12-31,8,5,1,0.999,429.08301,1.31062,0.99
2000-08-02/2022-12-31,9,4,1,1.0,425.86011,1.31013,0.99
2000-08-04/2022-12-31,5,6,1,1.0,415.85515,1.30883,0.93
2000-08-03/2022-12-31,8,5,1,0.998,409.37387,1.30787,0.99
2000-08-03/2022-12-31,3,6,1,1.0,402.06552,1.30682,0.88
2000-08-02/2022-12-31,9,4,1,0.999,293.23168,1.2885,0.98
2000-08-01/2022-12-31,3,5,1,1.0,273.00699,1.28436,0.99
2000-08-04/2022-12-31,5,6,1,0.999,264.57132,1.28268,0.93
2000-08-03/2022-12-31,3,3,1,1.0,242.615,1.27769,1.0
2000-08-03/2022-12-31,3,6,1,0.999,227.08613,1.27392,0.82
2000-08-02/2022-12-31,9,4,1,0.998,222.101,1.27262,0.97
2000-08-04/2022-12-31,5,6,1,0.998,215.81141,1.27107,0.93
2000-08-01/2022-12-31,10,3,1,1.0,177.22904,1.25984,0.96
2000-08-02/2022-12-31,3,4,1,1.0,176.18533,1.25954,0.98
2000-08-03/2022-12-31,3,3,2,1.0,160.50097,1.25435,1.0
2000-08-01/2022-12-31,3,5,1,0.999,146.23066,1.24908,0.99
2000-08-01/2022-12-31,10,3,1,0.999,139.43918,1.24643,0.95
2000-08-03/2022-12-31,3,6,1,0.998,138.3837,1.24608,0.73
2000-08-08/2022-12-31,3,3,1,1.0,132.53781,1.24384,0.95
2000-08-04/2022-12-31,7,6,1,1.0,132.81503,1.24383,0.93
2000-08-07/2022-12-31,3,3,1,1.0,132.53781,1.24381,0.95
2000-08-06/2022-12-31,3,3,1,1.0,132.53781,1.24378,0.95
2000-08-02/2022-12-31,5,4,1,1.0,117.28118,1.23688,0.98
2000-08-01/2022-12-31,11,3,1,1.0,116.74064,1.23659,0.99
2000-08-01/2022-12-31,10,3,1,0.998,115.23234,1.23587,0.94
2000-08-03/2022-12-31,3,3,1,0.999,113.22577,1.23497,0.98
2000-08-02/2022-12-31,6,3,1,1.0,110.33039,1.23351,0.99
2000-08-05/2022-12-31,4,3,1,1.0,105.76195,1.23128,0.99
2000-08-08/2022-12-31,5,8,1,1.0,102.14869,1.22946,0.98
2000-08-07/2022-12-31,5,8,1,1.0,102.14869,1.22943,0.98
2000-08-06/2022-12-31,5,8,1,1.0,102.14869,1.2294,0.98
2000-08-04/2022-12-31,5,6,2,1.0,101.78649,1.22914,0.98
2000-08-03/2022-12-31,3,6,2,1.0,99.03263,1.22761,0.89
2000-08-01/2022-12-31,3,5,1,0.998,96.7337,1.22626,0.99
2000-08-03/2022-12-31,3,3,2,0.999,93.49994,1.22446,1.0
2000-08-02/2022-12-31,3,4,1,0.999,93.40749,1.22438,0.98
2000-08-04/2022-12-31,7,6,1,0.999,92.52062,1.22392,0.93
2000-08-01/2022-12-31,11,3,1,0.999,89.50511,1.22202,0.98
2000-08-02/2022-12-31,5,4,1,0.999,87.382,1.22074,0.98
2000-08-09/2022-12-31,3,7,1,1.0,85.31948,1.21965,0.98
2000-08-05/2022-12-31,3,5,1,1.0,81.41397,1.21698,0.98
2000-08-09/2022-12-31,2,3,1,1.0,79.85911,1.21605,0.97
2000-08-02/2022-12-31,2,3,1,1.0,80.15208,1.21605,0.97
2000-08-05/2022-12-31,2,4,1,1.0,77.12808,1.21405,0.93
2000-08-02/2022-12-31,3,3,1,1.0,74.91163,1.21238,0.99
2000-08-09/2022-12-31,3,7,1,0.999,73.56769,1.2116,0.97
2000-08-04/2022-12-31,7,6,1,0.998,73.082,1.2111,0.93
2000-08-01/2022-12-31,7,5,1,1.0,71.37391,1.20974,0.99
2000-08-01/2022-12-31,11,3,1,0.998,70.9522,1.20942,0.98
2000-08-04/2022-12-31,7,4,1,1.0,69.74375,1.20858,0.99
2000-08-08/2022-12-31,5,6,1,1.0,69.4908,1.2085,0.95
2000-08-07/2022-12-31,5,6,1,1.0,69.4908,1.20847,0.95
2000-08-06/2022-12-31,5,6,1,1.0,69.4908,1.20844,0.95
2000-08-09/2022-12-31,3,4,1,1.0,69.12038,1.20823,0.91
2000-08-08/2022-12-31,5,8,1,0.999,69.15611,1.20823,0.98
2000-08-07/2022-12-31,5,8,1,0.999,69.15611,1.20821,0.98
2000-08-06/2022-12-31,5,8,1,0.999,69.15611,1.20818,0.98
2000-08-08/2022-12-31,3,5,1,1.0,68.99197,1.20811,0.94
2000-08-07/2022-12-31,3,5,1,1.0,68.99197,1.20808,0.94
