,,,,,,,,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,min,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count
year,,,,,,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All
rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nsmallest,-99.0,2,3,1,0.999,0.002,1254,4.6764,2.9673,7.1488,3.4695,5.5391,2.014,2.5155,1.82,3.0048,6.3925,11.2766,10.0716,24.6085,4.7134,1.8975,2.8161,4.8973,2.6452,5.579,4.9776,2.187,2.697,11.1447,6.3697,3.59875,5.098319999999999,6.03748,7.3297,3.7281999999999997,5.026400000000001,1.9942,3.96406,1.9411200000000002,3.74768,5.74632,11.2506,17.85402,23.67444,5.5774,2.13034,3.9151800000000003,14.328520000000001,3.2072200000000004,4.8249,3.9394,4.22136,2.84192,25407.725720000002,3732.7670200000002,1220.1196466666668,4.2363,2.2368,2.5501,2.6066,2.1175,1.2868,1.99,1.0875,2.4291,1.9852,2.6026,1.4412,3.3198,4.2739,1.5661,1.4706,2.5713,2.1061,0.9404,1.7693,1.1079,2.5788,2.7708,1.5072,0.9404,6.1053,18.6633,11.9164,4.8971,7.3019,2.8611,7.9708,3.618,7.5524,10.9351,16.0226,61.8372,54.3164,7.7977,2.902,10.1074,30.8607,6.2288,8.1155,5.7528,10.1352,3.3691,104145.4067,15705.6928,104145.4067,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-0.3,2,1,1,0.999,0.002,1254,3.6051,4.0651,6.8485,3.2731,4.1758,1.9832,2.4591,1.7036,8.0784,2.8841,1.5976,3.7276,9.8896,2.4737,3.2213,2.9586,2.8886,5.1295,4.8163,3.0893,6.7323,3.606,1.9063,20.6128,3.4387499999999998,3.7430999999999996,4.0568,7.10848,5.815379999999999,4.41092,2.47836,2.6965,1.8785599999999998,6.51264,3.31956,3.21502,4.02472,7.459619999999999,2.93052,5.6669,4.59396,3.16974,4.7924,3.9965800000000002,3.2061599999999997,5.3733,5.25908,1.99058,12285.23496,515.9555766666666,3.3566,3.8609,5.5721,2.0594,4.0227,1.4588,2.3964,1.4594,3.9038,2.8758,1.5774,2.3927,1.1074,2.4249,2.8932,1.7066,2.5065,3.1689,1.4705,1.4513,2.561,3.1585,1.8771,1.4387,1.1074,4.1956,4.2152,8.7909,10.8227,5.0578,3.5529,3.1229,2.3937,8.4081,5.0153,9.3876,7.7204,12.8859,3.8785,14.2776,7.792,4.6639,5.8002,4.9261,5.4824,7.2232,12.4831,2.2809,61202.7501,61202.7501,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-99.0,3,1,2,0.999,0.002,1254,3.585,3.4856,6.1328,5.2469,2.3981,1.9919,2.9697,1.3234,3.5106,6.285,6.9654,12.51,2.6493,3.2613,2.4819,2.1313,3.1757,2.8907,1.5582,3.205,3.6883,2.4938,20708.4632,30.0646,3.4061500000000002,4.47058,4.53502,7.14148,4.10084,3.30638,1.97104,2.69244,1.37848,3.7361199999999997,5.7116,10.59552,13.30392,16.059260000000002,3.68844,2.44838,2.36142,3.45536,2.83234,2.0192,3.1181,3.17728,6.07816,118081.67061999999,20245.0653,5768.121553333333,3.5785,2.2324,5.046,1.9123,1.626,1.5921,1.7209,1.3034,2.2762,4.3505,4.3635,3.5632,2.3444,1.7654,1.7358,1.7765,1.9382,2.0471,1.4129,1.7301,1.782,2.1326,2.4746,2.1621,1.3034,6.7041,6.9893,12.2616,5.5207,7.6857,2.6311,3.3754,1.5403,4.8931,6.6688,20.4425,23.8787,66.8777,5.1603,2.9908,3.5645,5.3144,3.6691,3.4369,4.1108,3.7565,11.7963,301486.3186,101063.6316,301486.3186,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-0.3,2,1,2,0.999,0.002,1254,3.2456,3.4104,3.9298,5.2466,3.017,1.6771,1.8281,1.7391,5.6674,2.9078,1.7731,2.7011,3.7114,3.8016,3.6749,2.1469,3.5509,3.8806,2.5272,2.3828,3.9132,2.758,3.9695,14.8751,3.3413500000000003,3.2660399999999994,3.76818,4.21618,6.68638,2.972,2.05258,2.0105399999999998,1.73494,5.11192,3.20462,2.7708199999999996,3.33442,4.61614,3.4718400000000003,3.9791600000000003,2.9232199999999997,3.27012,3.40006,2.5604400000000003,2.36254,3.92316,3.2762599999999997,3.75332,1685.0611399999998,73.48858416666667,3.0993,3.3455,3.6688,3.3704,2.573,1.3859,1.6873,1.2543,2.6659,2.8428,1.7477,2.448,3.3372,2.6454,2.7686,2.0942,2.642,2.408,2.1339,1.4142,3.8203,2.6779,2.8569,1.936,1.2543,3.3766,4.3836,5.1598,10.0063,3.2833,2.7845,2.4302,2.2219,5.829,4.0579,6.401,6.2387,8.2599,3.9076,6.2318,4.1574,3.6436,3.999,3.0607,3.346,4.0256,4.4931,4.0399,8321.3285,8321.3285,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-99.0,3,2,2,0.999,0.002,1254,4.5661,3.1135,9.9491,3.648,2.4492,1.7946,2.2959,1.5229,2.9762,3.0676,6.5444,6.7624,5.2213,3.9749,1.9515,2.2665,4.296,2.9168,2.254,1.7789,2.616,3.1017,7.214,16.59,3.2916,4.8772,4.41566,10.47208,3.6943400000000004,3.2154200000000004,1.8160800000000001,2.36946,1.52504,4.29988,4.8666,8.26134,6.76708,5.4573,4.27624,2.27284,2.39542,4.36176,2.77134,2.34986,3.5190799999999998,4.12338,2.81934,32400522.072260004,2361.9094999999998,1350123.9545208334,3.5973,2.2022,5.272,2.757,2.3189,1.5015,1.6367,1.3324,2.6999,2.8577,1.885,2.0411,3.6043,3.1643,1.7934,1.2994,2.5483,2.1852,2.027,1.3893,2.3204,1.5724,5.6302,3.302,1.2994,7.4873,7.7621,15.2682,4.7024,5.4529,2.3782,2.9557,1.7468,9.8348,8.6996,14.7736,11.5801,7.4296,5.3725,3.0027,3.6052,6.5895,3.3694,2.8865,9.2625,7.6888,4.4848,161981541.1371,9894.4291,161981541.1371,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-99.0,2,3,2,0.999,0.002,1254,3.8396,3.5943,7.4389,4.023,3.0419,1.9074,2.0601,1.4952,3.1287,4.4264,5.5569,5.1926,7.7869,2.8569,2.1392,1.9697,3.4606,2.4649,3.0571,2.97,3.7938,2.4848,5.9728,3.4968,3.2841,4.048,3.84766,6.85732,4.07946,3.22498,1.94422,2.4916600000000004,1.57536,3.6729,3.8842600000000003,6.02936,8.328700000000001,9.28058,3.02444,2.3005,2.25598,5.39638,2.83346,3.03166,3.2004600000000005,3.9592199999999997,2.60704,14572.143119999999,1573.10344,676.3800066666666,3.2677,1.8492,3.2326,3.3037,2.0603,1.4221,1.4387,1.2297,2.9648,1.7576,2.1733,1.9326,2.6263,2.8191,1.7892,1.3477,2.8533,1.5234,1.5542,1.4163,3.3481,2.0506,2.3322,1.8547,1.2297,5.0062,7.3058,10.7689,4.7674,4.7619,2.7577,4.5448,2.0837,4.9395,6.0433,9.5858,21.0899,17.2094,3.6208,3.4109,4.1157,8.7721,4.3143,4.4107,5.0204,5.3204,3.2615,40574.5826,6899.8617,40574.5826,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-0.3,2,2,1,0.999,0.002,1254,3.7517,5.1335,4.2504,3.4983,4.8279,2.3971,3.0049,1.9399,4.9541,1.5604,3.1189,3.1421,4.7064,3.8616,5.0543,3.6829,4.0688,1.6879,2.8271,2.0959,3.4758,3.2353,2.3802,3.1865,3.25805,3.6346199999999995,4.7366399999999995,4.1848,3.91348,4.60418,2.29968,3.9522799999999996,2.02482,5.7973,2.6964200000000003,2.97492,4.45944,6.741020000000001,5.73762,4.77534,4.25908,4.1709000000000005,2.98196,2.5582000000000003,3.00778,3.20286,4.1197,2.4274,36.40895999999999,5.236225,2.9858,2.8618,2.9288,2.3935,3.2736,1.8038,1.2475,1.5074,2.7075,1.3116,2.4461,2.9696,1.9776,2.2381,3.2425,1.2768,2.678,1.5572,1.0458,1.9813,2.6241,1.6667,1.1823,1.7282,1.0458,4.0039,6.4659,4.8413,6.4561,5.5767,2.7527,9.8548,2.7749,12.2276,5.4473,3.5153,8.1601,16.4408,9.9108,5.4139,6.9749,5.4107,6.0817,3.1608,4.4966,3.7627,9.3128,4.5597,167.8318,167.8318,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-99.0,3,3,1,0.999,0.002,1254,4.5877,4.3976,7.5733,3.6091,3.7283,1.5352,1.288,1.2526,1.6126,4.1238,4.2314,5.5782,3.7011,2.7506,1.4683,2.0336,3.9826,2.3131,3.1935,5.6625,2.3834,3.2398,4.6936,32.8367,3.22175,4.4133,6.3183,24.0826,4.55582,3.42492,1.63884,3.14074,1.36282,2.18426,7.94074,8.65536,7.76738,4.45684,6.85878,1.4429,3.1925999999999997,6.11958,2.34734,2.9198399999999998,4.72018,2.97586,3.24516,20831.12526,82548861.8309,3440408.6133466666,2.9323,2.2094,2.3066,2.7666,1.955,1.1884,1.144,0.8902,1.5354,2.2167,3.2958,1.929,0.9413,2.5192,1.0892,1.5371,3.4025,1.5993,0.8584,1.4967,1.2542,1.2651,1.5498,0.9723,0.8584,5.9254,16.3408,81.7093,9.2163,4.9772,2.1229,9.7638,2.1401,3.5084,15.3969,21.513,17.7301,9.7165,22.8582,1.772,7.0988,12.1319,3.3993,4.2806,6.6778,6.9625,4.6492,72899.0764,412744228.4812,412744228.4812,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-99.0,4,1,1,0.999,0.002,1254,3.3391,3.621,3.888,2.3562,4.0106,1.4521,1.734,1.4334,1.5967,4.2365,8.7045,6.9791,4.0808,3.661,1.8116,2.5938,5.0329,1.8366,1.9593,3.4296,2.9609,2.8861,7.9542,11.8743,3.04345,3.52796,4.01046,5.1985399999999995,3.2233600000000004,3.52784,1.57266,1.72592,1.4996,4.76134,8.163540000000001,11.77638,11.55944,6.789759999999999,4.0487,1.6969,3.18626,4.5292,2.5261199999999997,2.27556,3.15322,3.09308,2.70044,4436.91624,40133971.3844,1672437.6186216667,3.1828,1.8042,1.4217,1.7153,1.1746,1.1155,1.0311,0.9936,1.3101,2.66,3.4687,1.0711,1.3872,2.3799,1.3679,1.2894,1.1835,1.5877,1.4892,1.5828,2.0021,1.2696,2.1577,1.9531,0.9936,3.9497,5.8722,12.6229,7.1851,5.84,2.2802,2.3691,2.1082,16.7926,18.7966,21.4677,37.551,20.151,5.6583,2.0084,7.2762,6.5376,4.4689,4.1391,4.2776,3.9314,4.2467,22153.7037,200667740.2614,200667740.2614,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
nsmallest,-99.0,4,3,1,0.999,0.002,1254,3.1296,3.6149,6.582,3.7262,2.6738,1.2668,1.381,1.3091,2.8215,4.4708,5.5285,5.2261,3.2443,3.5266,1.779,2.0199,3.0983,1.7901,1.6519,3.7135,3.2565,1.0724,7.159,5.0843,3.0112,3.70896,4.72772,23.2796,3.67408,5.09548,1.28314,1.51358,1.30656,2.44484,4.85938,7.25726,12.40358,3.2973999999999997,6.64038,1.63152,2.5078799999999997,3.86498,2.65984,1.9642,3.5327399999999995,3.87742,1.1151,6948.075879999999,1632.0795199999998,361.78337666666664,2.683,1.5596,2.8303,2.5602,2.1364,1.0436,1.2845,1.054,1.3116,2.9413,5.2124,1.6027,1.5517,1.7285,1.1233,1.4618,1.2801,1.4998,1.1082,1.4944,2.4797,0.8394,2.0969,1.3634,0.8394,5.5816,9.8508,55.7945,4.5131,13.8937,1.5366,1.8115,1.5652,3.0906,8.0052,10.2479,42.7499,6.4609,13.0183,2.2224,3.7821,9.8681,4.3934,4.0041,6.2128,6.503,1.4554,34721.2964,8134.0273,34721.2964,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
