watch_days,num_stocks_to_buy,hold_days,loss_limit,total_profit,yearly_profit
2,1,7,0.998,2323.552321079739,1.4132877492940241
4,1,7,0.998,1553.8766314520262,1.388136491825115
5,1,6,0.998,1271.3571940515362,1.3757601767113095
5,1,6,0.995,1018.6256565351614,1.3622191660199323
3,1,4,0.998,743.8696743821725,1.3432419017269939
4,1,7,0.995,742.3159901939337,1.3431165649842096
2,1,7,0.995,683.6707241970429,1.3381923899276669
3,1,8,0.998,560.9269699729372,1.3264260553025653
5,2,6,0.998,483.3741116071219,1.3176465759852884
2,2,7,0.998,451.09629110785403,1.3135887314181593
3,2,8,0.998,371.40897316600854,1.3022426333607653
3,1,7,0.998,348.53537827490777,1.2985536021532271
3,1,8,0.995,346.2299068611357,1.2981690339350842
5,2,6,0.995,309.5581657213862,1.2916987607883783
4,2,7,0.998,274.3393572496298,1.2847547339801468
5,1,8,0.998,239.73826812529273,1.2770477029606588
3,2,8,0.995,206.5511095474673,1.2685837256789798
5,1,8,0.995,201.7556774750423,1.2672544739982061
5,1,7,0.998,200.10310197655727,1.2667893925410514
3,1,4,0.995,190.53508475268904,1.2640223337148562
4,2,7,0.995,177.0823285918264,1.2598984244299192
2,2,7,0.995,174.4988988100194,1.2590723360464915
2,1,4,0.998,130.62671103839025,1.2429052182632268
4,1,8,0.998,127.36142388688206,1.2415017837878901
3,1,7,0.995,120.18063322568175,1.2382904548719134
3,1,6,0.998,116.03184154220081,1.236350461850556
5,2,8,0.998,96.7054463890525,1.2263380667054298
5,1,7,0.995,87.32607704874853,1.2207670513901423
5,2,8,0.995,80.87205273734637,1.2165909962007224
3,2,4,0.998,80.20039772273233,1.2161382593039336
3,2,7,0.998,74.42775418924613,1.2120906193095267
5,1,4,0.998,71.19125052430776,1.2096879805948908
4,1,3,0.998,69.66846721743696,1.208521206844269
3,1,6,0.995,64.49346031048613,1.2043653722283616
4,1,5,0.998,61.22513378005348,1.2015732607968002
5,1,5,0.998,58.69471527518515,1.1993119428937522
5,2,5,0.998,52.99393001006864,1.1938556183450182
4,1,6,0.998,52.91494830237696,1.193776151460973
4,1,8,0.995,51.8330704360014,1.192676069155852
5,2,7,0.998,48.341045465096826,1.1889692689877323
5,1,3,0.998,47.8780045501617,1.1884586539368958
3,1,3,0.998,47.20461715058643,1.18770759760563
5,2,4,0.998,44.464919970098634,1.1845424665764375
5,1,2,0.998,42.945547787978946,1.1827058740686847
4,2,4,0.998,37.513261090817075,1.175588960679023
4,2,5,0.998,36.56924467653752,1.1742525174559275
2,1,3,0.998,32.480354158287696,1.1680549647779879
3,2,7,0.995,32.01752894767636,1.167307040208172
5,1,4,0.995,28.8852538666898,1.1619558736339273
3,2,4,0.995,25.556546461496282,1.1556238370495255
5,2,5,0.995,25.504641887758318,1.1555189875772356
5,2,7,0.995,24.953208707431408,1.154392305695635
4,1,5,0.995,23.61891512252863,1.1515645027832093
2,1,4,0.995,23.454378432500615,1.15120527901707
5,1,5,0.995,23.152402465944366,1.150539682343505
4,2,6,0.998,21.094738960946056,1.1457703563983435
5,2,4,0.995,20.492022675149567,1.1442890001423298
4,1,3,0.995,20.434937730190384,1.144146545808783
5,2,3,0.998,18.820877339158272,1.1399528222029056
4,1,6,0.995,18.134207803290316,1.138063504913061
3,2,3,0.998,18.09085702467509,1.1379419462711111
2,2,5,0.998,17.912487469459776,1.1374388395492536
4,2,8,0.998,17.619568186818178,1.1366021577126064
4,2,5,0.995,17.36082106185285,1.1358519551791086
3,1,3,0.995,17.166544658018275,1.1352816222235491
2,2,4,0.998,15.945120570083974,1.1315480405354241
5,1,3,0.995,15.381679870974354,1.12973270041853
2,1,8,0.998,15.031136901530385,1.128570955577888
2,1,6,0.998,14.029959641570064,1.1251044929858431
4,2,3,0.998,12.698103560142616,1.1201072457058487
4,1,2,0.998,12.6802111264184,1.1200367589939324
4,2,4,0.995,12.55077481527971,1.1195240001482238
5,1,2,0.995,11.931510262694601,1.1169986904553721
3,2,5,0.998,11.38234508198866,1.1146521938106195
3,1,5,0.998,11.275175909729432,1.1141816901322228
4,1,4,0.998,11.082036347113176,1.1133228593941755
3,2,6,0.998,10.85506481408783,1.1122951203758742
