date_range,year,start_watch_time,buy_time,sell_time,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,total_profit,yearly_profit,win_ratio
2003-01-07/2003-12-31,2003,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,380796651205.4812,653458979670.5242,0.44
2004-01-07/2004-12-31,2004,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,283273676260.4234,448314791451.932,0.36
2023-01-02/2023-06-23,2023,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,242802.9042,272795426546.7452,0.47
2002-01-04/2002-12-31,2002,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,150182264884.6155,203329007178.298,0.31
2002-01-01/2002-12-31,2002,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,149433152150.1912,163237804574.4157,0.3
2023-01-02/2023-06-23,2023,Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,86221.5604,30269822986.4011,0.2
2006-01-04/2006-12-31,2006,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,13053134720.8646,17171397658.7774,0.29
2005-01-06/2005-12-31,2005,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,9812381029.181,14646231973.5744,0.39
2005-01-03/2005-12-31,2005,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,9763436637.5803,12002960360.2796,0.38
2004-01-02/2004-12-31,2004,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,4931767601.0144,5324624832.4208,0.3
2004-01-07/2004-12-31,2004,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,962501265.1396,1379741004.8114,0.29
2003-01-03/2003-12-31,2003,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,928392663.2057,1117488604.3531,0.32
2002-01-04/2002-12-31,2002,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,557731482.378,706961134.9437,0.33
2002-01-01/2002-12-31,2002,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,542384926.7774,581168142.6086,0.33
2011-01-06/2011-12-31,2011,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,101167907.0479,139446084.2106,0.49
2011-01-03/2011-12-31,2011,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,101167907.0479,119374411.425,0.48
2006-01-04/2006-12-31,2006,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,88873717.2321,110243523.9193,0.34
2005-01-06/2005-12-31,2005,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,16795745.0188,22438104.6017,0.38
2005-01-03/2005-12-31,2005,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,16711967.4403,19403282.3822,0.37
2011-01-06/2011-12-31,2011,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,14341708.9052,19107045.4849,0.49
2011-01-05/2011-12-31,2011,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,14099651.4911,17925350.9383,0.52
