date_range,watch_days,hold_days,num_stocks_to_buy,loss_limit,total_profit,yearly_profit
2020-01-02/2020-12-31,4,3,2,0.995,2.038110445858682,2.0430999973219865
2023-01-02/2023-06-23,4,3,1,0.998,1.3996809975080173,2.0422058448690112
2023-01-04/2023-06-23,3,4,2,0.998,1.3941687679064527,2.042047184603753
2023-01-04/2023-06-23,5,2,2,0.998,1.3941173736525363,2.041885452178661
2023-01-02/2023-06-23,2,4,1,0.998,1.3970703685332897,2.0341256446214806
2023-01-03/2023-06-23,5,2,2,0.998,1.3941173736525367,2.0333789622836744
2002-01-07/2002-12-31,4,5,1,0.995,2.001008610117924,2.0293159529896565
2023-01-03/2023-06-23,3,4,2,0.998,1.3919326704372939,2.026578806719825
2021-01-06/2021-12-31,4,4,1,0.998,1.9970658605593732,2.02125943448121
2020-01-07/2020-12-31,2,5,2,0.995,1.9970533217085475,2.021246522789129
2003-01-07/2003-12-31,3,5,1,0.998,1.9916381306448938,2.019620924300859
2020-01-06/2020-12-31,2,5,2,0.995,1.997053321708548,2.0172993255525316
2020-01-02/2020-12-31,3,4,2,0.995,2.012382643274926,2.0172212058624246
2003-01-06/2003-12-31,3,5,1,0.998,1.9916381306448938,2.0156704436968553
2006-01-04/2006-12-31,3,2,1,0.995,1.9991121768774258,2.015481779140975
2008-01-03/2008-12-31,5,2,1,0.998,1.9977141059484638,2.0063012610717563
2017-01-06/2017-12-31,3,8,1,0.998,1.9790488316105896,2.0027081315904893
2021-01-05/2021-12-31,3,7,2,0.998,1.9826329554513384,2.002521117515343
2023-01-02/2023-06-23,3,3,1,0.995,1.3866261282703052,2.0019689843773976
2021-01-07/2021-12-31,2,6,1,0.998,1.9732257096507209,2.0005734786249554
2011-01-07/2011-12-31,2,6,1,0.995,1.972190323397109,1.9995024895846993
2017-01-04/2017-12-31,4,4,1,0.998,1.9827181498040283,1.9987597351906086
2020-01-02/2020-12-31,2,7,2,0.995,1.9915419339528277,1.9962590208415578
2003-01-07/2003-12-31,3,5,1,0.995,1.962853308545383,1.9898449272271066
2003-01-07/2003-12-31,5,3,1,0.998,1.9614728581529333,1.9884171636557502
2020-01-07/2020-12-31,3,5,2,0.998,1.9643898594171882,1.9876166326679432
2016-01-05/2016-12-31,5,4,1,0.998,1.9716158315469765,1.9874362018394713
2003-01-06/2003-12-31,3,5,1,0.995,1.962853308545383,1.9860348576929785
2003-01-06/2003-12-31,5,3,1,0.998,1.9614728581529333,1.9846137959636792
2020-01-06/2020-12-31,3,5,2,0.998,1.9643898594171882,1.9838275657891358
2003-01-07/2003-12-31,3,7,1,0.995,1.957021259749803,1.9838131310740026
2016-01-04/2016-12-31,5,4,1,0.998,1.9716158315469765,1.9836688886993314
2002-01-03/2002-12-31,2,8,1,0.998,1.9709209518660906,1.9829634854355656
2003-01-06/2003-12-31,3,7,1,0.995,1.957021259749803,1.9800313550818593
2002-01-02/2002-12-31,2,8,1,0.998,1.9709209518660906,1.9792272801704844
2016-01-07/2016-12-31,5,2,1,0.998,1.955252001919575,1.9782101451597287
2016-01-05/2016-12-31,5,4,1,0.995,1.9600902888434746,1.9756818054256107
2021-01-05/2021-12-31,4,4,2,0.998,1.9559232294487503,1.975152737800764
2023-01-05/2023-12-23,4,3,1,0.998,1.9268413130347695,1.9750047003105817
2021-01-04/2021-12-31,3,5,1,0.995,1.9574470053945734,1.9729861508922497
2011-01-07/2011-12-31,3,4,1,0.998,1.9456516554010617,1.9720551659030876
2016-01-04/2016-12-31,5,4,1,0.995,1.9600902888434746,1.9719690868935225
2020-01-01/2020-12-31,2,3,1,0.998,1.9699853851542466,1.9709004616980548
2003-01-01/2003-12-31,4,8,2,0.998,1.9663079593716675,1.970878972207028
2002-01-03/2002-12-31,2,3,1,0.995,1.9502366457539213,1.961966952394253
2009-01-07/2009-12-31,5,4,1,0.995,1.9347036121013204,1.960734476238872
2006-01-04/2006-12-31,3,2,1,0.998,1.941330557900501,1.9565513193091784
2020-01-02/2020-12-31,2,5,1,0.998,1.9507000064311708,1.9551812271401996
2023-01-04/2023-06-23,2,4,1,0.995,1.366028449902402,1.9545160670717299
2006-01-03/2006-12-31,3,2,1,0.995,1.940704262785132,1.9522913510379212
2020-01-06/2020-12-31,5,2,1,0.995,1.9303945470077173,1.9489996186202705
2023-01-02/2023-06-23,4,6,2,0.998,1.3689752223697564,1.9482396356636065
2020-01-02/2020-12-31,2,2,2,0.998,1.9434369706957821,1.9478765542050216
2005-01-07/2005-12-31,5,3,1,0.998,1.9208462773669222,1.9464073305857978
2009-01-01/2009-12-31,2,6,1,0.995,1.9376123746121254,1.9420186348615107
2017-01-03/2017-12-31,5,6,2,0.998,1.930127301472291,1.9415559766169328
2017-01-06/2017-12-31,2,5,1,0.995,1.9188952089134133,1.9407921687711815
2003-01-03/2003-12-31,4,4,2,0.998,1.9267508749479476,1.938129091800071
2023-01-04/2023-06-23,3,4,2,0.995,1.3593265223807975,1.9339715701715567
2020-01-03/2020-12-31,2,7,2,0.998,1.9210178798032125,1.928807264828526
2021-01-05/2021-12-31,5,3,1,0.998,1.9089358023785836,1.9270198875451212
2008-01-02/2008-12-31,5,2,1,0.998,1.9224602689207066,1.9267801257566914
2021-01-05/2021-12-31,3,4,2,0.998,1.908151282612751,1.926216388831663
2021-01-04/2021-12-31,5,3,1,0.998,1.9089358023785836,1.9235214705712338
2016-01-01/2016-12-31,5,4,1,0.998,1.920723832252781,1.921582695793891
2011-01-04/2011-12-31,5,3,1,0.998,1.9036986797752202,1.918182291845707
2023-01-05/2023-12-23,4,3,1,0.995,1.869697485431036,1.9142619778791023
2023-01-03/2023-06-23,3,4,2,0.995,1.355192374707797,1.9140328896567298
2021-01-06/2021-12-31,4,4,1,0.995,1.8878238317758667,1.9088236506292406
2023-01-02/2023-06-23,2,4,1,0.995,1.3546585445357613,1.9052273104375923
2017-01-04/2017-12-31,5,6,2,0.998,1.8906396488686052,1.904869533025011
2020-01-07/2020-12-31,5,2,1,0.995,1.883956841570041,1.9048456445530029
2021-01-07/2021-12-31,4,5,1,0.998,1.8801880351385538,1.90438277050503
2020-01-07/2020-12-31,3,5,2,0.995,1.8822804711106342,1.9031211919982975
