watch_days,num_stocks_to_buy,hold_days,loss_limit,total_profit,yearly_profit
2,1,5,0.998,3216.9377342192815,1.433831436348478
2,1,5,0.995,1182.599813609638,1.3712180593288679
3,1,4,0.998,1063.8843116111768,1.3647609331139432
4,1,5,0.998,716.2367099724951,1.340878335254434
5,1,5,0.998,426.7146898071152,1.3102487225434367
4,2,5,0.998,394.4524188690167,1.3056606768949428
3,1,4,0.995,354.5308531782058,1.2994592359310557
3,1,5,0.998,341.88621999491494,1.2973552449692924
3,1,6,0.998,321.20790796195405,1.2937487627751922
4,1,3,0.998,284.4353071712527,1.2867493278063071
2,1,3,0.998,259.0617412454106,1.2813958308412952
4,1,5,0.995,221.92427549906282,1.2725796890922225
5,1,4,0.998,199.53939643604073,1.2665567678348397
5,2,4,0.998,199.19114923139406,1.266458057083381
4,1,6,0.998,191.73415685137286,1.2643038261306256
4,2,3,0.998,184.62914961808215,1.262175476488008
2,2,5,0.998,181.09779058422217,1.2610883513484967
5,1,5,0.995,164.11847001986115,1.2555609611556944
3,1,5,0.995,153.2364511177825,1.2517233914809625
3,2,4,0.998,147.56230792669214,1.2496178340384303
3,2,6,0.998,143.27898699492866,1.2479765026672667
2,1,8,0.998,134.8789472200261,1.2446168713508996
4,2,5,0.995,128.41183969421073,1.241891222091566
4,1,7,0.998,116.78594234404034,1.2366437685409595
3,1,6,0.995,114.93926479510024,1.2357646131216007
5,1,6,0.998,103.28085893849301,1.229881509717745
3,1,8,0.998,102.0826365635266,1.2292413065785615
5,2,4,0.995,98.7591881316786,1.2274272976859961
3,2,8,0.998,97.23737637427803,1.2265771096110059
5,2,5,0.998,94.97004286112548,1.2252865437719178
4,2,7,0.998,88.0523116391117,1.221158730275585
3,1,3,0.998,80.91024288003186,1.2165583504506294
4,1,3,0.995,78.84320852250644,1.2151543980268331
4,1,6,0.995,76.69004483138744,1.2136540457876135
2,1,6,0.998,73.30415525252572,1.2112113011311885
2,2,3,0.998,70.51229725355553,1.2091146240624115
4,1,7,0.995,69.24197101872002,1.2081342270686606
5,1,4,0.995,66.58304745097713,1.2060252789206307
3,2,6,0.995,62.7584439357832,1.2028461580784264
2,2,5,0.995,61.475016717321914,1.2017377326004524
4,1,4,0.998,60.49207978187865,1.2008737711009179
4,2,6,0.998,60.30284131879147,1.2007058997538909
2,1,8,0.995,55.73480742819521,1.1964930399106648
3,2,8,0.995,52.42142391506672,1.1932254989065139
3,2,4,0.995,51.02675334814573,1.1917907203544122
4,2,7,0.995,50.50562196052442,1.1912449681207873
4,2,3,0.995,45.966302930567956,1.1862498242552029
5,1,6,0.995,45.4607281533395,1.1856645860120225
3,1,8,0.995,44.21367645296397,1.1841940190022164
5,2,7,0.998,41.515776660231616,1.180872011103041
5,2,5,0.995,38.68262091472873,1.1771536447965902
2,1,3,0.995,36.255683362651084,1.1737553531783191
5,2,6,0.998,34.5933326526585,1.1712998531537613
4,2,6,0.995,32.34703696694598,1.1677963045715516
2,1,6,0.995,30.69806984262049,1.1650731743879765
4,2,8,0.998,30.553925707198353,1.1648285309231308
3,2,5,0.998,27.06736429997371,1.1585482037822488
3,1,7,0.998,25.48718690536511,1.1554428838999016
5,1,8,0.998,24.710752693278874,1.153849022114844
4,1,8,0.998,23.322857273956608,1.1508768774404277
4,1,4,0.995,23.185564309030454,1.1505737410412178
3,2,7,0.998,22.84988662184534,1.1498252968602611
4,2,4,0.998,21.96581550785462,1.147802690237561
5,2,7,0.995,21.195506383493576,1.1459759099721014
5,2,6,0.995,19.927635498411767,1.1428263282299458
2,2,8,0.998,19.588849920490496,1.141952311317921
5,1,7,0.998,18.997498986364462,1.1403915190985254
5,1,3,0.998,18.320394010223094,1.1385463446615378
3,1,3,0.995,18.23763287310545,1.1383163595250647
3,2,3,0.998,18.120617289276627,1.1379894772867396
4,2,8,0.995,17.669729984623388,1.136710780165401
3,1,7,0.995,17.584426884038507,1.1364653618877163
2,2,6,0.998,17.248508465825413,1.1354877307516067
5,2,3,0.998,17.04887690585887,1.134898084922087
2,2,3,0.995,15.96683016188727,1.1315825685466876
5,1,8,0.995,15.45450271289711,1.1299371351957044
2,1,7,0.998,13.49662694114366,1.1231282820882589
2,1,4,0.998,12.815495331000168,1.1205362021015477
4,1,2,0.998,12.47914009456165,1.1192072415916736
3,2,7,0.995,12.306682565326433,1.1185125212776392
5,2,8,0.998,11.904909762876224,1.1168572665692116
3,2,5,0.995,11.000116253138543,1.112925160228717
4,1,8,0.995,10.929213779217003,1.112604097917337
2,2,7,0.998,9.901564050234958,1.1077127893049468
2,2,4,0.998,9.796779733941479,1.1071870829318602
4,2,2,0.998,8.903604461401402,1.1024744857255149
4,2,4,0.995,8.84637584177383,1.1021573308061219
5,1,7,0.995,8.327566301330746,1.0991892428633552
5,1,3,0.995,8.289822941699565,1.098966473508871
2,2,8,0.995,7.69223572328993,1.095303959205071
5,2,3,0.995,7.421159333644151,1.0935520490875934
5,2,8,0.995,7.288936620658328,1.0926752178317471
5,1,2,0.998,6.956780729118638,1.0904036583633248
2,2,6,0.995,6.876597379995988,1.0898397815052132
2,1,7,0.995,5.024746941828135,1.0746892807425188
3,2,3,0.995,4.59526895402205,1.070413455890946
2,2,7,0.995,3.8098016341687253,1.061498053431689
2,2,4,0.995,3.093629948260413,1.0516812713867834
2,1,4,0.995,2.940893807066668,1.0493080747345285
4,1,2,0.995,2.658083193309392,1.044584954321985
4,2,2,0.995,2.245766060521743,1.036758213328862
5,1,2,0.995,2.1040642336691446,1.0337476243211448
5,2,2,0.998,2.0354738308924896,1.032220082333252
3,1,2,0.998,1.6593968161978434,1.0228546641206104
2,1,2,0.998,1.265798482739921,1.01057230149077
5,2,2,0.995,0.603687650814037,0.9777325958314645
2,2,2,0.998,0.4668338929999564,0.9665813294525474
3,2,2,0.998,0.40644003533213235,0.9606249630224224
3,1,2,0.995,0.3409557253822736,0.95312424331976
2,1,2,0.995,0.10838814883344132,0.9056116204468629
3,2,2,0.995,0.07271995025217118,0.8896276622307687
2,2,2,0.995,0.04810074860114562,0.8733717000090683
