,,,,,,,,,,,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,yearly_profit,win_ratio,win_ratio,win_ratio,win_ratio,win_ratio,win_ratio,win_ratio,win_ratio,win_ratio,win_ratio,win_ratio,win_ratio,win_ratio,win_ratio,win_ratio,win_ratio,win_ratio,win_ratio,win_ratio,win_ratio,win_ratio,win_ratio,win_ratio,win_ratio,win_ratio
,,,,,,,,,,,"('median', '2000')","('median', '2001')","('median', '2002')","('median', '2003')","('median', '2004')","('median', '2005')","('median', '2006')","('median', '2007')","('median', '2008')","('median', '2009')","('median', '2010')","('median', '2011')","('median', '2012')","('median', '2013')","('median', '2014')","('median', '2015')","('median', '2016')","('median', '2017')","('median', '2018')","('median', '2019')","('median', '2020')","('median', '2021')","('median', '2022')","('median', '2023')","('median', 'All')","('mean', '2000')","('mean', '2001')","('mean', '2002')","('mean', '2003')","('mean', '2004')","('mean', '2005')","('mean', '2006')","('mean', '2007')","('mean', '2008')","('mean', '2009')","('mean', '2010')","('mean', '2011')","('mean', '2012')","('mean', '2013')","('mean', '2014')","('mean', '2015')","('mean', '2016')","('mean', '2017')","('mean', '2018')","('mean', '2019')","('mean', '2020')","('mean', '2021')","('mean', '2022')","('mean', '2023')","('mean', 'All')","('min', '2000')","('min', '2001')","('min', '2002')","('min', '2003')","('min', '2004')","('min', '2005')","('min', '2006')","('min', '2007')","('min', '2008')","('min', '2009')","('min', '2010')","('min', '2011')","('min', '2012')","('min', '2013')","('min', '2014')","('min', '2015')","('min', '2016')","('min', '2017')","('min', '2018')","('min', '2019')","('min', '2020')","('min', '2021')","('min', '2022')","('min', '2023')","('min', 'All')","('max', '2000')","('max', '2001')","('max', '2002')","('max', '2003')","('max', '2004')","('max', '2005')","('max', '2006')","('max', '2007')","('max', '2008')","('max', '2009')","('max', '2010')","('max', '2011')","('max', '2012')","('max', '2013')","('max', '2014')","('max', '2015')","('max', '2016')","('max', '2017')","('max', '2018')","('max', '2019')","('max', '2020')","('max', '2021')","('max', '2022')","('max', '2023')","('max', 'All')","('count', '2000')","('count', '2001')","('count', '2002')","('count', '2003')","('count', '2004')","('count', '2005')","('count', '2006')","('count', '2007')","('count', '2008')","('count', '2009')","('count', '2010')","('count', '2011')","('count', '2012')","('count', '2013')","('count', '2014')","('count', '2015')","('count', '2016')","('count', '2017')","('count', '2018')","('count', '2019')","('count', '2020')","('count', '2021')","('count', '2022')","('count', '2023')","('count', 'All')","('mean', '2000')","('mean', '2001')","('mean', '2002')","('mean', '2003')","('mean', '2004')","('mean', '2005')","('mean', '2006')","('mean', '2007')","('mean', '2008')","('mean', '2009')","('mean', '2010')","('mean', '2011')","('mean', '2012')","('mean', '2013')","('mean', '2014')","('mean', '2015')","('mean', '2016')","('mean', '2017')","('mean', '2018')","('mean', '2019')","('mean', '2020')","('mean', '2021')","('mean', '2022')","('mean', '2023')","('mean', 'All')"
start_watch_time,buy_time,sell_time,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,1823730.4966000002,5681904395624731.0,5.821926883134008e+16,1.8991231493846767e+23,169148092555952.56,7468755.4393,7566361.2965,424.9832,2687.0078,983.6979,11790.8181,17925350.9383,8926.8034,63.4008,27.8208,403.1857,4310.2609,57.7532,131.7642,73.7889,8.6736,2.3996,21.8933,15.4838,2902.6131,2511992.16274,7556056085458117.0,1.909629734568123e+18,6.923032719191226e+31,4.782133847320216e+17,5331339399.95646,3438113892.0155396,2423.02478,1718.7770400000002,2085.32502,92514.78818,56863959.745419994,13554.6008,356.61582,82.97518,466.4955,3353.42472,56.61376,314.84371999999996,67.35702,12.49102,9.55778,15.72682,13520602528428.285,2.769213087676586e+30,556415.0863,2127548331300629.0,163237804574.4157,1.4391931172930567e+22,448314791451.932,7402.3869,1372423.5827,241.7046,24.3566,953.2746,5270.1599,3540325.0421,3491.6973,58.9721,26.2049,227.7537,408.7036,49.4679,3.207,43.8646,8.3292,2.3534,3.4797,4.0441,2.3534,5036201.6509,1.5603541934003132e+16,9.3895989026742e+18,2.7144362491731456e+32,1.5319592143171407e+18,14646231973.5744,17171397658.7774,10744.9306,3078.5771,6316.0999,231056.3992,139446084.2106,31648.2458,1274.845,251.3474,926.7546,4619.8062,63.7216,721.984,75.1877,21.7582,28.9493,27.147,67603012642097.44,2.7144362491731456e+32,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,125,0.305,0.40199999999999997,0.362,0.524,0.4,0.32799999999999996,0.22599999999999998,0.258,0.32,0.27,0.344,0.45600000000000007,0.33799999999999997,0.336,0.26,0.30999999999999994,0.384,0.23199999999999998,0.166,0.23399999999999999,0.186,0.156,0.14,0.168,0.2964
Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,99440.24355000001,24901741362510.555,8570239610636.047,1797664549882.5425,3895456943623.7095,395445.3837,550658.4566,427.4284,1411.8833,3137.3917,3530.1002,1779061.7271,807.3456,20.8869,13.3302,57.4122,280.4476,13.051,42.7168,35.7943,5.2737,4.3756,25.9791,25.4196,807.3456,88376.41876,170944710779441.1,6096410066521393.0,6.042284800057876e+17,982875060044015.8,8451959.23254,22289226.649940003,1387.24278,902.14478,2143.9285800000002,3805.2125,7522414.1241,4351.67336,2630.8949399999997,22.84598,62.15778,206.81932,24.74662,76.42626,42.71956,9.09722,6.3651800000000005,26.83958,4557338920925.279,2.445933068882038e+16,21383.5683,900430472160.0802,581168142.6086,1117488604.3531,1379741004.8114,4835.6126,16194.6325,147.6193,14.0358,162.5034,417.1127,46456.54,559.4756,19.7868,12.9317,6.4505,87.859,10.9166,1.4118,33.6092,5.1059,4.2491,13.253,7.6981,1.4118,117104.3883,789516531371216.6,3.0460078910705316e+16,2.570006559874563e+18,3157267757425579.5,22438104.6017,110243523.9193,5754.6641,1600.3284,3339.2785,6243.3437,19107045.4849,18942.3434,7057.2566,61.3772,142.0417,293.8582,44.2913,166.4049,60.7768,17.4236,12.3387,41.4068,22786694604135.71,2.570006559874563e+18,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,125,0.28500000000000003,0.41200000000000003,0.356,0.38,0.35,0.33999999999999997,0.236,0.26,0.31999999999999995,0.282,0.304,0.43,0.278,0.322,0.23399999999999999,0.21200000000000002,0.284,0.22000000000000003,0.182,0.27199999999999996,0.196,0.16199999999999998,0.172,0.188,0.27848
All,,,,,,,,,,,10755.03045,450215238311.722,290584108.62895,558744441.7741001,689870538.9863499,2420.01595,8100.10075,76.93015,1520.31275,884.037,5403.63015,48749.32115,1966.4853500000002,57.412549999999996,12.97745,18.0791,89.23395,14.415,9.633,33.7727,8.5257,36.2996,26.563049999999997,659.6966,88.114,650125.58514,1931750199060077.5,4.78931536158661e+17,1.7307581797978216e+31,1.1979906494801642e+17,1334947840.92743,865100780.922045,954.08811,1362.751665,1425.974335,29013.852789999997,16110313.882244999,5479.8780400000005,883.580475,30.56629,137.25967,920.55285,25.687295,104.11049499999999,38.59245,10.295305,73.157445,189.33216,6.534949732044201e+18,6.92303271919414e+29,14.4952,25.5118,1.7308,11.647,2.2485,1.0755,0.1548,1.6602,10.5503,75.467,417.1127,1550.9314,84.6159,8.4101,0.8919,1.2592,6.0843,1.4182,1.1498,7.8123,2.2797,2.3534,3.4797,4.0441,0.1548,5036201.6509,1.5603541934003132e+16,9.3895989026742e+18,2.7144362491731456e+32,1.5319592143171407e+18,14646231973.5744,17171397658.7774,10744.9306,3078.5771,6316.0999,231056.3992,139446084.2106,31648.2458,7057.2566,251.3474,926.7546,4619.8062,63.7216,721.984,75.8211,21.7582,536.4567,952.6753,1.2760681073450924e+20,2.7144362491731456e+32,40,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,500,0.3255,0.392,0.353,0.4345,0.352,0.3435,0.27949999999999997,0.292,0.3695,0.3015,0.356,0.41550000000000004,0.3265,0.3405,0.28900000000000003,0.2895,0.34550000000000003,0.264,0.251,0.3195,0.273,0.275,0.2605,0.261,0.3214
Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,98.1716,479.8735,12.5882,50.1136,15.6875,3.027,4.7401,3.4637,2006.3147,80.0826,2795.5873,11032.2298,2351.7011,8.7513,9.5892,13.3691,70.7908,15.779,22.8495,27.1078,16.9013,113.7385,42.838,296053.8943,36.5418,88.10297,1937.4108199999998,21.919159999999998,50.10433999999999,36.23518,3.36396,3.97282,4.20294,1277.79074,693.26286,12920.823059999999,47378.5244,2374.22112,30.71852,13.706579999999999,12.0539,94.91040000000001,15.28794,21.30198,34.90958,16.04682,195.49052,383.57424000000003,6.184186487742742e+17,2.473674595097367e+16,36.3973,147.0344,4.6559,11.647,12.8391,2.4991,2.0348,2.58,18.0697,75.467,1629.6971,5958.5091,84.6159,8.4101,6.2658,5.2825,65.6739,5.9978,3.4818,16.2244,12.2724,104.6742,13.3245,31.4225,2.0348,126.4926,4463.3638,74.6493,123.0011,73.1613,4.4193,5.569,6.241,2289.8227,2610.9706,30143.7916,201506.1838,4941.8351,72.1187,33.2107,19.6613,197.7218,23.7549,48.8739,75.8211,17.961,536.4567,952.6753,3.092093213601251e+18,3.092093213601251e+18,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,125,0.277,0.288,0.27599999999999997,0.358,0.314,0.298,0.258,0.242,0.33799999999999997,0.262,0.324,0.32599999999999996,0.27999999999999997,0.264,0.268,0.21000000000000002,0.31,0.23399999999999999,0.244,0.252,0.25,0.24,0.22000000000000003,0.196,0.27224
Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,51.36065000000001,526.6136,5.1874,177.5555,4.9071,1.131,1.4654,1.8544,2443.9573,103.3044,3118.8101,8829.9542,1482.1677,17.1553,0.8941,4.7715,6.5154,3.6606,2.2976,8.1192,3.8266,87.9774,98.4565,686953.8107,16.3045,45.65609,816.27518,7.57062,150.41667999999999,5.9154800000000005,1.1567599999999998,1.04988,1.8819400000000002,1552.2941,781.38088,6814.587419999999,7503.1350600000005,1639.01688,516.09262,2.73742,8.3315,27.056959999999997,6.10086,3.8700199999999993,9.38364,3.5461600000000004,81.2163,331.188,2.552136220146108e+19,1.020854488058444e+18,14.4952,25.5118,1.7308,27.4246,2.2485,1.0755,0.1548,1.6602,10.5503,93.3718,1663.8454,1550.9314,151.8089,16.3045,0.8919,1.2592,6.0843,1.4182,1.1498,7.8123,2.2797,43.6499,12.8648,188.1375,0.1548,69.3301,1538.7756,23.7263,279.1951,10.6866,1.2301,1.9822,2.3538,2795.6742,3435.1662,14351.5392,14924.5296,4816.8368,1763.1141,8.5988,20.4486,69.5181,11.0398,11.0086,12.0618,4.098,95.7239,766.9838,1.2760681073450924e+20,1.2760681073450924e+20,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,125,0.43499999999999994,0.466,0.418,0.476,0.344,0.40800000000000003,0.398,0.40800000000000003,0.5,0.392,0.45200000000000007,0.45,0.41,0.44000000000000006,0.394,0.426,0.404,0.37,0.41200000000000003,0.52,0.45999999999999996,0.542,0.51,0.492,0.43848000000000004
